Präzision01166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:19:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
55;725.694702;1100.005127;329.919769;778.371582;831.028870;170.897659;784.307129;731.781738;167.808914;;;;;;;;;;760.573669;712.143005;164.959564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;725.228088;1101.704346;330.253326;777.492371;833.550171;172.874222;783.052795;734.420044;169.995605;;;;;;;;;;759.510925;714.587280;167.597565;;;;;;;;;;;;;;;;;;;;;;;;;730.144836;1103.302246;186.768478;;;;;;;;;;;;;;;;;;;;;;;;
57;724.690918;1103.299561;330.289917;776.583923;835.982971;175.051086;782.149109;736.942932;171.801651;;;;;;;;;;758.683472;716.830627;169.680557;;;;;;;;;;;;;;;;;;;;;;;;;729.949585;1105.648560;186.658264;;;;;;;;;;;;;;;;;;;;;;;;
58;724.713440;1104.876343;330.608337;775.278137;838.450928;176.740082;781.391479;738.626465;174.853409;;;;;;;;;;757.319397;719.533569;171.966797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;724.710999;1106.327148;330.847839;773.998291;840.793152;178.414169;780.330078;741.238342;176.321655;;;;;;;;;;756.135010;721.743896;173.790497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;724.870789;1107.861084;330.826233;772.959167;843.440918;180.135025;779.163696;743.595642;179.023239;;;;;;;;;;754.641235;724.285828;175.663162;;;;;;;;;;;;;;;;;;;;;;;;;;;;728.235657;1113.006470;188.076019;;;;;;;;;;;;;;;;;;;;;
61;724.801208;1109.479614;330.839783;771.892639;845.894165;181.809280;777.360352;746.291016;180.925507;;;;;;;;;;753.081970;727.144531;177.923233;;;;;;;;;;;;;;;;;;;;;;;;;;;;728.104431;1115.415771;187.919083;;;;;;;;;;;;;;;;;;;;;
62;724.419067;1110.918579;331.098328;770.701111;848.235779;183.200211;776.247192;748.537903;182.594040;;;;;;;;;;751.745667;729.365784;179.588150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;724.071472;1112.419312;331.600342;769.432007;851.051270;184.653671;774.197266;750.917053;184.565323;;;;;;;;;;750.101135;731.975464;181.744827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;723.465332;1113.834351;332.521179;768.427429;853.528931;186.263824;773.054138;753.765198;185.789856;;;;;;;;;;748.728821;734.394775;182.921066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;726.409912;1122.768677;189.322128;;;;;;;;;;;;;;;;;;
65;723.237122;1115.366943;332.870087;767.094116;856.053589;187.621445;771.132507;755.921997;188.058655;;;;;;;;;;747.036743;737.189758;184.783371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;726.198975;1125.372925;189.515701;;;;;;;;;;;;;;;;;;
66;723.416931;1116.899902;332.477875;765.684082;858.684265;188.973663;769.933838;758.572083;189.380020;;;;;;;;;;744.983093;739.770569;186.344849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;725.666992;1128.206543;189.761795;;;;;;;;;;;;;;;;;;
67;723.502258;1118.539795;332.419617;764.301270;861.233093;190.526321;768.158447;761.127869;190.960419;;;;;;;;;;743.555847;742.146973;187.882813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;726.071655;1130.463867;189.281708;;;;;;;;;;;;;;;;;;
68;723.469543;1120.159058;332.668488;762.966187;863.912537;191.882614;766.350586;763.463440;191.969406;;;;;;;;;;741.858276;745.071777;189.051529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;725.671509;1133.202026;190.068771;;;;;;;;;;;;;;;;;;
69;723.461182;1121.695679;332.761108;761.631714;866.312073;193.189407;764.988037;766.276672;193.419189;;;;;;;;;;740.061646;747.542236;190.148087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;725.190735;1135.625977;190.843887;;;;;;;;;;;;;;;;;;
70;723.341431;1123.294067;333.182281;760.420349;869.036316;194.370224;763.294861;768.707214;194.902039;;;;;;;;;;738.759338;750.087891;191.709381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;724.505371;1138.210083;191.634705;;;;;;;;;;;;;;;;;;
71;722.980042;1124.630615;333.823242;759.318176;871.709534;195.468002;761.884155;770.902283;196.655960;;;;;;;;;;737.194031;752.866272;192.927383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;725.111145;1140.614746;191.818542;;;;;;;;;;;;;;;;;;
72;722.927856;1125.930420;334.564117;758.094116;874.136047;196.626236;760.367004;773.796021;197.333603;;;;;;;;;;735.785767;755.222534;193.313293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;724.731018;1143.328491;192.386551;;;;;;;;;;;;;;;;;;
73;722.735779;1127.406006;334.950562;756.960022;876.702576;197.703506;758.812683;776.222107;198.245422;;;;;;;;;;733.840088;758.042969;194.498199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;724.177979;1145.941040;192.697830;;;;;;;;;;;;;;;;;;
74;722.739258;1128.891113;335.150513;755.473694;879.413025;198.139709;757.842224;778.742432;199.326538;;;;;;;;;;732.384888;760.649414;195.197128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.671997;1148.380615;193.350159;;;;;;;;;;;;;;;;;;
75;722.708679;1130.451172;335.399414;754.173828;882.030396;198.891602;755.761841;781.244263;200.374268;;;;;;;;;;731.047485;763.236206;196.256256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.993958;1150.888916;194.001114;;;;;;;;;;;;;;;;;;
76;722.500305;1132.135498;335.361023;752.928467;884.578003;199.924881;754.874878;783.728577;200.943985;;;;;;;;;;729.800964;766.069519;196.697159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;724.111877;1153.713745;194.418503;;;;;;;;;;;;;;;;;;
77;722.500488;1133.745972;335.426147;751.687866;886.919373;200.665298;753.462219;786.697754;201.075409;;;;;;;;;;728.257996;768.404175;197.001114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.876953;1156.387451;194.386200;;;;;;;;;;;;;;;;;;
78;722.574158;1135.383667;335.700867;750.714294;889.592407;201.434479;751.916931;788.594482;201.815643;;;;;;;;;;726.407898;771.015625;197.780655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.108887;1158.810181;195.174210;;;;;;;;;;;;;;;;;;
79;722.640930;1136.982544;335.908112;749.602112;892.057129;202.153458;750.236572;791.540222;201.850632;;;;;;;;;;725.274719;773.761475;198.111923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.210754;1161.287476;195.834442;;;;;;;;;;;;;;;;;;
80;722.580994;1138.577759;336.314514;748.507874;894.458069;201.755539;749.077820;794.293945;201.861237;;;;;;;;;;724.075745;776.162537;198.146606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.374512;1163.850952;196.335037;;;;;;;;;;;;;;;;;;
81;722.617981;1140.209717;336.944214;747.354126;897.338013;202.138321;747.690430;796.485901;202.484726;;;;;;;;;;722.378296;778.838867;198.789841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.333008;1166.310547;196.715469;;;;;;;;;;;;;;;;;;
82;722.459900;1141.860474;337.242157;746.324219;899.823181;202.689194;746.600464;799.095703;202.878601;;;;;;;;;;720.977905;781.490234;199.072037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;722.285461;1143.403564;337.433441;745.383545;902.075195;203.153717;745.203247;801.603088;202.899033;;;;;;;;;;719.856506;783.854309;198.574539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;722.587708;1171.391113;198.153351;;;;;;;;;;;;;;;
84;722.088684;1144.739624;337.512451;744.318481;904.565674;203.071182;744.356384;804.037598;202.617798;;;;;;;;;;718.468018;786.455322;198.135986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.028076;1173.883423;197.822388;;;;;;;;;;;;;;;
85;722.120544;1146.219849;337.926239;743.023987;907.148987;202.961792;742.430359;806.517517;202.673965;;;;;;;;;;717.466187;788.826233;198.084534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.262512;1176.190674;198.004044;;;;;;;;;;;;;;;
86;722.189697;1147.717896;338.168091;741.998169;909.705811;203.272385;740.697876;808.930054;202.553268;;;;;;;;;;715.557312;791.690186;198.616272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;722.422913;1178.811157;199.023331;;;;;;;;;;;;;;;
87;722.318298;1149.428589;338.198608;741.247681;911.935059;203.360977;739.619507;811.260376;202.160126;;;;;;;;;;714.078247;794.037537;198.549957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;722.009155;1180.987915;199.870819;;;;;;;;;;;;;;;
88;722.437988;1150.969482;338.772583;740.066223;914.610840;202.807144;738.535461;813.582642;202.614334;;;;;;;;;;712.671326;796.635559;198.031570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;722.421509;1183.177856;200.412628;;;;;;;;;;;;;;;
89;722.357056;1152.659546;339.141602;738.981201;916.886963;202.630478;737.358765;816.349915;201.607376;;;;;;;;;;711.486877;799.193542;197.217300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.077698;1185.547852;200.506592;;;;;;;;;;;;;;;
90;722.347717;1154.061157;339.300873;738.169495;919.132507;202.792908;736.408020;818.305603;201.220795;;;;;;;;;;710.255737;801.408569;196.537323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;723.282288;1187.882568;201.092499;;;;;;;;;;;;;;;
