;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
14;799.465576;659.425293;63.745937;806.400269;775.407959;90.214714;823.925537;674.109192;71.243553;777.074829;1109.348389;365.246521;775.679260;1025.155029;160.008972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;799.446411;659.409058;63.810848;806.408813;775.426514;90.273064;823.902527;674.098999;71.207634;777.124023;1109.367798;365.255829;775.600525;1025.142944;160.053177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;799.404358;659.404175;63.804371;806.374878;775.391479;90.146820;823.864380;674.098328;71.185181;777.161865;1109.361938;365.184387;775.495056;1025.148804;160.051498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;799.449646;659.420410;63.768555;806.355652;775.390869;90.184578;823.877197;674.075500;71.246414;777.170105;1109.367065;365.195770;775.406067;1025.161133;160.078400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;799.350525;659.380798;63.781654;806.304321;775.449707;90.309616;823.773193;674.090515;71.288216;777.145081;1109.371948;365.239716;775.271179;1025.177124;160.065842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;799.281738;659.352417;63.774448;806.209900;775.408630;90.326073;823.723511;674.063354;71.319656;777.107300;1109.458252;365.288574;775.145142;1025.078979;160.035339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;799.290894;659.316650;63.782093;806.165405;775.359131;90.363434;823.653870;674.045654;71.382332;777.194458;1109.487427;365.339539;775.059326;1025.068237;160.021332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;799.232056;659.404358;63.768227;806.182007;775.360962;90.550842;823.622864;674.013733;71.394592;777.221008;1109.505859;365.296387;774.937378;1025.089966;159.928467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;799.105652;659.379272;63.787884;806.136414;775.360229;90.608223;823.488159;674.022034;71.487938;777.286011;1109.479858;365.356384;774.790527;1025.114624;159.825333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;799.014160;659.363098;63.848301;806.003845;775.360718;90.726723;823.427368;673.994812;71.491196;777.342651;1109.491211;365.365753;774.743652;1025.122925;159.790833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;798.909180;659.413391;63.872425;805.698853;775.479858;90.983040;823.346680;674.019409;71.552002;777.419067;1109.572266;365.392517;774.539490;1025.231689;159.698364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;798.895569;659.489319;63.852180;805.446350;775.572266;91.227509;823.226013;673.970032;71.683304;777.468079;1109.557739;365.583862;774.335999;1025.344604;159.724976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;798.808594;659.509888;63.893978;805.238525;775.618042;91.413399;823.098511;673.954224;71.756454;777.511841;1109.647705;365.647705;774.176758;1025.343384;159.759872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;798.716492;659.581909;63.939487;805.110596;775.562805;91.790428;822.928162;674.017273;71.801338;777.653259;1109.674316;365.680756;773.998962;1025.434570;159.735107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
