;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
14;834.887634;791.983826;78.798103;836.805176;1100.233154;335.630646;800.217590;685.473267;38.200863;798.091003;1007.660767;143.581970;827.260010;697.552917;39.334538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;834.932251;791.886719;78.846504;836.870605;1100.313599;335.662292;800.159241;685.387207;38.122513;797.985657;1007.629639;143.653519;827.108948;697.611938;39.171242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;834.984680;791.780579;78.807182;836.972168;1100.430298;335.696014;800.166565;685.370911;38.193916;797.890686;1007.649597;143.689575;826.873718;697.773376;38.897709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;835.108948;791.733521;78.655388;836.869690;1100.547363;335.560150;800.126526;685.296753;38.226089;797.820923;1007.628723;143.695526;826.841309;697.723694;38.900131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;835.036499;791.672119;78.682854;837.050842;1100.552979;335.714996;800.059998;685.229065;38.188950;797.675110;1007.527283;143.749405;826.848938;697.682922;38.885075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;835.001282;791.557556;78.679741;837.176880;1100.560059;335.790558;800.067139;685.229919;38.245251;797.605347;1007.495300;143.829437;826.856750;697.677795;38.883266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;834.955933;791.489441;78.656693;837.150269;1100.830688;335.610382;800.085571;685.152527;38.204933;797.503662;1007.496216;143.812775;826.635620;697.779785;38.812145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;834.938599;791.445374;78.781830;837.410034;1100.807251;335.831482;800.063171;685.137268;38.203930;797.332947;1007.430542;143.772903;826.537659;697.753845;38.753662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;834.933594;791.359802;78.939247;837.585327;1100.926392;335.692169;800.024231;685.173340;38.474091;797.221802;1007.436707;143.777954;826.509094;697.711914;38.742893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;834.833313;791.362854;78.936790;837.615356;1101.095337;335.649750;800.065918;685.111694;38.417545;796.725037;1007.561279;143.933212;826.522827;697.700012;38.757278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
