Präzision01158;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;
Time:;14:05:10;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33;776.959656;751.377258;126.790916;770.695251;648.719788;77.133812;775.282043;984.074585;247.199173;840.682983;1089.765503;411.321381;797.645081;664.342102;78.286514
34;776.564026;751.964233;127.391472;770.427734;648.879761;78.340523;774.906189;984.707031;247.330078;840.686462;1089.969238;411.401001;797.142944;664.740234;78.618179
35;776.001343;752.674377;127.798798;769.754333;649.446655;79.636749;774.627991;985.245178;247.132492;840.971191;1090.196289;411.452789;796.502686;665.130676;78.933319
36;775.642700;753.231140;128.375305;769.286621;650.089172;80.393051;774.614868;986.240479;247.117493;840.784119;1090.385742;411.543701;796.069092;665.385681;79.754128
37;775.364319;754.037048;129.039993;769.248596;650.755737;81.027138;774.610046;987.444885;246.880920;840.647522;1090.788940;411.763245;796.054016;665.575134;80.843277
38;775.031311;754.760620;129.511444;769.245361;651.386353;81.814041;774.231079;988.470520;246.612427;840.617249;1091.140625;412.356659;796.184875;665.927307;82.378456
39;774.903992;755.665405;130.494736;768.940857;651.945313;82.792389;773.984497;989.553162;246.650040;840.305115;1091.615967;412.481903;796.242126;666.904175;84.007103
40;774.320374;756.616760;131.657257;768.742615;652.711670;83.775856;773.503296;991.031982;246.818756;840.289429;1092.142700;412.615662;795.703552;667.942139;84.954086
41;773.734009;757.460632;132.365967;768.361267;653.355713;85.360153;773.266296;992.335205;246.648026;840.364807;1092.800781;412.603363;796.147522;669.187317;86.491051
42;773.210388;758.583008;133.498398;767.704224;654.150085;87.157509;773.096985;993.825317;246.475327;840.339050;1093.583984;412.492889;794.776611;669.491455;87.819229
43;773.083313;759.563599;135.272766;767.088562;655.285095;88.932259;772.681091;995.755859;245.820602;840.409607;1094.283447;412.450348;793.595703;670.069885;89.140739
44;772.255737;760.455872;136.615387;766.789856;656.282715;90.565002;772.234619;997.400635;245.538483;840.408447;1095.020630;412.509491;792.711487;671.205505;91.136032
45;771.561707;761.839905;137.665070;766.416748;657.119324;91.896057;771.512573;999.206848;245.895889;840.117004;1095.963745;412.821686;792.315979;672.398865;92.728600
46;770.684326;763.355774;139.185822;765.348328;658.195862;93.858765;771.311401;1000.963501;246.366470;840.259888;1097.037354;412.915131;792.503784;673.528137;95.143372
47;769.991272;764.393005;140.597351;764.145996;659.870544;96.242493;770.751465;1003.025269;246.044556;840.287476;1098.134644;412.935028;791.265564;674.267517;96.910225
48;769.047119;766.165100;141.952072;763.618958;661.026367;98.122849;770.099182;1005.240784;245.612305;840.219910;1099.097046;412.918396;790.024536;675.983765;98.269081
49;767.926025;767.747620;143.557419;762.427307;662.076660;100.633789;769.414063;1007.272522;245.451935;840.581909;1099.898682;412.727692;789.610779;677.103088;100.783272
50;767.060547;769.426819;145.091125;761.634460;663.605591;102.692261;769.131409;1009.571838;245.624451;841.025452;1100.792725;412.711700;788.500488;678.061218;102.808395
51;765.789856;771.268860;146.763382;760.591614;665.279785;104.866669;768.770569;1011.923889;245.382599;841.146912;1101.848755;412.747833;787.198303;679.935730;105.337860
52;764.679626;772.865601;148.945282;759.313782;666.880432;107.009285;768.455994;1014.423157;245.015884;841.113831;1103.033325;412.842499;785.965576;681.342712;107.849579
53;763.374634;774.980713;150.876373;757.801208;668.661804;109.301582;768.143188;1017.228516;245.222610;840.727905;1104.298096;413.162964;784.832214;683.048767;110.200943
54;762.042725;776.795288;152.528976;756.310059;670.421326;111.811081;767.146973;1019.827515;245.356628;840.360229;1105.418579;413.407227;783.988342;684.876892;112.709839
55;760.897156;779.172852;154.230026;754.753174;672.474731;114.193512;766.464355;1022.367798;244.791458;840.557922;1106.683228;413.432007;782.101624;686.569336;115.047478
56;759.467896;781.302307;155.916550;753.955200;674.426086;116.230545;766.215759;1025.022461;244.833557;840.741638;1107.992554;413.579926;781.015442;688.721497;116.940445
57;758.330505;783.717957;157.814896;752.172180;676.578796;119.039925;765.622253;1027.995605;245.144501;841.085693;1109.066040;413.773712;779.017822;690.827759;119.397461
58;756.858337;786.185059;159.540039;750.380798;678.702271;121.244583;765.167297;1031.126953;244.658142;841.452637;1110.114014;414.197083;777.669678;692.727539;122.058998
59;755.683960;788.437378;160.795639;748.779114;681.009644;123.867386;765.132751;1033.937866;244.763397;841.480713;1111.410400;414.418182;776.051819;694.756897;124.501617
60;754.327881;791.094971;163.158386;746.933838;683.158813;125.823578;764.277466;1036.760742;244.982956;841.195190;1112.819214;414.394440;774.555481;697.092896;126.802948
61;752.761597;793.609253;165.013031;745.072205;685.871887;128.422714;763.269531;1039.764404;245.077896;841.127563;1114.148926;414.753204;772.197327;699.193909;129.224503
62;751.162903;796.267761;167.196213;743.152649;688.267334;130.675308;763.329529;1042.745850;244.807068;841.335571;1115.426514;415.068939;770.274475;701.995972;131.191483
63;749.369934;798.974426;169.044998;741.365601;690.958801;132.601669;763.239319;1045.920532;245.009216;841.539795;1116.654053;415.405121;769.013794;704.327209;133.213470
64;748.192383;801.355042;171.023590;739.377991;693.793518;135.010269;762.763184;1049.006348;245.335327;841.818848;1117.970093;415.736511;766.865601;706.945862;135.827591
65;746.395691;804.487976;173.051544;737.062317;696.437134;137.083969;762.369568;1051.978638;245.700623;841.916443;1119.372925;416.216949;764.714417;709.737915;137.973526
66;744.896729;807.330139;174.732346;735.220764;699.390747;139.137680;761.890869;1055.035278;245.756485;841.911743;1120.892456;416.599365;763.462830;711.925720;140.287064
67;743.334290;810.032471;176.462631;733.379333;701.823059;141.146317;761.423645;1058.167236;246.217941;841.946472;1122.211548;417.054443;761.027283;714.909851;142.194031
68;741.496582;813.286804;178.084167;730.800110;705.132202;143.778183;761.255127;1061.496826;246.325943;842.195313;1123.371460;417.329529;758.263184;717.988831;143.932968
69;740.098083;816.579956;179.893509;729.069153;708.097107;145.410645;761.009338;1064.822998;246.279251;842.830383;1124.833130;417.460602;756.779968;720.216736;146.093094
70;738.364624;819.607056;181.175156;726.788757;711.086731;147.279739;760.182129;1068.132324;246.701614;843.337402;1126.281372;417.454346;754.951294;723.343933;148.089203
71;736.553101;822.641541;182.654587;724.626465;714.129944;149.242889;760.000244;1071.274414;247.711029;843.225159;1127.668213;417.934662;752.522644;726.563416;149.627167
72;735.083374;825.882507;184.151932;722.253113;717.236633;151.306198;759.789917;1074.543457;247.897751;843.240356;1129.044434;418.475128;750.488159;729.424683;151.935226
73;733.367859;829.183289;185.748138;720.594910;720.249939;152.917480;759.367310;1077.960205;247.961594;843.152100;1130.545410;418.502472;748.732849;732.416321;153.609299
74;732.022217;832.117249;187.351944;718.327209;723.673584;154.517212;759.309937;1080.795654;248.239853;843.296570;1132.016113;418.879852;746.176758;735.714844;155.014359
75;730.245728;835.249634;189.162674;715.977295;727.078979;156.114700;758.828613;1083.976807;249.035141;843.617737;1133.327637;419.239746;743.755554;738.935120;156.643524
76;728.192383;838.381165;190.277084;713.998108;730.462952;157.142456;758.499817;1087.211182;249.458054;843.984558;1134.868042;419.454834;742.318115;741.700195;158.091370
77;726.630432;841.892517;191.982132;712.011230;733.660706;158.848923;758.474365;1090.485352;249.532028;843.869751;1136.232788;420.238525;740.158875;744.888367;159.944702
78;724.786438;845.181396;193.282928;709.612427;736.866638;160.384323;757.401550;1093.786255;250.271484;843.984985;1137.702637;420.538330;737.762695;748.209656;161.304031
79;723.090271;848.363159;194.473053;707.456238;740.496338;161.527405;757.197083;1096.882813;251.121460;844.354919;1139.201782;420.986633;735.791687;751.412720;162.200699
80;722.016296;851.532410;195.978424;705.153442;743.788574;163.375183;757.113403;1100.187988;251.794083;844.849548;1140.692383;421.924652;733.620544;754.557861;164.089142
81;720.190186;855.147034;196.824478;703.473816;747.239380;164.060120;757.135803;1103.433716;252.075714;845.336792;1142.095093;422.224365;732.108765;757.575317;165.199585
82;718.520813;858.807190;197.778503;701.332092;750.662720;165.416702;756.498779;1106.799683;252.217636;845.569519;1143.386475;422.439636;729.367554;761.127563;166.439560
83;716.716797;862.150696;198.707367;698.833313;753.874268;166.673218;756.835205;1109.853027;252.966415;845.681580;1144.800903;422.906616;726.747925;764.687561;168.095963
84;715.240601;865.168701;200.110382;696.494507;757.624146;167.839020;756.834534;1112.967529;253.761292;846.295105;1146.367065;422.954376;725.318420;767.498901;168.733688
85;714.046204;868.612671;201.649231;694.079895;761.033020;169.241653;756.281311;1116.005005;254.429199;846.450500;1147.637329;423.656036;723.172241;770.566711;170.463058
86;712.576294;871.922180;202.341339;692.146973;764.271545;170.217590;756.037354;1119.382080;254.843399;846.574219;1148.932129;424.169281;720.774292;774.020752;171.119614
87;710.864624;875.671875;203.152954;689.816101;767.855042;171.257965;756.664246;1122.572021;255.217484;846.757141;1150.111694;424.784241;718.355774;777.731323;171.757614
