Präzision01165;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:51:01;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
37;752.522461;1048.741577;446.790283;760.099304;941.895020;283.869141;784.036377;662.374084;42.521095;806.797302;767.227905;92.747276;;;;;;;808.327637;680.784546;44.679901;;;;;;
38;752.384399;1048.987427;446.703522;759.736084;942.551697;283.905670;784.042664;662.411682;43.493752;806.577393;767.385010;93.354042;;;;;;;807.695374;680.826965;44.859230;;;;;;
39;752.223694;1049.281860;446.681854;759.462646;943.123352;284.087891;783.923340;662.473450;44.329288;806.404602;767.580933;93.871078;;;;;;;808.119995;680.947998;45.372829;;;;;;
40;752.170593;1049.474854;446.789276;759.096619;943.787170;284.279144;783.789673;662.641541;45.217999;806.351807;767.637024;94.714745;;;;;;;808.256104;681.055603;46.366638;;;;;;
41;751.775940;1049.746948;446.773834;758.712830;944.557190;284.278320;783.835571;662.906189;46.148598;805.932434;767.752808;95.894814;;;;;;;807.913208;681.135132;48.340851;;;;;;
42;751.684265;1050.113159;446.946625;758.094543;945.455933;284.458832;783.632568;663.088623;47.439198;805.534485;768.104187;96.573341;;;;;;;807.845154;681.174683;50.067741;;;;;;
43;751.470642;1050.438721;446.943665;757.608826;946.642212;284.325653;783.522339;663.151245;48.238087;805.127930;768.497192;97.179550;;;;;;;807.760254;681.375061;50.848431;;;;;;
44;751.154785;1050.909058;446.997192;756.974609;947.677124;284.162628;783.309753;663.131775;49.364330;804.747681;768.901245;97.769852;;;;;;;807.688232;681.792603;51.726860;;;;;;
45;750.778564;1051.398315;447.215118;756.546448;948.774048;284.056946;782.877930;663.146179;51.107033;804.980347;769.421082;98.933578;;;;;;;807.379211;681.928345;53.363121;;;;;;
46;750.365479;1051.828003;447.295074;756.374878;949.971191;284.141113;782.822937;663.230469;53.015526;804.913269;769.748047;100.219360;;;;;;;807.331604;681.860107;54.725807;;;;;;
47;750.194824;1052.343628;447.357178;755.918518;951.529968;284.102844;782.982422;663.245544;54.158035;804.397888;770.151306;101.328636;;;;;;;807.005310;682.053040;56.099022;;;;;;
48;750.062439;1053.055908;447.426788;755.529053;952.549988;284.153992;782.989929;663.520264;55.404469;804.166687;770.692322;102.647430;;;;;;;807.218384;682.389343;57.994686;;;;;;
49;749.976563;1053.762085;447.335968;754.930481;953.664917;284.177734;782.986145;664.146179;57.374519;804.161987;771.122864;103.924393;;;;;;;807.345215;682.455811;59.808170;;;;;;
50;749.912415;1054.387939;447.461914;754.279663;955.277527;284.772247;782.861633;664.002747;59.347588;803.911743;771.395081;104.836159;;;;;;;807.431396;682.543518;61.506516;;;;;;
