Präzision03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:08:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;771.746460;670.048950;112.258133;790.179749;781.505798;133.228775;773.234924;1089.549561;370.293793;797.717712;682.344788;112.382042;747.010498;1032.867676;206.057816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;771.199646;671.710815;115.477768;789.915955;783.471497;135.858246;772.590637;1091.034912;370.933685;796.376831;684.693054;114.832733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;770.241272;673.364014;118.628670;789.157593;785.140198;138.209091;772.118347;1092.529663;371.547150;796.331970;686.033203;118.726860;;;;745.468750;1037.695557;205.579742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;770.239319;675.332764;121.555382;787.873962;787.249207;140.670837;771.932312;1094.061523;372.013794;796.055115;687.343445;122.815178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;769.038818;677.291931;125.113792;787.191895;789.370789;143.018158;771.681213;1095.770996;371.972534;795.669983;689.549011;125.572662;;;;;;;743.985840;1042.766968;206.049728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;768.023438;679.216492;128.167465;786.537659;791.676575;145.441193;771.618286;1097.531982;371.852997;794.747498;691.378845;129.300415;;;;;;;742.805664;1045.584839;206.558411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;767.256042;681.322754;131.856277;785.666321;794.055298;148.328506;771.484314;1099.195313;372.197845;793.786133;693.796509;132.964645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;766.357056;683.907898;134.929428;784.383301;796.490479;151.051178;771.093994;1101.078247;373.025024;792.516846;696.134644;135.896469;;;;;;;;;;740.995667;1051.571655;206.010925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;765.539001;686.422119;137.708069;783.196777;799.108459;153.298935;770.466614;1102.968140;374.031769;791.573120;698.369080;139.045975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
