;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;813.256958;782.250366;80.322502;773.628723;1085.201904;357.066406;771.519409;1020.665894;197.552017;774.356812;677.478638;43.209217;802.665955;687.809082;43.411228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;813.301636;782.251953;80.331055;773.663147;1085.179565;357.060181;771.494629;1020.594482;197.510193;774.461365;677.506104;43.193340;802.129333;688.137451;42.740154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;813.334106;782.296997;80.321449;773.629639;1085.209961;357.075714;771.486633;1020.671021;197.479797;774.372986;677.505432;43.212860;803.378845;687.798096;43.953873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;813.314758;782.295349;80.216118;773.580688;1085.197510;357.049866;771.539978;1020.693604;197.463165;774.387207;677.472351;43.302010;804.141296;687.390320;44.755398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;813.255249;782.355286;80.147850;773.624573;1085.309570;357.073517;771.548828;1020.681641;197.385574;774.488586;677.515625;43.246735;803.588684;687.416443;44.234398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;813.341675;782.390564;80.210777;773.623535;1085.213257;357.084351;771.632263;1020.694824;197.521454;774.499756;677.525391;43.169273;803.759338;687.490784;44.335999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;813.191772;782.276062;80.046410;773.627502;1085.213135;357.067352;771.553650;1020.682678;197.598404;774.416565;677.496643;43.248344;804.049927;687.411194;44.599041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;813.311462;782.338318;80.132011;773.621277;1085.207275;357.065521;771.498596;1020.586060;197.568405;774.523926;677.410767;43.217754;803.541626;687.477966;43.995819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;813.349365;782.379761;80.178383;773.545654;1085.195801;357.142853;771.481812;1020.563965;197.534668;774.540527;677.387573;43.150139;804.025330;687.386292;44.566681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;813.343506;782.353821;80.143791;773.569336;1085.209473;357.140015;771.460510;1020.563110;197.456635;774.573608;677.500122;43.128174;804.168091;687.372437;44.739582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
