;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;814.223633;766.333984;83.478989;796.967285;677.386353;52.525253;833.358826;995.398987;337.724213;767.160889;672.243530;45.624874;800.961243;963.034790;198.012375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;814.172974;766.316345;83.469528;796.985596;677.389282;52.565571;833.345642;995.464783;337.712219;766.801208;672.385925;46.022499;800.915161;963.058716;197.939743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;814.124207;766.289856;83.546448;796.933350;677.389282;52.567905;833.327148;995.492737;337.664612;766.438049;672.357056;46.433651;800.940613;963.039490;198.004379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;814.029907;766.313843;83.522331;796.871033;677.406982;52.534115;833.113831;995.592529;337.906158;766.427124;672.317749;46.480824;800.940247;963.031189;198.037476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;814.043396;766.316833;83.475204;796.815613;677.409973;52.572929;833.217346;995.505127;337.746582;766.340210;672.335510;46.528065;800.901306;963.031677;198.056732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;814.131042;766.296814;83.561012;796.811096;677.406982;52.588848;833.286255;995.485535;337.686157;766.314880;672.313354;46.509888;800.852295;963.033264;198.081680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;814.144775;766.224609;83.648453;796.732361;677.427734;52.541073;833.255066;995.503052;337.738342;766.373657;672.311096;46.310516;800.770020;963.053223;198.084457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;814.047668;766.286133;83.600418;796.629211;677.458923;52.461857;833.161133;995.586487;337.666046;766.356018;672.317566;46.195515;800.801819;963.048462;198.036880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;814.049255;766.270020;83.716446;796.531616;677.475586;52.472698;833.222534;995.605103;337.646423;766.343689;672.318909;46.195198;800.752625;963.053955;198.073608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;814.039917;766.214478;83.754028;796.492432;677.464600;52.487553;833.164063;995.610413;337.709778;766.215759;672.295471;46.119637;800.716736;963.056946;198.111130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;813.913025;766.220032;83.748581;796.366516;677.501831;52.518661;833.183838;995.607422;337.711487;766.105896;672.286804;46.189339;801.079651;962.914917;197.265457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;813.874207;766.244385;83.759415;796.322266;677.381287;52.611824;833.100159;995.688110;337.725037;766.162964;672.309814;46.194592;800.873718;963.039795;197.572510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;813.857605;766.215698;83.855705;795.935059;677.416016;52.775150;833.067871;995.700439;337.724335;765.479309;672.203491;46.355350;800.456909;963.083618;198.055603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;813.723267;766.182861;83.890625;795.779480;677.494263;52.893154;833.094238;995.691284;337.700958;765.751465;672.241028;46.407204;800.257019;963.099243;198.220612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;813.663696;766.174561;83.995293;795.633667;677.487549;53.053791;833.046265;995.797852;337.684814;765.942749;672.321167;46.251858;800.227417;963.111206;198.222076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;813.512146;766.183105;84.044220;795.549561;677.438110;53.242088;832.995667;995.811768;337.677124;765.952637;672.360596;46.197437;800.144043;963.132080;198.226624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;813.255249;766.040588;84.268654;795.523254;677.384338;53.372875;832.972229;995.882996;337.691071;765.987000;672.241333;46.157295;799.914124;963.230347;198.199951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;813.038147;766.097717;84.366341;795.473938;677.417664;53.470234;832.906067;995.899841;337.678741;765.935730;672.293518;46.116104;799.760193;963.239685;198.276016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;813.028076;766.061462;84.430946;795.411560;677.403992;53.560616;832.893494;996.029602;337.682434;765.871338;672.247131;46.134830;799.596375;963.367126;198.377167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;812.899841;766.124084;84.518036;795.231201;677.463562;53.576180;832.741150;996.205872;337.634796;765.706482;672.328918;46.148521;799.333740;963.460999;198.394714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
