Präzision01112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;16:09:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29;845.779724;980.665039;271.102692;827.296021;795.776062;103.453911;806.060974;683.007141;76.702950;832.898865;694.030090;79.229668;812.839355;1031.327759;450.861786;;;;;;;;;;;;;;;;;;
30;845.808533;980.717285;271.113586;827.370544;795.736267;103.407890;806.190186;683.020203;76.528831;833.053284;694.019897;79.319412;812.701477;1031.367920;451.008423;;;;;;;;;;;;;;;;;;
31;845.618225;980.809509;270.909576;827.287659;795.781128;103.445786;806.205444;683.011230;76.556419;833.031128;693.979797;79.369286;812.713379;1031.471191;451.136932;;;;;;;;;;;;;;;;;;
32;845.755798;980.748596;271.046844;827.410645;795.740601;103.399345;806.255615;683.001587;76.622429;833.066467;694.007080;79.328423;812.723389;1031.470825;451.130676;;;;;;;;;;;;;;;;;;
33;845.813843;980.754211;271.089935;827.498169;795.777283;103.334465;806.266418;683.013428;76.592072;833.010986;694.062378;79.246521;812.762878;1031.563232;451.096619;;;;;;;;;;;;;;;;;;
34;845.797241;980.763489;271.074951;827.483093;795.732056;103.324173;806.311462;683.018860;76.568001;832.996033;694.077087;79.322525;812.778198;1031.587891;451.090546;;;;;;;;;;;;;;;;;;
35;845.703979;980.850037;270.819916;827.504944;795.737793;103.331085;806.284668;683.008179;76.603279;833.063782;694.074158;79.328499;812.774170;1031.685425;451.085693;;;;;;;;;;;;;;;;;;
36;845.681763;980.929077;270.763885;827.522095;795.747192;103.330673;806.325195;683.014465;76.640594;833.048645;694.095825;79.343590;812.860168;1031.785278;451.114014;;;;;;;;;;;;;;;;;;
37;845.684875;980.898376;270.785889;827.523804;795.847412;103.327614;806.408691;683.013550;76.573936;833.080933;694.100159;79.349716;812.805176;1031.864014;451.138336;;;;;;;;;;;;;;;;;;
38;845.697083;980.901001;270.787750;827.418396;795.867859;103.383057;806.445923;683.109497;76.611107;833.120728;694.134216;79.332558;812.815186;1031.896484;451.085510;;;;;;;;;;;;;;;;;;
