;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
22;793.469788;766.538269;93.324898;762.792114;671.016785;35.415768;791.797180;679.093262;39.515827;;;;;;;763.751282;1074.039795;370.190521;753.685486;1006.043213;215.394348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;793.143494;766.634094;93.806328;762.775879;671.354309;35.517189;791.734558;679.114258;40.050171;;;;;;;763.501648;1074.342896;370.380035;753.450439;1006.364441;215.415665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;792.937195;766.983154;94.159462;762.760559;671.521240;35.776230;791.810730;678.978271;40.891228;;;;;;;763.382324;1074.668945;370.385651;753.218750;1006.884094;215.335709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;792.632324;767.286011;94.730171;762.713684;671.586060;36.270496;791.665039;678.812805;41.842403;;;;;;;763.349243;1075.008911;370.362610;752.933777;1007.384766;215.225555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;792.232910;767.563599;95.417793;762.582275;671.668274;37.280895;791.099426;678.787048;43.282429;;;;;;;763.304504;1075.588745;370.130310;752.641968;1007.939758;214.885132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;791.968811;767.813538;96.319519;762.056763;671.820129;38.531231;790.511108;679.117249;44.342140;;;;;;;763.252869;1076.217651;370.110260;753.343811;1008.867188;214.197800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;791.487915;768.107300;97.380096;761.471985;672.130859;39.840591;790.080200;679.273376;45.343548;;;;;;;763.136597;1076.747559;370.112274;752.661377;1009.874084;213.897629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;790.927185;768.315796;98.559029;760.940613;672.422791;41.146877;789.476624;679.348877;47.072357;;;;;;;762.954590;1077.343994;370.275940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;790.304016;768.854675;99.508675;760.358459;672.783875;42.475094;788.883240;679.731140;48.684502;;;;;;;762.755188;1078.082886;370.359863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;789.661377;769.205078;100.863380;759.897949;673.127258;44.132359;789.136047;679.013611;49.968662;;;;;;;762.601013;1078.706543;370.460754;;;;751.316589;1012.889893;214.021622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;788.889893;769.784180;102.350395;759.438965;673.364624;45.948490;788.001587;679.915955;52.873444;;;;;;;762.409729;1079.521362;370.514252;;;;751.061523;1014.423706;213.506271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;788.266663;770.795593;103.805893;759.013855;673.567566;48.106472;787.359314;680.474731;54.674492;;;;;;;762.345642;1080.354004;370.493408;;;;750.505005;1015.747620;212.699539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;787.828552;771.614990;105.146423;758.559265;673.842834;49.977589;787.052185;680.740295;57.191898;;;;;;;762.333374;1081.325562;370.296539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;787.666443;772.168152;107.097885;758.235474;674.289917;52.314896;786.613037;681.248718;59.607430;;;;;;;762.309631;1082.484741;370.116333;;;;;;;749.934814;1019.073364;212.408066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;787.237122;772.942627;108.838203;757.832642;674.513855;55.464600;786.221863;681.672302;62.124187;;;;;;;762.154724;1083.849976;369.903442;;;;;;;749.585510;1020.790100;211.261688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;786.877686;774.124207;110.847977;757.331299;675.113464;58.397366;786.084229;682.179871;64.985268;;;;;;;762.328125;1085.248535;369.482666;;;;;;;748.916321;1022.897949;210.679626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;786.204468;775.444824;112.419250;757.507263;675.766541;61.087116;785.717041;682.629639;68.056038;;;;;;;762.041016;1086.736694;369.157990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;785.991821;776.504944;115.076599;757.307678;676.631897;64.222588;785.453857;683.483887;70.586090;;;;;;;761.649292;1088.105957;369.235840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
