Präzision01155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:10:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
26;781.702087;791.045288;98.876556;676.280334;1106.359497;397.427734;708.047729;1075.348145;214.781509;769.279907;689.736877;47.699574;796.433289;703.403748;48.504669;;;;;;;;;;;;;;;;;;;;;;;;
27;780.929932;791.485229;99.988182;676.164368;1107.026001;397.709503;;;;768.826660;690.246033;49.398094;796.149231;703.699280;49.977024;;;;;;;;;;;;;;;;;;;;;;;;
28;779.756775;792.262878;101.260605;676.339417;1107.828369;397.697540;;;;768.267456;690.770325;51.272999;796.013489;703.928650;51.868256;707.553101;1077.491455;214.811249;;;;;;;;;;;;;;;;;;;;;
29;779.074524;793.023743;102.519508;676.048889;1108.444092;398.074493;;;;767.351379;691.100464;53.135067;795.410889;704.284668;53.911556;707.052490;1078.670532;215.155533;;;;;;;;;;;;;;;;;;;;;
30;778.691650;793.795715;104.919128;675.836914;1109.089111;398.415894;;;;767.097351;691.572144;54.850376;795.287048;705.081848;55.833832;706.074585;1079.959717;215.626709;;;;;;;;;;;;;;;;;;;;;
31;777.935425;794.510559;106.676399;675.445190;1109.763428;399.003326;;;;767.201721;692.441833;57.042538;794.805054;706.012817;58.421558;705.015442;1081.314941;216.098328;;;;;;;;;;;;;;;;;;;;;
32;777.241150;795.426697;108.235306;675.156311;1110.686646;399.521149;;;;767.042297;693.188538;59.311722;794.511353;706.968018;60.678837;704.411133;1082.932739;216.285385;;;;;;;;;;;;;;;;;;;;;
33;776.759094;796.785583;110.681961;674.958191;1111.463745;399.881348;;;;766.564941;694.199585;62.278229;794.016174;707.690247;63.812748;703.822205;1084.609619;216.039169;;;;;;;;;;;;;;;;;;;;;
34;776.560120;798.007690;113.653503;674.788147;1112.319458;400.212952;;;;766.706055;695.299683;65.402496;794.095886;708.211243;66.811806;703.155457;1086.426880;215.834045;;;;;;;;;;;;;;;;;;;;;
35;775.884583;799.326416;115.832794;674.571777;1113.231201;400.448090;;;;766.014587;695.803040;69.686432;793.695923;709.631165;70.150078;702.284363;1088.402344;215.904099;;;;;;;;;;;;;;;;;;;;;
36;775.631714;800.798096;119.134247;674.272522;1114.358398;400.833099;;;;766.125977;696.499390;73.426537;793.679871;710.937805;74.040810;701.392944;1090.346802;216.540573;;;;;;;;;;;;;;;;;;;;;
37;774.974548;802.270630;122.556816;674.101685;1115.266968;401.358337;;;;766.709290;697.905701;77.214478;794.182617;711.887146;78.087288;;;;;;;;;;;;;;;;;;;;;;;;
38;774.733521;804.040344;125.706749;673.781006;1116.558838;402.086365;;;;766.151184;698.591553;82.086258;794.203430;713.260681;82.347435;;;;698.888855;1094.806396;217.512634;;;;;;;;;;;;;;;;;;
39;774.425720;805.674561;128.826614;673.387390;1117.927002;402.888062;;;;766.361877;700.156738;86.282249;794.100647;714.952148;86.674377;;;;698.003479;1096.968750;217.321075;;;;;;;;;;;;;;;;;;
40;773.759460;807.316467;132.450409;673.049194;1119.215454;403.620148;;;;766.935852;701.786499;90.268112;794.503723;716.192688;90.707718;;;;696.985168;1099.542114;217.639694;;;;;;;;;;;;;;;;;;
41;773.022339;809.556824;136.825806;672.690552;1120.562134;403.969696;;;;767.218262;703.220703;95.194641;794.752258;718.054382;95.196571;;;;695.499817;1101.934326;218.621368;;;;;;;;;;;;;;;;;;
42;772.594238;811.594666;140.857483;672.425659;1121.894653;404.300354;;;;767.653442;705.056335;99.956375;794.640564;719.816406;100.273064;;;;693.655334;1104.417236;219.706741;;;;;;;;;;;;;;;;;;
43;772.056702;813.876160;144.468979;671.871826;1123.647827;405.486420;;;;767.542969;706.789368;105.136803;794.535217;721.853210;105.291100;;;;692.199829;1107.059448;220.177811;;;;;;;;;;;;;;;;;;
44;771.352722;816.092102;148.995407;671.373779;1125.073730;406.399506;;;;767.966858;708.426880;109.868515;794.649719;723.759399;110.425919;;;;690.855164;1109.662598;220.548248;;;;;;;;;;;;;;;;;;
45;770.579956;818.462097;152.818848;671.105713;1126.794800;406.935455;;;;767.468384;710.691833;115.475464;794.345886;726.185486;115.743660;;;;688.897888;1112.746094;221.600052;;;;;;;;;;;;;;;;;;
46;769.867310;821.088501;157.466751;670.867065;1128.351807;407.394775;;;;767.686035;712.730286;120.753723;794.261169;728.160461;121.038498;;;;687.047058;1115.596436;222.695007;;;;;;;;;;;;;;;;;;
