PTP209
Date:,2025/04/08
Time:,13:36:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
86,96.667831,351.694580,140.603317,,,,,,,,,,,,,,,,,,
87,95.806252,350.599854,140.195648,,,,,,,,,,,,,,,,,,
88,95.284698,349.589966,139.557220,,,,,,,,,,,,,,,,,,
89,94.846962,348.852386,138.714996,,,,,,,,,,,,,,,,,,
90,94.596481,347.819580,138.022400,,,,,,,,,,,,,,,,,,
91,94.131989,346.891968,137.067902,,,,,,,,,,,,,,,,,,
92,93.644592,346.195221,136.133194,,,,,,,,,,,,,,,,,,
93,93.317398,345.613312,135.351837,,,,,,,,,,,,,,,,,,
94,93.081490,344.793732,134.265778,,,,,,,,,,,,,,,,,,
95,92.512611,343.900482,133.057678,,,,,,,,,,,,,,,,,,
96,91.795090,343.440399,132.553421,,,,,,,,,,,,,,,,,,
97,91.361687,342.982056,131.974792,,,,,,,,,,,,,,,,,,
98,91.001358,342.609619,130.663391,,,,,,,,,,,,,,,,,,
99,90.632217,342.346832,129.732407,,,,,,,,,,,,,,,,,,
100,89.912445,342.000946,128.893814,,,,,,,,,,,,,,,,,,
101,89.557251,341.710510,127.548576,,,,,,,,,,,,,,,,,,
102,88.886169,341.401337,126.726303,,,,,,,,,,,,,,,,,,
103,88.046577,341.041321,125.922356,,,,,,,,,,,,,,,,,,
104,87.435349,340.752106,125.055862,,,,,,,,,,,,,,,,,,
105,86.806480,340.323151,124.053596,,,,,,,,,,,,,,,,,,
106,85.868011,340.263397,123.056602,,,,,,,,,,,,,,,,,,
107,85.172699,340.242401,122.811394,,,,,,,,,,,,,,,,,,
108,84.545403,340.155029,122.607941,,,,,,,,,,,,,,,,,,
109,84.069733,340.091949,122.250565,,,,,,,,,,,,,,,,,,
110,83.568092,340.059479,121.823761,,,,,,,,,,,,,,,,,,
111,83.235634,339.977631,121.644241,,,,,,,,,,,,,,,,,,
112,83.005775,339.892578,121.507500,,,,,,,,,,,,,,,,,,
113,82.915749,339.818604,121.474350,,,,,,,,,,,,,,,,,,
114,82.904610,339.687408,121.485023,,,,,,,,,,,,,,,,,,
115,82.908028,339.675537,121.490387,,,,,,,,,,,,,,,,,,
116,82.868874,339.662292,121.581757,,,,,,,,,,,,,,,,,,
117,82.860245,339.647644,121.577568,,,,,,,,,,,,,,,,,,
118,82.889984,339.634827,121.471184,,,,,,,,,,,,,,,,,,
119,82.939682,339.555084,121.506081,,,,,,,,,,,,,,,,,,
120,82.942123,339.529083,121.526283,,,,,,,,,,,,,,,,,,
121,82.916824,339.508728,121.427055,,,,,,,,,,,,,,,,,,
122,82.863312,339.458374,121.437866,,,,,,,,,,,,,,,,,,
123,82.807823,339.449219,121.341766,,,,,,,,,,,,,,,,,,
124,82.710220,339.431335,121.280373,,,,,,,,,,,,,,,,,,
125,82.606865,339.452667,121.286766,,,,,,,,,,,,,,,,,,
126,82.470314,339.372589,121.263237,,,,,,,,,,,,,,,,,,
127,82.323288,339.327026,121.262756,,,,,,,,,,,,,,,,,,
128,82.260895,339.339142,121.232338,,,,,,,,,,,,,,,,,,
129,82.199837,339.220581,121.226425,,,,,,,,,,,,,,,,,,
130,82.067337,339.169586,121.234215,,,,,,,,,,,,,,,,,,
131,81.956528,339.061676,121.300484,,,,,,,,,,,,,,,,,,
132,81.917404,338.948425,121.234253,,,,,,,,,,,,,,,,,,
133,81.892075,338.860291,121.238640,,,,,,,,,,,,,,,,,,
134,81.838867,338.804749,121.375343,,,,,,,,,,,,,,,,,,
135,81.775192,338.779419,121.278008,,,,,,,,,,,,,,,,,,
136,81.694511,338.754517,121.440269,,,,,,,,,,,,,,,,,,
137,81.614304,338.667969,121.495941,,,,,,,,,,,,,,,,,,
138,81.594505,338.659454,121.524086,,,,,,,,,,,,,,,,,,
139,81.472206,338.605530,121.540031,,,,,,,,,,,,,,,,,,
140,81.408173,338.587616,121.596146,,,,,,,,,,,,,,,,,,
141,81.267075,338.519470,121.619942,,,,,,,,,,,,,,,,,,
142,81.212799,338.547150,121.606590,,,,,,,,,,,,,,,,,,
143,81.061966,338.532227,121.504433,,,,,,,,,,,,,,,,,,
144,80.930466,338.472778,121.567398,,,,,,,,,,,,,,,,,,
145,80.905357,338.456696,121.578857,,,,,,,,,,,,,,,,,,
146,80.785118,338.409119,121.633606,,,,,,,,,,,,,,,,,,
147,80.706154,338.481476,121.603065,,,,,,,,,,,,,,,,,,
148,80.628784,338.516785,121.567802,,,,,,,,,,,,,,,,,,
149,80.598709,338.497833,121.557938,,,,,,,,,,,,,,,,,,
150,80.520493,338.515533,121.536171,,,,,,,,,,,,,,,,,,
151,80.441879,338.530762,121.531410,,,,,,,,,,,,,,,,,,
152,80.375923,338.560730,121.440437,,,,,,,,,,,,,,,,,,
153,80.305489,338.646698,121.401512,,,,,,,,,,,,,,,,,,
154,80.180328,338.675751,121.292725,,,,,,,,,,,,,,,,,,
155,80.111496,338.696503,121.272575,,,,,,,,,,,,,,,,,,
156,79.956139,338.642212,121.247627,,,,,,,,,,,,,,,,,,
157,79.732399,338.695557,121.200569,,,,,,,,,,,,,,,,,,
158,79.700798,338.635132,121.245895,,,,,,,,,,,,,,,,,,
159,79.632240,338.619141,121.179672,,,,,,,,,,,,,,,,,,
160,79.543655,338.564484,121.159790,,,,,,,,,,,,,,,,,,
161,79.460793,338.538116,121.232307,,,,,,,,,,,,,,,,,,
162,79.441849,338.488403,121.265511,,,,,,,,,,,,,,,,,,
163,79.312126,338.467285,121.286377,,,,,,,,,,,,,,,,,,
164,79.268112,338.462341,121.246811,,,,,,,,,,,,,,,,,,
