PTP255
Date:,2025/04/23
Time:,14:00:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
72,788.018127,705.348755,169.552582,,,,,,
73,783.991882,707.695007,171.118408,,,,,,
74,780.036072,710.025696,172.961105,,,,,,
75,775.911072,712.369385,174.568787,,,,,,
76,771.728455,714.830078,175.845718,,,,,,
77,767.855652,716.875549,177.261612,,,,,,
78,763.828491,719.310486,177.862000,,,,,,
79,759.562317,721.953674,179.288025,,,,,,
80,755.482239,724.181885,180.475082,,,,,,
81,751.819214,726.418335,181.097458,,,,,,
82,747.335693,728.753052,182.666351,,,,,,
83,742.972656,731.221802,183.243729,,,,,,
84,739.387817,733.821899,183.808105,,,,,,
85,735.374146,735.916138,184.141083,,,,,,
86,731.479187,738.601868,184.195847,,,,,,
87,727.940125,740.581238,184.739136,,,,,,
88,723.856506,742.604553,184.992050,,,,,,
89,719.952881,745.149536,184.657730,,,,,,
90,716.126282,747.245117,184.956161,,,,,,
91,712.223755,749.847290,185.060791,,,,,,
92,708.666504,752.129944,184.817917,,,,,,
93,704.624084,754.453430,184.545776,,,,,,
94,700.782166,756.186279,184.834595,2409.533691,215.580627,-111.978416,,,
95,697.217346,758.655762,183.984329,,,,,,
96,693.559937,760.642944,183.700714,,,,,,
97,690.269470,762.920654,182.664948,,,,,,
98,686.609619,764.985840,182.267258,,,,,,
99,683.152832,767.003418,181.257568,,,,,,
100,679.785706,769.081299,180.909744,,,,,,
101,676.429993,771.048828,180.238647,,,,,,
102,673.081665,772.992981,179.853607,,,,,,
103,669.917847,775.113342,178.851089,,,,,,
104,666.537598,776.893616,178.458252,,,,,,
105,663.576843,778.794312,176.956711,,,,,,
106,660.594910,780.457397,176.395187,,,,,,
107,657.494202,782.464722,175.020905,,,,,,
108,654.351868,784.315002,174.599930,,,,,,
109,651.288025,786.341125,173.642120,,,,,,
110,648.683289,787.943787,173.068710,,,,,,
111,646.072205,789.937988,171.876953,,,,,,
112,642.818115,791.657104,170.340408,,,,,,
113,640.247192,793.578247,169.030884,,,,,,
114,637.701294,795.249573,167.935059,,,,,,
115,635.018066,797.109375,167.074356,,,,,,
116,632.475769,798.443481,166.843796,,,,,,
117,629.832275,800.272766,165.072723,,,,,,
118,627.495056,802.058716,163.784668,,,,,,
119,625.019226,803.919312,162.658234,,,,,,
120,622.532104,805.602783,161.746552,,,,,,
121,620.172485,807.211609,160.695007,,,,,,
122,618.053345,808.742249,159.734207,,,,,,
123,615.686646,810.714294,158.393600,,,,,,
124,613.660767,812.515076,157.551422,,,,,,
125,611.321289,814.101624,156.414856,,,,,,
126,608.947144,815.617554,155.807327,,,,,,
127,607.355652,817.269287,154.927124,,,,,,
128,604.923157,818.785400,153.929123,,,,,,
129,602.944092,819.894470,153.769653,,,,,,
130,601.043640,821.355408,152.507629,,,,,,
131,599.417725,822.811035,150.832016,,,,,,
132,597.653320,823.852173,150.852875,,,,,,
133,595.659546,825.313965,149.539566,,,,,,
134,593.794556,826.636902,148.796143,,,,,,
135,592.138977,827.674255,148.116135,,,,,,
136,590.204041,828.768555,147.161057,,,,,,
137,588.844421,829.921082,146.813507,,,,,,
138,587.289246,831.170837,145.562500,,,,,,
139,585.731934,832.494629,144.811569,,,,,,
140,584.091003,833.359314,144.507355,,,,,,
141,582.194702,834.572266,144.170898,,,,,,
142,580.661377,835.477173,143.572510,,,,,,
143,579.345032,836.529907,142.523788,,,,,,
144,578.005981,837.650269,142.296600,,,,,,
145,576.431641,838.625122,141.637634,,,,,,
146,575.413513,839.206787,141.488373,,,,,,
147,573.800659,839.730652,140.752563,,,,,,
148,572.777771,840.527710,139.812485,,,,,,
149,571.368835,841.017334,139.067841,,,,,,
150,570.026672,841.763184,138.561966,,,,,,
151,569.053589,842.127808,138.485199,,,,,,
152,567.956604,842.770813,136.968216,,,,,,
153,567.098999,843.307678,136.134308,,,,,,
154,565.794312,843.620728,135.220657,,,,,,
155,564.323792,843.974304,134.913315,,,,,,
156,563.326843,844.121582,134.952927,,,,,,
157,562.088867,844.638306,133.686340,,,,,,
158,561.266785,845.169800,132.704926,,,,,,
159,560.606262,845.498718,131.875488,,,,,,
160,559.786621,845.758057,130.807266,,,,,,
161,558.934448,846.159973,130.207779,,,,,,
162,557.910950,846.324585,129.839676,,,,,,
163,556.622009,846.277710,129.903717,,,,,,
164,555.460571,846.420593,129.738297,,,,,,
165,554.861511,846.791626,128.413879,,,,,,
166,554.540955,847.235046,126.536964,,,,,,
167,553.825867,847.797241,125.834023,,,,,,
168,552.902161,848.038269,125.906731,,,,,,
169,551.942810,847.975586,125.852623,,,,,,
170,550.892456,848.031982,125.524788,,,,,,
171,550.107971,848.573975,124.436493,,,,,,
172,549.404724,848.908936,123.738289,,,,,,
173,548.505371,849.049866,123.133591,,,,,,
174,547.739807,849.197144,122.466026,,,,,,
175,547.243835,849.244507,122.611443,,,,,,
176,546.437439,849.174805,122.681839,,,,,,
177,545.729980,849.218689,121.967903,,,,2409.839355,215.804916,-111.792793
178,545.038269,849.635315,120.890114,,,,,,
179,544.480469,849.798645,120.486786,,,,,,
180,543.582764,849.623352,119.841995,,,,,,
181,542.862000,849.595154,119.080864,,,,,,
182,542.241089,849.448914,118.753548,,,,,,
183,541.710754,849.301575,118.785919,,,,,,
184,541.069641,849.254456,118.623482,,,,,,
185,540.638794,849.615845,117.117470,,,,,,
186,540.382507,849.778442,116.143990,,,,,,
187,539.756653,849.874512,115.893524,,,,,,
188,539.097839,849.778320,115.544586,,,,,,
189,538.660583,849.836731,115.021347,,,,,,
190,538.323792,849.954041,114.093140,,,,,,
191,538.007690,850.002197,113.357758,,,,,,
192,537.719788,849.874756,112.792000,,,,,,
193,537.606384,849.770203,112.126678,,,,,,
194,537.347351,849.575317,111.139091,,,,,,
195,537.206543,849.233276,110.194115,,,,,,
196,536.970825,849.090881,109.658997,,,,,,
197,536.862366,849.018433,108.811058,,,,,,
198,536.999939,848.848022,107.694901,,,,,,
199,537.201355,848.626465,106.951981,,,,,,
200,537.345093,848.360352,106.272598,,,,,,
201,537.312256,848.231628,105.842667,,,,,,
202,537.288330,848.120544,105.375656,,,,,,
203,537.230896,848.060364,105.063889,,,,,,
204,537.133118,847.965088,104.864014,,,,,,
205,537.045593,847.772522,104.873856,,,,,,
206,536.934387,847.698059,104.735641,,,,,,
207,536.747864,847.614685,104.641129,,,,,,
208,536.660522,847.531189,104.449814,,,,,,
209,536.604004,847.452454,104.261963,,,,,,
210,536.678711,847.503479,103.881424,,,,,,
211,536.733459,847.578186,103.518684,,,,,,
212,536.723755,847.647888,103.233841,,,,,,
213,536.762634,847.794312,102.873940,,,,,,
214,536.815613,848.013184,102.437836,,,,,,
215,536.872192,848.070496,102.153252,,,,,,
216,536.969910,848.171021,101.938293,,,,,,
217,537.028137,848.250610,101.702866,,,,,,
218,537.141418,848.299866,101.255554,,,,,,
219,537.233093,848.457947,100.983673,,,,,,
220,537.332764,848.596802,100.864113,,,,,,
221,537.386047,848.689514,100.760254,,,,,,
222,537.359375,848.747192,100.573288,,,,,,
223,537.425171,848.768250,100.487389,,,,,,
224,537.473206,848.868469,100.336937,,,,,,
225,537.524414,848.911377,100.267578,,,,,,
226,537.554688,848.911560,100.248253,,,,,,
227,537.491211,848.825012,100.176369,,,,,,
228,537.629211,848.772217,99.837410,,,,,,
229,537.804565,848.812195,99.639351,,,,,,
230,537.885742,848.730591,99.527313,,,,,,
231,537.930847,848.702271,99.472305,,,,,,
232,537.993408,848.612671,99.410507,,,,,,
233,538.067322,848.507202,99.305305,,,,,,
234,538.139160,848.412964,99.253662,,,,,,
235,538.191467,848.303162,99.173004,,,,,,
236,538.277771,848.236877,99.117531,,,,,,
237,538.371033,848.260742,99.013916,,,,,,
238,538.398071,848.114197,98.859001,,,,,,
239,538.598938,848.017273,98.686386,,,,,,
240,538.665100,847.932373,98.602463,,,,,,
241,538.680786,847.896851,98.673271,,,,,,
242,538.618530,847.991882,98.657631,,,,,,
243,538.552979,848.049316,98.597214,,,,,,
244,538.592529,848.080444,98.483368,,,,,,
245,538.608154,848.127869,98.382721,,,,,,
246,538.505310,848.158142,98.630188,,,,,,
247,538.462280,848.212708,98.593872,,,,,,
248,538.472656,848.185974,98.577667,,,,,,
249,538.436462,848.261780,98.676987,,,,,,
250,538.252075,848.169189,98.695274,,,,,,
251,538.420349,848.364380,98.541824,,,,,,
252,538.313904,848.295532,98.434608,,,,,,
253,538.283325,848.256287,98.481079,,,,,,
254,538.247559,848.248047,98.478516,,,,,,
