PTP252
Date:,2025/04/28
Time:,13:54:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2
Field #,X,Y,Z,X,Y,Z
158,,,,428.260590,892.987305,76.087624
159,,,,428.410095,893.000122,76.069817
160,,,,428.622192,893.110291,75.955338
161,,,,428.844482,893.329102,75.912048
162,,,,429.016266,893.447876,75.916428
163,,,,429.055481,893.462585,75.947556
164,,,,429.131042,893.326843,76.073471
165,,,,429.135986,893.218811,76.028534
166,,,,429.259766,893.206482,76.052483
167,,,,429.270569,893.202087,76.091492
168,,,,429.238678,893.111938,76.088783
169,,,,429.244781,893.185181,76.111389
170,,,,429.262543,893.218262,76.071922
171,,,,429.176483,893.221191,75.938881
172,,,,429.187805,893.206970,75.964233
173,,,,429.108032,893.228333,75.935814
174,,,,429.093201,893.232910,75.932831
175,,,,428.998779,893.233826,75.823647
176,,,,429.008331,893.247192,75.753975
177,,,,429.026825,893.251221,75.736557
178,,,,428.548340,893.200378,75.828934
179,,,,428.781128,893.239624,75.862259
180,,,,428.929810,893.361938,75.733322
181,,,,429.012604,893.337769,75.523041
182,,,,429.066559,893.319153,75.444862
183,,,,428.990204,893.286011,75.603798
184,,,,428.979065,893.315796,75.567413
185,,,,428.895203,893.292908,75.610886
186,,,,428.935822,893.268372,75.648819
187,,,,428.880859,893.281372,75.645386
188,,,,428.924805,893.277466,75.690262
189,,,,428.935364,893.275635,75.697479
190,,,,429.059570,893.410889,75.508095
191,,,,429.089294,893.445313,75.438080
192,,,,429.107788,893.432251,75.429543
193,,,,429.089752,893.412109,75.488777
194,,,,429.073151,893.408386,75.517227
195,,,,429.071564,893.409363,75.517845
196,,,,429.060883,893.395630,75.560661
197,,,,429.043060,893.351746,75.719650
198,,,,429.047455,893.351379,75.752945
199,,,,429.045715,893.363647,75.775658
200,,,,429.043823,893.365540,75.778572
201,,,,428.620941,893.203186,75.899910
202,,,,428.971893,893.205261,76.031776
203,,,,429.089539,893.240234,75.909775
204,,,,429.109192,893.251282,75.838387
205,,,,429.137817,893.218567,75.911224
206,,,,429.090271,893.214844,75.979691
207,,,,429.189636,893.237732,75.895920
208,,,,429.213776,893.211914,75.947693
209,,,,429.186371,893.227417,75.897369
210,,,,429.190338,893.234131,75.870911
211,,,,429.196533,893.264404,75.762810
212,,,,429.154907,893.249878,75.782967
213,,,,429.094574,893.246460,75.851028
214,,,,429.076294,893.332336,75.888695
215,,,,429.080811,893.347961,75.885071
216,,,,429.101379,893.356079,75.834373
217,,,,428.693573,893.284363,75.940788
218,,,,428.804962,893.319946,75.936050
219,,,,428.880157,893.333618,75.871552
220,,,,428.609161,893.288147,75.920418
221,,,,428.930389,893.343018,75.882874
222,,,,429.085968,893.336548,75.820175
223,,,,429.060699,893.352539,75.791611
224,,,,429.064301,893.333191,75.822350
225,,,,429.058441,893.239990,75.831718
226,,,,429.105896,893.283752,75.709152
227,,,,429.138885,893.302002,75.651665
228,,,,429.152496,893.293396,75.610542
229,,,,429.141113,893.242188,75.850281
230,,,,429.084198,893.231262,75.866150
231,,,,429.089813,893.236267,75.830345
232,,,,429.093018,893.246948,75.850731
233,,,,429.119995,893.241760,75.840096
234,,,,429.187714,893.276978,75.696800
235,,,,429.210632,893.294556,75.676834
236,,,,429.199158,893.379578,75.709435
237,,,,429.187897,893.391602,75.727753
238,,,,429.185883,893.386292,75.729897
239,,,,428.993103,893.329346,75.864433
240,,,,429.037415,893.330994,75.927010
241,,,,429.077240,893.339600,75.897957
242,,,,428.932556,893.325378,75.811714
243,,,,429.097137,893.397888,75.668587
244,,,,429.213654,893.394409,75.681046

