PTP210
Date:,2025/04/08
Time:,13:36:24
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,176.442993,539.216370,143.892120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,173.953979,534.196655,144.262238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,171.576553,529.513245,143.871094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,168.549408,524.493164,144.886520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,166.166061,519.778076,144.852432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,163.837006,515.066589,144.727783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,161.014999,510.278503,145.422455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,158.662231,505.760406,145.214050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,156.232971,500.892944,145.269196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,153.584290,496.499298,145.628998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,151.224899,491.575317,145.785812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,148.757324,487.093475,145.483673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,146.634811,482.535614,145.752228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,143.675598,477.967804,145.451981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,141.652512,473.408081,146.072113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,138.891525,468.857086,145.817017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,136.945374,464.447388,145.886780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,134.195847,459.856415,145.976410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,132.146713,455.717804,146.063416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,129.841171,451.687561,145.415771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,127.702003,447.452393,145.981613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,125.340302,443.679688,146.058853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,123.469917,439.504272,145.866074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,121.581459,435.686279,145.508881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,119.725632,432.330231,145.502716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,117.864166,429.019989,145.222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,115.820015,425.327148,145.415649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,114.360077,421.847931,145.306168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,112.610550,418.435669,144.936981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,111.012474,414.849792,144.585785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,109.692528,411.855743,144.834854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,107.898323,408.846710,144.367081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,106.405830,405.693207,144.499649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,105.143951,402.632843,144.476639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,103.445168,399.611938,144.668106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,102.247391,396.622742,143.743973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,101.224556,393.704620,143.696640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,99.896378,390.933167,143.619797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,98.519447,388.464935,143.408401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
