PTP254
Date:,2025/04/28
Time:,11:42:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,881.011353,631.554688,101.153549,,,,,,,,,,,,,,,,,,,,,
2,880.944641,631.451599,101.357269,,,,,,,,,,,,,,,,,,,,,
3,880.991638,631.463562,101.298271,,,,,,,,,,,,,,,,,,,,,
4,881.029175,631.488342,101.231880,,,,,,,,,,,,,,,,,,,,,
5,880.960632,631.522644,101.185112,,,,,,,,,,,,,,,,,,,,,
6,880.969482,631.480103,101.309319,,,,,,,,,,,,,,,,,,,,,
7,880.965454,631.489441,101.287727,,,,,,,,,,,,,,,,,,,,,
8,880.914551,631.542175,101.290718,,,,,,,,,,,,,,,,,,,,,
9,880.861023,631.597412,101.247734,,,,,,,,,,,,,,,,,,,,,
10,880.859741,631.626343,101.335785,,,,,,,,,,,,,,,,,,,,,
11,880.846497,631.684570,101.533951,,,,,,,,,,,,,,,,,,,,,
12,880.874756,631.513489,101.512772,,,,,,,,,,,,,,,,,,,,,
13,880.773682,631.499939,101.669296,,,,,,,,,,,,,,,,,,,,,
14,880.735291,631.592468,101.726868,,,,,,,,,,,,,,,,,,,,,
15,880.745605,631.621826,101.711563,,,,,,,,,,,,,,,,,,,,,
16,880.784119,631.601257,101.746216,,,,,,,,,,,,,,,,,,,,,
17,880.795532,631.600464,101.770653,,,,,,,,,,,,,,,,,,,,,
18,880.749817,631.719299,101.833801,,,,,,,,,,,,,,,,,,,,,
19,880.722229,631.758362,101.896431,,,,,,,,,,,,,,,,,,,,,
20,880.734619,631.823425,101.939461,,,,,,,,,,,,,,,,,,,,,
21,880.722168,631.932251,101.991524,,,,,,,,,,,,,,,,,,,,,
22,880.698486,632.030762,102.178871,,,,,,,,,,,,,,,,,,,,,
23,880.681030,631.988892,102.306953,,,,,,,,,,,,,,,,,,,,,
24,880.643677,632.021362,102.589821,,,,,,,,,,,,,,,,,,,,,
25,880.602600,632.151367,102.907379,,,,,,,,,,,,,,,,,,,,,
26,880.457397,632.366516,103.534195,,,,,,,,,,,,,,,,,,,,,
27,880.422791,632.651733,104.123428,,,,,,,,,,,,,,,,,,,,,
28,880.738098,633.151001,104.571968,,,,,,,,,,,,,,,,,,,,,
29,881.004761,633.780151,105.274376,,,,,,,,,,,,,,,,,,,,,
30,880.762756,634.070374,106.139328,,,,,,,,,,,,,,,,,,,,,
31,880.409668,634.227356,107.766869,,,,,,,,,,,,,,,,,,,,,
32,879.882141,634.770081,109.128464,,,,,,,,,,,,,,,,,,,,,
33,879.238281,635.361084,110.483856,,,,,,,,,,,,,,,,,,,,,
34,878.444946,636.432617,111.659477,,,,,,,,,,,,,,,,,,,,,
35,878.203064,637.760010,112.451981,,,,,,,,,,,,,,,,,,,,,
36,877.818909,638.899353,113.532562,,,,,,,,,,,,,,,,,,,,,
37,876.675171,639.659912,115.547798,,,,,,,,,,,,,,,,,,,,,
38,875.267761,640.907898,117.443573,,,,,,,,,,,,,,,,,,,,,
39,873.964478,642.063782,119.242142,,,,,,,,,,,,,,,,,,,,,
40,872.119141,643.204041,121.442604,2327.008057,-818.299316,-156.938629,,,,,,,,,,,,,,,,,,
41,870.582642,644.788757,122.931618,,,,,,,,,,,,,,,,,,,,,
42,868.570129,646.788269,124.403389,,,,,,,,,,,,,,,,,,,,,
43,866.385376,648.347656,126.986214,,,,,,,,,,,,,,,,,,,,,
44,863.993896,650.280334,129.252563,,,,,,,,,,,,,,,,,,,,,
45,861.148315,652.212708,131.762238,,,,,,,,,,,,,,,,,,,,,
46,858.504517,654.797913,133.631516,,,,,,,,,,,,,,,,,,,,,
47,855.063049,656.946533,136.564346,,,,2327.007813,-818.394775,-156.870697,,,,,,,,,,,,,,,
48,851.947021,659.501404,138.132538,,,,,,,,,,,,,,,,,,,,,
49,848.726318,662.362244,140.753357,,,,,,,,,,,,,,,,,,,,,
