Weight62
Date:,2025/04/24
Time:,15:55:16
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49,,,*50,,,*51,,,*52,,,*53,,,*54,,,*55,,,*56
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,1044.783813,774.978882,198.992569,891.218323,683.775940,104.371185,1082.584473,746.241089,361.145630,818.791138,613.344421,103.880676,770.166199,689.979614,118.791862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1044.882935,775.028687,198.890060,891.235535,683.758179,104.268532,1082.513428,746.236633,361.134796,818.875916,613.464478,103.910973,770.150330,689.999512,118.803314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1045.020264,775.099121,198.621033,891.148315,683.809631,104.241089,1082.347900,746.303528,361.127563,818.872437,613.556824,103.884193,770.144592,690.086426,118.822220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1045.015869,775.225952,198.479660,891.284119,683.829773,104.299995,1082.238403,746.333801,361.059082,818.741028,613.580200,103.862022,770.103088,690.124756,118.897720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1044.902222,775.452942,198.151672,891.039551,684.027039,104.663147,1082.145020,746.342041,361.088226,818.748413,613.707703,103.911766,770.082458,690.112854,118.888275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1044.603394,775.679321,198.149780,890.980591,684.062439,104.874474,1081.996460,746.406677,360.965363,818.717957,613.756775,103.980965,770.083740,690.208557,118.925446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1044.156006,775.980103,198.444519,890.848145,684.116150,104.981934,1081.969360,746.418213,360.939148,818.689697,613.675720,103.976334,770.085144,690.219971,118.897423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1043.974121,776.220215,198.577271,890.871399,684.108643,105.006134,1081.781738,746.533203,360.883728,818.690063,613.595032,104.041756,770.097839,690.210754,118.873993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1043.761475,776.425049,198.542587,890.977783,684.162415,105.065773,1081.658569,746.557190,360.919128,818.624756,613.587830,104.144211,770.105347,690.206970,118.866112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1043.604370,776.683716,198.579575,891.200684,684.090271,105.171661,1081.494263,746.722412,360.792786,818.617737,613.609924,104.498100,770.078674,690.215088,118.884811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1043.357788,776.973083,198.704468,891.281372,684.097839,105.282028,1081.127441,746.915527,360.783783,818.624756,613.549866,104.741768,770.105164,690.223938,119.001266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1043.098022,777.263611,198.801727,891.303650,684.067505,105.342079,1080.833740,747.071655,360.725037,818.598450,613.481934,104.899933,770.155457,690.120117,118.982613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1042.853760,777.526611,198.963852,891.259399,684.099365,105.362396,1080.664551,747.281006,360.716949,818.566345,612.772461,105.389374,770.079956,690.076904,119.013420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1042.848022,777.985657,198.580246,891.219788,684.128601,105.455559,1080.535034,747.475159,360.778015,818.553467,612.079041,105.928513,770.112793,690.066650,119.090530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1042.810669,778.345154,198.417648,891.254883,684.163208,105.495270,1080.416382,747.619019,360.826599,818.514587,611.812805,106.212921,770.090149,689.989807,119.058510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1042.668701,778.605957,198.315338,891.300171,684.130127,105.566940,1080.140747,747.821411,360.808441,818.439087,611.936707,106.311707,770.149719,689.965088,119.081055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1042.646362,778.884949,198.252853,891.346802,684.140442,105.616814,1080.059570,748.011841,360.816772,818.350159,612.234192,106.418877,770.107361,690.075684,119.142357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1042.552612,779.310425,198.286575,891.392456,684.133789,105.705460,1079.881470,748.156128,360.794159,818.285889,612.399109,106.570122,770.095032,690.095825,119.165810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1042.497070,779.605042,198.322952,891.330933,684.239746,105.745331,1079.792480,748.309021,360.729004,818.283203,613.277161,106.617599,770.187500,689.983276,119.169495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1042.262573,779.852966,198.280563,891.400635,684.286011,105.847076,1079.662476,748.530090,360.671661,818.302612,614.373291,106.699028,770.232056,689.952942,119.138161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1042.410645,780.070984,198.229370,891.341187,684.461975,105.982590,1079.520996,748.661804,360.644287,818.164856,613.696655,107.061165,770.218811,690.045410,119.119652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1043.104614,780.100647,197.840851,890.956970,684.476257,106.190941,1079.429077,748.761841,360.656372,818.097168,612.995850,107.701843,770.235657,690.088440,119.257164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1043.536865,780.251526,197.625854,890.861267,684.428772,106.447807,1079.283325,748.844971,360.694702,818.069763,612.846375,108.298340,770.224792,690.077942,119.276375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1043.739746,780.359863,197.669769,890.998230,684.545776,106.760872,1079.117310,749.024658,360.693665,817.767700,613.034546,108.756943,770.253845,690.152405,119.252487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1043.887207,780.567871,197.670822,891.182129,684.639465,107.089890,1078.636841,749.168945,360.665955,817.546448,613.311401,108.905602,770.302917,690.261230,119.308571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1044.147461,780.847839,197.572220,891.340393,684.760864,107.379082,1078.224731,749.421387,360.590088,817.769531,614.469727,109.154015,770.353088,690.362488,119.395950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1044.555786,781.049500,197.556137,891.986450,684.408081,107.800835,1077.574951,749.694336,360.607422,818.032104,615.606750,109.490219,770.416016,690.555908,119.474670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1044.740601,781.363342,197.547821,891.445618,685.159912,108.255188,1077.089111,749.885376,360.517578,818.118591,616.234985,109.808235,770.397522,690.778198,119.585701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1044.985718,781.805054,198.023743,890.946167,685.775757,109.322136,1076.710571,750.079895,360.428802,818.108582,616.432983,110.382813,770.416687,690.977844,119.686157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1044.990723,782.174622,198.388901,891.037476,685.996948,109.908165,1076.429199,750.267761,360.409180,818.148804,616.080933,111.395370,770.370911,691.187195,119.694221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1044.761475,782.697449,198.666626,891.591370,686.311340,110.101982,1076.083618,750.594116,360.369873,818.133911,615.708618,112.829613,770.466003,691.561951,120.034370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1044.684204,783.163940,198.872177,891.860596,686.263977,110.491142,1075.856689,750.945313,360.420990,818.168701,615.515686,113.736572,770.419922,691.831787,120.317322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1044.938110,783.383545,199.027390,892.189575,686.019165,110.867287,1075.394775,751.174194,360.496368,818.252197,615.682922,114.080589,770.486694,692.091553,120.495476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1045.152100,783.606140,199.067734,892.393494,686.050049,110.959534,1075.181152,751.341003,360.652771,818.310852,616.024414,114.275246,770.621948,692.423157,120.660477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1045.303589,783.907776,199.111328,892.424561,686.349304,110.992943,1074.990723,751.553284,360.629578,818.398438,616.349731,114.424889,770.787842,692.769592,120.992996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1045.378540,784.156921,199.179749,892.682678,686.831055,110.649536,1074.911621,751.736816,360.685852,818.414124,616.672607,114.781540,770.800720,693.155579,121.240738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1045.456543,784.370483,199.253906,892.992798,687.096558,111.299446,1074.680298,751.962219,360.528717,818.390015,616.976868,115.253998,770.815735,693.572388,121.520638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1045.585327,784.581482,199.378586,893.084351,687.312561,111.722511,1074.072998,752.275208,360.449249,818.348450,617.537170,115.817917,770.820313,693.995605,121.647476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1045.700806,784.897461,199.471039,893.221985,687.803406,112.300415,1073.639648,752.574768,360.538727,818.192139,618.561340,117.121292,770.747681,694.540161,121.758026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1045.896118,785.149475,199.610870,893.179321,688.394836,113.282677,1073.237305,752.822388,360.613220,818.212952,619.328674,118.073166,770.590637,695.084473,121.880569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1046.241333,785.481201,199.633499,893.255859,688.821777,114.361725,1072.916138,752.956177,360.867523,818.226868,619.611084,118.604431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1046.705322,785.849487,199.597549,893.473389,688.938721,114.952858,1072.443726,753.129211,360.900299,818.164124,619.780884,119.365768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,893.657593,689.073364,115.248436,1071.984375,753.252075,360.879486,817.645813,619.966980,120.517242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,893.661743,689.364990,115.497261,1071.466309,753.315002,360.854095,817.141418,620.706787,121.963333,,,,1047.488403,786.852661,200.631775,769.360718,697.278381,124.904099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,893.618896,689.937134,115.649307,1070.832642,753.494873,360.823700,816.956787,621.711914,123.180595,,,,1047.745850,787.161194,200.966812,769.408264,698.095276,125.778603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,892.539124,691.017090,117.904221,1070.545288,753.586304,360.714478,816.488220,622.465149,124.367973,,,,1047.856201,787.551270,201.212341,769.424377,698.959290,126.503227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,891.495239,691.945129,119.576759,1069.913086,753.805786,360.610840,816.149475,623.376831,126.010345,,,,1048.002808,787.831238,201.356155,769.379333,699.722473,127.495010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,891.075256,692.440552,120.288673,1069.536621,754.094116,360.389496,815.711365,623.986267,127.461922,,,,1048.200928,788.042847,201.484497,769.127502,700.671448,128.605789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,890.920898,692.755371,120.578613,1069.062744,754.339233,360.434021,815.186157,624.376709,129.266266,,,,1048.317505,788.349792,201.608963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,890.588135,693.312866,121.280174,1068.603271,754.568909,360.454376,814.498047,625.073120,130.756485,,,,1048.231079,788.823364,201.769577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,890.165710,694.057190,122.816208,1068.231567,754.856873,360.351654,813.790222,626.245239,132.416901,,,,1047.828735,789.471924,202.039581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,889.879333,694.251709,124.158241,1067.722290,755.100037,360.132019,812.999023,627.106384,134.432388,,,,1047.259277,790.217529,202.445221,,,,767.473877,704.419434,133.184616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,889.259644,694.796448,125.081398,1067.304321,755.345764,360.083771,812.325378,627.722412,135.768417,,,,1046.828613,790.862671,202.859558,,,,766.409668,705.333984,134.963074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,888.298279,695.648743,126.412666,1066.833008,755.638977,360.201538,811.873718,628.993958,137.734238,,,,1046.437134,791.493896,203.171860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,887.113037,696.487854,127.574570,1065.723877,756.208984,360.111359,811.159668,630.167664,139.476273,,,,1045.952881,792.045166,203.481262,,,,,,,764.696594,706.982544,137.653000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,886.208679,697.342346,129.071259,1064.736328,756.516296,359.995819,810.211487,630.838867,140.823120,,,,1045.503906,792.520508,203.799118,,,,,,,764.012756,707.806213,138.672531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,885.732239,697.696594,130.030273,1064.321899,756.766235,360.005859,808.909119,631.522522,142.958344,,,,1045.592773,792.648682,203.858551,,,,,,,763.225830,708.912292,139.895889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
