Weight62
Date:,2025/04/30
Time:,17:44:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
39,,,,738.033203,625.463135,175.320816,1025.790649,813.544434,438.383423,674.183472,670.448547,174.668686,995.003540,839.387390,264.228668,,,,,,,,,,787.085388,716.899048,177.420990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,733.604858,625.828064,176.588623,1023.475342,813.771057,438.476257,669.798035,670.795288,176.830688,991.727234,839.445190,264.559601,,,,,,,,,,782.469482,717.144287,179.313400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,729.255127,626.069885,178.186005,1020.470154,813.869873,438.386566,665.122375,671.169983,178.773163,987.701355,839.779297,264.773621,,,,,,,,,,777.879395,717.307434,180.960281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,724.475342,626.315674,180.192047,1018.027954,814.122864,438.175934,660.560364,671.464722,180.542465,983.311829,840.351868,265.109985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,719.592102,626.618530,181.592255,1014.907776,814.316711,437.975464,656.022156,671.829590,182.398773,979.629883,840.686523,265.706207,,,,,,,,,,,,,768.897705,717.623718,183.050507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,714.786743,626.719604,183.060059,1012.540344,814.464783,438.097473,651.323120,672.172485,183.849503,975.973877,840.871704,265.557220,,,,,,,,,,,,,764.240479,718.017456,184.851563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,710.236633,626.981628,184.175720,1009.140869,814.570801,438.081543,646.672668,672.511475,185.095581,971.626038,841.179199,265.782074,,,,,,,,,,,,,758.999451,718.435974,186.377411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,705.390503,627.395508,185.540054,1006.617737,814.578552,438.327850,641.829346,672.937500,186.970627,966.981628,841.468567,266.232422,,,,,,,,,,,,,754.072998,718.789063,187.672363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,700.367310,627.707581,186.550766,1003.449158,814.679993,438.075653,636.899292,673.314087,188.798874,962.414307,841.728760,266.481445,,,,,,,,,,,,,749.506714,718.947083,188.679352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,695.504272,628.226563,187.578934,1000.383362,814.851318,438.435852,631.927612,673.673889,190.306503,958.180725,841.710388,266.558929,,,,,,,,,,,,,745.226318,719.006897,189.156860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,690.594238,628.411255,188.414352,997.668457,814.949463,438.063446,626.914795,674.089050,191.867020,953.636658,841.834290,266.890564,,,,,,,,,,,,,740.656860,719.354736,189.784180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,685.501953,628.687500,189.536697,994.160278,815.122314,438.304504,621.806274,674.609741,193.118240,948.968994,842.148010,267.348450,,,,,,,,,,,,,735.949097,719.726379,190.105942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,680.384216,628.954529,190.559860,991.599304,815.144409,438.147644,616.599670,675.059143,194.561325,944.527954,842.418335,267.685425,,,,,,,,,,,,,731.187317,719.911987,190.459412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
