Weight33
Date:,2025/04/22
Time:,16:07:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
14,884.758606,730.482666,138.121597,848.448303,637.351868,113.932625,1068.968506,853.893066,534.532654,,,,1036.790405,815.518127,331.207947,755.779724,698.593811,109.249176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,884.479309,730.119446,138.152832,848.289185,636.943420,113.940727,1068.713989,853.823608,534.402954,,,,1036.653198,815.391479,331.061249,755.417175,698.167358,109.744904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,884.307495,729.792725,138.146576,847.934937,636.529419,114.033943,1068.502930,853.789185,534.039307,,,,1036.388306,815.175598,330.926544,755.190857,697.930908,109.981804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,884.065308,729.407349,138.166473,847.889893,635.913330,114.101387,1068.211426,853.701172,534.267090,,,,1036.016357,815.007019,330.923096,755.121582,697.656921,110.078117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,883.794312,729.059998,138.119171,847.433838,635.564941,114.381935,1067.783203,853.585815,534.376465,,,,1035.647339,814.889099,330.927277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,883.649109,728.808594,138.191925,846.850952,635.411682,114.700203,1067.571899,853.640442,534.030579,,,,1035.438232,814.790710,330.507751,,,,755.416809,697.024902,109.993561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,883.528381,728.485291,138.106277,846.419006,635.246155,114.874474,1067.320068,853.532593,533.743286,,,,1035.028320,814.566833,330.599335,,,,755.417725,696.782776,110.174614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,883.389404,728.128662,138.049408,846.044617,635.001709,114.952934,1067.038086,853.421753,533.393005,,,,1034.545044,814.241028,330.745239,,,,755.326965,696.343689,110.304916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,883.214172,727.730652,137.915436,845.870056,634.659912,114.959091,1066.838867,853.315308,533.126831,,,,1034.147705,814.015137,330.765381,,,,755.334229,696.034180,110.476707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,883.130005,727.347290,137.800262,845.683167,634.521729,114.977417,1066.508545,853.321899,532.941528,,,,1033.777954,813.809143,330.632507,,,,755.230408,695.693420,110.706299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
