Weight59
Date:,2025/04/24
Time:,13:14:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,886.127014,718.123169,121.401375,1127.133545,821.398071,431.217682,1081.337158,859.380676,222.388107,837.126404,630.123352,100.857819,764.876282,682.082336,102.194412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,886.027161,718.142029,121.606956,1127.147095,821.284668,431.261566,1081.337158,859.380676,222.388107,837.174744,631.078064,100.336792,764.934265,682.067505,102.155472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,886.066711,718.104858,121.542770,1126.990601,821.207642,431.334259,1081.326416,859.361633,222.345566,837.111267,632.073486,99.725937,764.956116,682.151306,102.141495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,886.080200,718.113953,121.566048,1127.089600,821.180847,431.277588,1081.352173,859.272705,222.382538,837.047241,632.645508,99.364456,764.931885,682.101196,102.190987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,886.103455,718.137756,121.646744,1127.208374,821.107666,431.173615,1081.345459,859.247864,222.369354,836.948059,632.976807,99.033600,764.877319,682.078491,102.201111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,886.124573,718.075195,121.598518,1127.248413,821.058899,431.271881,1081.393433,859.226929,222.446762,836.909485,632.757690,99.266319,764.872864,682.164124,102.202957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,886.146423,718.034485,121.775414,1127.177979,821.032593,431.394104,1081.403198,859.226624,222.466782,836.947632,632.098083,99.716972,764.895630,682.189941,102.215508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,886.038269,718.065979,121.753761,1127.221069,820.991699,431.414673,1081.420044,859.153748,222.443817,837.045593,631.316528,100.112732,764.913330,682.198669,102.177307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,886.041931,718.096008,121.765327,1127.310669,820.889648,431.427826,1081.351929,859.121460,222.408386,837.117737,631.073425,100.186325,764.923706,682.198303,102.158272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,886.086975,718.140076,121.920021,1127.356567,820.825745,431.483368,1081.414795,859.102722,222.452316,836.946411,631.017700,100.156700,764.961792,682.082336,102.065819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,885.915833,718.276184,122.141289,1127.364868,820.736267,431.472351,1081.450806,859.016418,222.518417,836.931396,630.175842,100.793556,764.931396,682.081970,102.097015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,885.942505,718.220520,122.101822,1127.520386,820.756470,431.649017,1081.475098,859.034302,222.495987,837.036621,628.823303,101.693848,764.956543,682.068237,102.067162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,885.939026,718.243408,122.121071,1127.559448,821.043030,431.753052,1081.479492,859.045898,222.482010,837.132080,627.711365,102.443497,764.931763,682.096436,102.136131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,885.778503,718.249939,122.146439,1127.553101,821.076416,431.779724,1081.474976,859.018799,222.477844,837.119080,627.079102,102.661919,764.887207,682.093384,102.085030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,885.737854,718.278503,122.274246,1127.530273,821.095642,431.844757,1081.498535,858.984070,222.499176,837.089233,627.074036,102.646645,764.955383,682.069458,102.053101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,885.786255,718.211060,122.467796,1127.545288,820.935730,431.817200,1081.514038,859.020630,222.474991,837.044128,627.452820,102.539253,764.944702,682.078125,102.058212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,885.763977,718.201477,122.570305,1127.667847,820.896729,431.870850,1081.554321,859.027466,222.431503,836.995117,627.900146,102.287834,764.875244,682.089539,102.031868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,885.802551,718.116028,122.544014,1127.700562,820.798035,431.808563,1081.565430,859.023865,222.420685,836.970886,628.250000,102.077103,764.901978,682.077637,102.007004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,885.750732,718.160034,122.778740,1127.698486,820.848877,431.789612,1081.562378,859.022705,222.424026,836.964233,628.416138,101.980698,764.926025,682.073914,101.990295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,885.664185,718.180115,123.043152,1127.487915,820.692749,431.899261,1081.526245,858.979126,222.383621,836.919556,628.472534,102.004539,764.886780,682.087952,102.011604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,885.546021,718.192627,123.176949,1127.311157,820.655701,431.838318,1081.451416,859.088440,222.313187,836.952332,628.403381,102.150612,764.906738,682.077820,102.008667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,885.606079,718.151367,123.437935,1127.171753,820.639465,431.645020,1081.515259,859.181396,222.267624,836.939026,628.330383,102.323891,764.879456,682.087463,102.020607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,885.516174,718.102112,123.679665,1127.039307,820.692749,431.403534,1081.505127,859.318604,222.238342,836.827087,628.196350,102.419388,764.861145,682.059021,102.141815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
