Weight59
Date:,2025/04/23
Time:,14:06:55
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,879.975525,711.151855,118.824715,762.843872,675.003967,116.086861,829.075745,619.642029,111.069450,1137.528809,844.203125,380.553040,1083.774292,863.628601,232.654755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,879.486755,711.191956,119.058670,762.576233,674.924011,116.048737,828.876221,619.650391,111.354034,1137.264893,844.233643,380.547180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,879.087769,711.226990,119.425362,762.214294,674.866394,116.302429,828.518555,619.614380,111.674721,1136.994873,844.196777,380.451447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,878.961426,711.310730,119.802094,761.869141,674.925720,116.309258,827.942383,619.700439,112.363472,1136.331299,844.393677,380.793701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,878.735474,711.385498,120.248764,761.557678,674.906860,116.312675,827.303650,619.853149,112.753250,1135.567383,844.461304,381.240356,,,,1081.990479,864.362549,234.096252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,878.415771,711.403809,120.718948,761.068176,674.878418,116.317558,826.733215,619.946167,113.037949,1134.860229,844.516235,381.556427,,,,1081.270264,865.165771,234.713211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,877.780579,711.635437,121.332092,760.391418,674.861633,116.338829,826.034973,620.254822,113.709526,1134.243896,844.518433,381.910156,,,,1080.829712,865.819397,235.046082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,876.604065,711.957520,122.050934,759.384399,674.882935,116.303680,825.165894,620.227722,114.534096,1133.845093,844.537598,381.888000,,,,1080.705688,866.607910,235.229034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,875.608643,712.374268,122.904518,758.447083,674.953918,116.245399,824.608154,620.169067,115.043663,1133.268311,844.546753,382.074951,,,,1079.973267,867.150452,235.860504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,874.557251,712.437744,123.278954,757.518005,674.970581,116.349968,824.244934,620.250488,115.414925,1132.396973,844.603394,382.403473,,,,1079.389404,867.613464,236.339432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
