Weight59
Date:,2025/05/06
Time:,14:07:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49,,,*50,,,*51,,,*52,,,*53,,,*54
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,870.016235,703.287903,112.869446,755.586731,669.431641,109.464706,1102.267578,873.326416,393.008789,820.724182,618.680664,105.109200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,869.488220,703.810120,113.002769,755.394836,669.295715,109.141273,1101.427002,874.276428,392.828979,820.713806,618.702026,105.339638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,868.950989,704.303223,113.138618,755.467834,669.403809,109.416138,1099.983154,874.832153,393.256836,820.667969,618.782410,105.450661,1051.015503,873.786072,208.328934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,868.510498,704.691162,113.236244,755.231750,669.387085,109.443993,1099.396118,875.142273,393.078766,820.620605,618.960205,105.449463,1050.102295,874.488098,208.651245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,868.396484,704.937866,113.080902,755.056946,669.363403,109.451523,1099.100464,875.717163,393.030334,820.668457,619.214966,105.734955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,868.147034,705.235107,113.031921,754.942566,669.467346,109.313042,1097.866211,877.214966,393.140320,820.602539,619.219055,105.640038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,867.834229,705.568542,113.127151,754.849792,669.488464,109.139244,1096.875366,878.182678,393.116974,820.493713,619.525940,106.097290,,,,1047.276123,877.107788,208.991013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,867.437927,705.901794,113.467834,754.917603,669.513977,108.810631,1095.407227,878.889893,393.616150,820.356445,619.774109,106.336975,,,,1046.313477,877.794861,208.963272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,867.049744,706.160095,113.880791,754.814270,669.451233,108.707237,1094.557861,878.993713,393.620361,820.106873,619.958008,106.488480,,,,1045.621826,878.454773,209.245682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,866.868835,706.303467,114.196785,754.558777,669.346069,108.699371,1093.743896,879.807434,393.178467,819.954895,620.080872,106.547272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,866.824158,706.454285,114.192451,754.319702,669.217163,108.887741,1092.741943,880.878845,392.960602,819.917969,620.605774,106.395943,,,,,,,1044.219482,880.371155,209.072586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,866.766907,706.652649,114.064453,754.111572,668.970337,108.946648,1091.621948,881.826233,392.867126,819.820007,620.922668,106.445763,,,,,,,1043.494751,881.311584,208.738510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,866.375183,706.826050,114.406044,753.910767,668.792175,109.057770,1089.958862,882.380920,393.191132,819.452332,621.069763,106.685699,,,,,,,1042.565063,882.155273,208.498779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,865.867798,707.076599,115.045349,753.478943,668.474304,109.302223,1089.215698,882.676758,392.986298,819.465210,621.157166,107.139130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,865.364624,707.315430,115.571831,753.054749,668.164368,109.613014,1088.689453,883.148499,392.972839,819.383728,621.067627,107.640190,,,,,,,,,,1041.227539,883.954529,208.719742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,864.623413,707.376709,115.976814,752.774597,667.826233,109.746346,1087.199097,883.990967,392.881989,819.316467,620.992554,108.111160,,,,,,,,,,1040.312988,885.005737,208.850174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,864.193726,707.754089,116.349472,752.421997,667.591858,110.044022,1085.515015,884.615173,392.772552,819.345703,620.970093,108.863068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,863.954041,708.116516,116.679146,752.147461,667.406982,110.237396,1084.221069,884.990601,393.053650,818.883179,620.265625,110.519867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,863.520996,708.412109,117.618607,751.996887,667.234924,110.300980,1083.136108,885.803589,393.012268,819.279114,620.157471,111.315742,,,,,,,,,,,,,1038.976318,887.646912,206.736969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,863.076965,708.724609,118.265930,751.851013,667.043518,110.371040,1082.148804,886.702148,392.388672,819.448792,620.454529,111.664276,,,,,,,,,,,,,1037.848511,888.893188,206.858353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,862.500000,709.066467,118.637047,751.830383,666.888794,110.412254,1081.251343,887.303162,391.906860,819.404602,620.886780,111.689613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,862.447266,709.118774,118.609131,752.021179,666.741516,110.292244,1079.695435,887.755371,392.096619,819.178040,621.354919,111.550644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,862.274353,709.258484,118.536171,752.064697,666.480896,110.388634,1077.900391,888.301819,392.303711,819.357849,621.652771,111.707146,,,,,,,,,,,,,,,,1035.419678,891.307983,206.294312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,861.946167,709.681458,118.746284,751.907776,666.114075,110.736420,1076.529541,888.782410,392.271942,819.602478,621.694275,112.002472,,,,,,,,,,,,,,,,1034.298462,892.463074,205.950012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,861.222717,709.953796,119.090729,751.753845,665.632629,111.111542,1075.339478,889.142944,392.006317,819.685608,621.609070,112.464447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,860.695129,710.255188,119.555420,751.608398,665.260132,111.571144,1073.884399,889.688232,391.937134,819.791809,621.416809,113.115639,,,,,,,,,,,,,,,,,,,1032.402344,894.076721,205.980927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,860.175354,710.617554,119.842659,751.421814,664.914612,111.958092,1072.321045,890.141541,391.522308,819.855164,621.272583,113.908302,,,,,,,,,,,,,,,,,,,1031.096313,895.027527,205.912170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,860.063171,710.967468,120.053604,751.378967,664.451782,112.373680,1070.745972,890.553833,391.390961,819.908508,621.265747,114.544350,,,,,,,,,,,,,,,,,,,1030.035767,895.864929,205.952759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,859.704590,711.252563,120.535805,751.310181,664.056396,112.739288,1069.514526,891.038208,391.198761,819.948242,621.422424,115.394669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,859.339783,711.596313,121.326172,751.104370,663.633423,113.476448,1068.349854,891.325928,391.353760,819.953796,621.748108,116.224678,,,,,,,,,,,,,,,,,,,,,,1028.582764,897.824829,205.766068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
