Weight28
Date:,2025/04/22
Time:,15:43:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,885.013550,720.385986,114.534714,833.237793,631.575989,97.383751,1112.612793,862.126526,408.771606,765.314514,692.085449,105.106438,1060.802612,862.213013,242.444031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,884.989624,720.415527,114.528786,833.228210,631.582703,97.418381,1112.528687,862.254272,408.747620,765.690735,691.983093,104.903191,1060.690430,862.244873,242.530807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,884.972778,720.410095,114.543732,833.318665,631.551514,97.290382,1112.478271,862.319885,408.585449,765.527222,692.051514,104.905365,1060.585693,862.339355,242.519104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,884.967224,720.404785,114.553032,833.335388,631.657898,97.337189,1112.410156,862.425903,408.518585,765.290222,692.099487,105.120300,1060.547974,862.369751,242.520676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,884.914795,720.414368,114.501343,833.270508,631.662231,97.311050,1112.380249,862.450500,408.498840,765.172302,692.108704,105.264854,1060.569824,862.373962,242.502121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,884.959167,720.407898,114.537666,833.260193,631.586182,97.394371,1112.234497,862.454041,408.493408,765.220398,692.094177,105.218239,1060.580811,862.460022,242.512863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,884.980469,720.409912,114.490875,833.270325,631.656006,97.399643,1112.176270,862.549133,408.407135,765.262390,692.093994,105.226120,1060.550659,862.494019,242.536621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,884.984924,720.495911,114.530930,833.310303,631.685059,97.371635,1112.076904,862.564087,408.406525,765.318542,692.083313,105.173172,1060.390869,862.558350,242.470398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,884.966187,720.520691,114.563507,833.322449,631.686951,97.359230,1112.050171,862.614746,408.408234,765.198914,692.115601,105.311867,1060.329834,862.661133,242.494492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,884.914307,720.529175,114.622894,833.325745,631.672852,97.353943,1112.070557,862.709290,408.362457,765.211609,692.096619,105.213905,1060.326050,862.682495,242.517380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,884.849731,720.542542,114.600075,833.269287,631.640259,97.422638,1111.985229,862.784668,408.364319,765.294678,692.085266,105.121895,1060.390015,862.622498,242.533493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
