Weight21
Date:,2025/04/16
Time:,14:28:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,800.799866,631.211365,137.202255,864.952148,712.245972,139.742371,743.999756,693.108337,144.222366,,,,1136.185913,849.297180,380.023407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,799.359192,631.310120,138.171219,863.578125,712.323792,140.994507,742.031799,693.364075,146.079529,,,,1135.037842,848.979675,379.878174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,797.485596,631.424072,139.603760,862.573608,711.970154,141.985031,740.528931,693.254272,147.688263,,,,1133.869385,847.432617,378.860779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,795.305908,631.432617,141.484314,859.803955,712.406067,142.710495,738.578979,693.281738,148.962540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,793.592346,631.495972,142.587509,857.897034,712.412415,143.672913,736.616577,693.317566,150.066498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,791.459045,631.432922,143.572632,856.247131,711.954163,145.197464,734.614014,693.644836,151.872070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,789.284729,631.441956,144.613388,853.520630,712.155640,146.940414,732.163208,693.595825,153.461411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,787.008606,631.628662,145.655701,851.779175,712.257385,148.435257,730.385010,693.594666,154.921799,,,,,,,1127.214600,846.566895,377.992126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,784.434204,631.762390,147.212570,849.768494,712.186340,148.849670,727.765503,693.801392,156.152725,,,,,,,1125.563721,846.257690,377.847595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,781.964844,631.729004,148.690399,847.247009,712.275940,149.893082,725.606445,693.882202,157.207001,,,,,,,1124.126587,845.754822,377.253357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,779.391357,631.860535,149.591019,844.590271,712.086060,150.842712,723.194092,694.135925,158.560181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,776.811951,632.138306,150.346146,842.216248,712.469482,152.307358,720.552551,694.445190,160.025757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,773.956604,632.236267,151.898865,839.477356,712.588928,152.659546,717.659729,694.783936,161.278000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,771.145203,632.424194,152.862167,836.929016,712.243408,153.727173,714.938538,695.028198,162.350525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,768.099121,632.688232,153.967453,834.070251,712.511414,154.365509,712.062073,695.330444,163.569839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,765.176758,632.704773,155.030182,830.549500,712.963196,155.372528,709.160461,695.729370,164.447296,,,,,,,,,,1113.781982,843.562927,375.395599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,762.176941,633.036987,156.054123,828.364868,712.883911,156.165726,706.256836,696.165833,165.359558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,758.988037,633.354553,157.628143,824.451782,713.156128,156.825745,703.273315,696.471375,166.154205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,755.437256,633.620422,158.819412,821.614319,713.321838,157.920715,700.153137,696.982422,167.106613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,752.241089,633.888611,160.027313,818.719604,713.516113,158.189346,696.813171,697.282898,167.891052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
