Weight16
Date:,2025/04/16
Time:,14:18:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
17,890.622925,700.600830,122.614738,824.192017,628.900269,96.364418,766.285889,695.713928,100.195580,1082.516235,861.660950,282.231628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,890.140015,700.917236,123.982529,823.768555,629.085754,97.205803,766.115723,695.940796,100.551010,1082.413452,861.833557,282.264404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,889.617249,701.054260,124.447380,823.276917,629.079163,97.977898,765.869873,696.104919,100.972511,1082.315186,861.966675,282.336884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,889.255920,701.375732,124.820496,823.015686,629.158081,98.754852,765.391724,696.265686,101.588463,1082.240723,862.027954,282.406494,,,,1084.094482,845.570374,422.406158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,889.003662,701.603699,125.196533,822.578552,629.344788,99.546524,764.662781,696.332214,102.311508,1082.106812,862.088440,282.531219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,888.706604,701.751221,125.538269,822.021484,629.405212,100.285194,,,,1081.930664,862.151428,282.558960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,887.638367,702.094299,126.315201,821.136108,629.563171,101.343895,,,,1081.723267,862.262512,282.537506,,,,,,,762.728088,696.563110,104.396637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,886.864380,702.220337,127.216568,820.356445,629.829529,102.068626,,,,1081.557983,862.413696,282.727997,,,,,,,762.493835,696.607422,105.881653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,886.632690,702.168396,127.547607,819.245544,629.922485,103.028259,,,,1081.302002,862.494080,282.699402,,,,,,,761.805237,696.783691,106.586723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,885.762085,702.179810,128.563950,818.575928,630.048401,103.894501,,,,1080.864014,862.647583,282.445618,,,,,,,761.142090,696.986084,107.122910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,884.600586,702.225037,129.686996,817.822998,630.316589,104.846840,,,,1080.426147,862.685913,282.464752,,,,,,,760.458008,697.351929,107.892624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,883.706055,702.437683,130.282745,816.625305,630.497803,105.837608,,,,1080.107422,862.608337,282.889984,,,,,,,759.419312,697.457336,108.592384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,882.706848,703.051514,130.693344,815.353760,630.651367,106.820099,,,,1079.331787,862.796692,283.321625,,,,,,,758.053894,697.591431,109.440712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,881.512146,703.260498,131.376190,814.032043,630.729736,107.623329,,,,1078.412476,862.923340,283.800507,,,,,,,756.894043,697.915466,110.531166,1079.020508,845.156067,422.402435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,880.293213,703.164612,132.296829,812.957703,630.810425,108.422974,,,,1077.929565,863.170227,283.896881,,,,,,,755.611877,698.177429,111.177361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,878.710449,703.079163,132.843323,811.688782,631.042358,109.273277,,,,1077.434082,863.242310,283.861633,,,,,,,754.407104,698.226257,111.702515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,876.846375,703.820740,133.642441,809.955933,631.255920,110.457413,,,,1076.730103,863.247437,283.813568,,,,,,,753.043518,698.309204,112.520714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,875.659180,703.971558,134.429230,808.472656,631.319946,111.329430,,,,1075.639282,863.286682,283.551880,,,,,,,751.690979,698.399841,113.476784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,874.675537,703.622864,135.180725,806.980225,631.525269,111.856171,,,,1074.333130,863.430176,283.922150,,,,,,,749.659607,698.578186,114.422974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,872.319397,704.138855,135.335434,805.334595,631.660950,112.704353,,,,1073.165039,863.521484,284.101776,,,,,,,747.584534,698.645691,115.094498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,870.361389,704.902527,136.472229,803.317383,631.553894,113.926506,,,,1072.449585,863.533752,284.259399,,,,,,,745.944702,698.794556,115.913773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
