Weight13
Date:,2025/04/16
Time:,10:33:15
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,989.644958,768.360596,400.381409,989.724365,826.790161,289.613434,774.074280,634.019836,111.865601,791.217957,632.823669,95.708328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,989.535950,768.447388,400.369293,990.091736,826.561646,289.392365,774.108032,634.032104,111.856079,791.139526,632.811279,95.721443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,989.548828,768.428284,400.284332,990.128723,826.607910,289.360474,774.011902,634.059204,111.826050,790.999146,632.820923,95.857208,867.868103,667.034302,153.614243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,989.420654,768.472290,400.279358,989.889038,826.694702,289.468445,774.076782,634.039612,111.843391,790.680542,632.955688,95.835533,867.886719,667.024475,153.738876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,989.211670,768.489075,400.226990,989.401855,826.805542,289.599396,774.092468,634.022949,111.856308,790.839355,632.896729,95.862564,867.816345,667.020386,153.706787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,989.206299,768.499939,400.268524,989.045166,826.943542,289.685944,774.139038,634.017517,111.929321,790.990234,632.812195,95.848434,867.879150,667.012146,153.689865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,989.151672,768.501770,400.208710,989.015259,827.057251,289.748962,774.120544,634.020996,111.880638,791.231079,632.734192,95.774071,867.861084,667.033020,153.799698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,989.049316,768.504700,400.143768,988.970642,827.146118,289.731506,774.118835,634.031067,111.836868,791.010986,632.864136,95.743454,867.822021,667.026123,153.857819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,988.921448,768.582031,400.187439,989.005066,827.259399,289.650696,774.127930,634.037903,111.822083,791.234924,632.871887,95.710129,867.854370,667.020264,153.915756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,988.777222,768.626343,400.135468,989.133057,827.352295,289.686066,774.098450,634.031677,111.838791,791.073120,632.882996,95.753418,867.875977,667.007996,154.056656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,988.710022,768.630432,400.074066,988.992981,827.501343,289.667816,774.152649,634.015564,111.829338,791.239441,632.840454,95.818451,867.833740,666.905518,154.130295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,988.581482,768.717041,400.065216,988.964661,827.569275,289.718201,774.166748,634.037109,111.821426,791.546631,632.790710,95.760239,867.842773,666.880432,154.245941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,988.423584,768.796326,400.016388,988.967285,827.655762,289.752106,774.188171,634.030334,111.801384,791.761597,632.758301,95.706161,867.853088,666.762939,154.407211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,988.065430,768.975586,400.073944,989.133850,827.728638,289.774506,774.197998,634.025574,111.790321,791.337830,632.501648,95.291725,867.883789,666.712769,154.581848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,987.991455,769.037048,399.925476,989.283752,827.803833,289.910217,774.185120,633.935486,111.764191,791.543274,632.691833,95.489662,867.855835,666.598999,154.852814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,988.104126,769.082458,399.765808,989.338074,827.830872,289.916168,774.193542,633.976379,111.744896,791.721130,632.863586,95.578270,867.890442,666.631836,155.054703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,987.886597,769.229980,399.605225,989.416626,827.912170,289.986725,774.165161,633.956787,111.763565,791.871338,632.801636,95.540520,867.896790,666.458923,155.283646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,987.659668,769.419617,399.468353,989.498352,828.034851,290.058685,774.192688,634.005432,111.839172,791.916687,632.834229,95.489151,867.960876,666.474121,155.537964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,987.606445,769.569580,399.440063,989.694946,828.142944,290.320068,774.275757,634.020325,111.839890,791.906616,632.932739,95.397324,868.039307,666.344666,155.831909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,987.448486,769.712769,399.279663,989.809265,828.297791,290.441772,774.319641,634.027222,111.802414,791.744934,633.008118,95.403252,867.915894,666.337524,156.156525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,987.304382,769.816467,399.283966,990.038086,828.507996,290.627014,774.305176,634.024597,111.783096,791.824524,633.002441,95.444481,867.737732,666.322876,157.018448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,987.182739,769.893860,399.289764,990.211731,828.709290,290.743042,774.353882,633.905090,111.681580,791.968689,632.929810,95.442848,867.492798,666.190430,157.781754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,987.007385,770.073181,399.241577,990.416260,828.942810,290.770813,774.390442,633.868835,111.632042,792.127014,632.906616,95.418785,867.322144,666.138794,158.300568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,986.801270,770.215698,399.163879,990.959351,829.184326,290.884888,774.370239,633.877319,111.560539,792.156006,632.937439,95.348595,867.202087,666.135864,158.795303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,986.621948,770.347900,399.121277,991.276001,829.524414,291.020416,774.373657,633.791931,111.560005,791.927551,633.064026,95.142372,867.078125,666.135376,159.329712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,986.766602,770.416443,398.918884,991.494019,829.868713,291.147614,774.466797,633.731018,111.593117,792.126831,633.071350,95.147072,866.880432,666.147583,159.937515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,986.754150,770.497009,398.785187,991.587219,830.222168,291.236786,774.397644,633.671753,111.597260,792.404419,632.943298,95.187004,866.789063,666.118713,160.389679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,986.644409,770.527954,398.588959,991.156189,830.825317,291.817444,774.341064,633.650513,111.618118,792.661316,632.797668,95.258293,866.708130,666.102234,160.778381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,986.252808,770.791565,398.420197,991.431824,831.023560,291.753815,774.307678,633.666992,111.717453,792.822205,632.735291,95.351082,866.653198,666.220642,161.350662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,985.607910,771.250671,397.904999,991.172180,831.445251,291.804504,774.164001,633.779968,111.811005,792.925659,632.765503,95.532524,866.433655,666.278748,162.109604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,985.251465,771.517700,397.465546,990.912842,831.786865,292.078766,773.883057,633.875000,112.051758,792.937744,632.755676,95.718750,866.006226,666.423828,162.874649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,985.388367,771.696838,396.743286,990.536804,832.165710,292.389923,773.606262,633.877563,112.377670,796.025330,627.377319,100.410110,865.510620,666.548096,163.584366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,984.550171,772.043640,396.723907,990.503357,832.426208,292.431885,,,,796.944580,619.973022,105.006905,864.924927,666.772827,164.456406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,983.893799,772.191833,396.496521,990.374451,832.883362,292.474243,,,,796.008118,616.454468,107.659721,863.946411,666.755615,165.899536,773.015381,634.193665,112.901917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,983.825806,772.302795,396.283875,990.028198,833.314575,292.507446,,,,794.792175,617.065247,108.708786,862.799255,666.575134,167.252502,772.280334,634.482422,114.407066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,983.388977,772.506470,395.924286,,,,,,,794.102356,618.764954,109.055344,861.919617,666.335022,168.847198,771.347412,634.508972,115.574142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,982.711670,772.788330,395.837189,,,,,,,793.512939,620.489136,109.051926,861.198303,666.360168,170.084732,770.654541,634.609009,116.366524,988.434265,834.508667,293.296356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,981.887329,773.164612,395.623810,,,,,,,792.960754,620.947754,109.913490,860.396790,667.344299,170.377808,770.055786,634.870728,116.822906,987.518188,835.089417,293.800201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
