Weight66
Date:,2025/04/23
Time:,11:19:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,833.547974,727.326904,159.728317,,,,806.293823,636.872253,117.813614,982.070862,894.211304,520.517090,1000.699707,933.231628,366.385437,,,,726.854797,679.711792,114.594215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,830.331360,727.428955,160.795212,,,,802.906311,636.915710,119.683365,981.599609,893.987305,520.669556,998.617249,933.529114,366.740692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,827.726501,727.964783,162.076462,,,,799.691772,637.101501,121.058586,980.348022,893.701599,520.733215,997.108459,933.651245,366.597443,,,,,,,720.222229,679.882507,118.965805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,823.842285,728.111694,163.185486,,,,796.237244,637.269653,122.404060,978.527405,893.456238,520.691284,995.742493,933.700012,366.696350,,,,,,,716.285522,680.167908,120.686226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,820.558899,728.226746,164.459396,,,,792.680786,637.295288,124.013657,977.187073,893.375916,520.458618,993.120056,933.968689,367.082642,,,,,,,713.138184,680.209106,121.618866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,816.960632,728.745361,165.330063,,,,788.827087,637.556763,125.572449,976.599792,893.050476,520.345337,991.350891,933.837158,366.680328,,,,,,,709.479553,680.255432,123.127831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,812.957764,728.685608,166.540558,,,,784.720337,638.124207,126.724640,975.045715,892.726318,520.089172,989.415039,933.762451,366.371399,,,,,,,705.394470,680.230835,125.865761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,808.551331,728.643066,167.409622,,,,780.553101,638.213745,127.476913,973.216309,892.607788,519.788452,986.527283,933.888000,366.317719,,,,,,,700.836670,680.351013,127.379860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,804.557251,728.903015,168.613785,,,,776.219421,638.141296,128.586914,971.578247,892.401428,519.817261,984.694153,933.497803,366.158875,,,,,,,696.532227,680.409790,128.454666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,800.338074,729.032043,169.683731,,,,771.693054,637.927124,129.789734,970.064392,891.956604,519.225647,981.621948,933.546936,365.673981,,,,,,,692.060730,680.632568,129.399124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,795.947998,729.010010,170.296631,,,,766.993958,637.963501,130.961960,968.497559,891.578186,518.300964,979.663757,932.938477,365.557220,,,,,,,687.304932,680.867737,130.608124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,791.370361,729.087341,170.917618,,,,762.161316,638.068909,131.739288,967.394348,891.175415,518.056213,976.553650,933.088562,364.766846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,786.365540,729.053467,171.908798,,,,757.098633,638.436523,132.107376,964.714539,890.940125,517.466736,973.838684,932.516785,364.617279,,,,,,,,,,677.458435,681.200317,132.711945,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,781.088135,729.187378,172.948212,,,,751.951538,638.887634,132.180801,963.366882,890.618713,517.119263,970.986206,931.982178,363.754303,,,,,,,,,,672.312073,681.415039,133.586899,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,776.107361,729.458740,173.003952,,,,746.589722,639.432922,132.330276,961.369080,890.130798,516.457581,967.645447,931.408264,363.302917,,,,,,,,,,667.143433,681.683594,134.603088,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,771.097839,729.412842,173.490524,,,,741.008972,639.896240,132.788147,959.265747,889.898926,515.580383,964.636353,931.045898,362.388275,,,,,,,,,,661.699402,682.068604,135.617630,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,765.749329,729.465942,173.662766,,,,735.462036,639.938293,133.491501,957.505432,889.379333,514.762329,961.662048,930.385620,361.416290,,,,,,,,,,656.034424,682.382996,136.305222,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,760.355835,729.788757,174.248291,,,,729.842346,639.725403,134.151138,955.773987,888.733765,514.092224,957.953003,929.721313,360.626038,,,,,,,,,,650.336853,682.787720,136.954117,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,755.057922,729.602356,174.748734,,,,723.523743,640.533936,134.048630,953.182495,888.473389,513.438660,955.095398,928.780945,359.881287,,,,,,,,,,644.775818,683.129333,137.405029,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,749.546448,729.702393,174.508804,,,,717.420410,640.922119,133.897690,951.151855,887.979675,512.967773,951.640137,928.287964,359.352631,,,,,,,,,,639.182251,683.615051,137.609085,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,744.075806,729.763611,174.293793,,,,711.254883,641.578552,133.853592,949.496582,887.276611,511.650757,948.161804,926.999390,358.323090,,,,,,,,,,633.168945,684.098755,137.311234,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,738.387024,729.589478,174.083374,,,,705.440979,640.191223,134.863541,947.158752,886.799011,510.670532,943.955811,926.272461,357.531403,,,,,,,,,,627.039734,685.024719,137.393570,,,,,,,,,,,,,,,,,,,,,,,,,,,
