Weight60
Date:,2025/04/23
Time:,14:07:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,785.483337,727.097778,188.004898,745.902954,629.892090,196.825668,673.689453,675.545166,195.056732,1068.126221,860.417358,378.467377,1007.025024,890.109070,243.039047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,782.150269,727.098083,189.359863,741.803833,629.856384,198.586456,670.099609,675.702454,196.692627,1066.321411,860.449219,379.057434,1003.940186,889.834351,243.963577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,778.615479,726.985229,190.087799,737.923584,629.976929,200.514359,666.535645,675.980408,198.187424,1064.185425,860.455566,379.141418,1000.700439,889.579224,244.933182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,774.231628,727.226868,191.736359,734.046021,630.262695,201.413605,662.564026,676.217651,199.742462,1061.897583,860.391846,379.660156,996.688477,889.594604,246.128479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,770.317322,727.572388,192.942459,730.010864,630.546021,202.443008,658.352112,676.494629,201.456284,1060.267456,860.301331,380.159760,993.383728,889.300049,247.021286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,766.998718,727.556580,193.932831,725.588928,630.808289,204.148727,654.313965,676.970764,203.302429,1057.969360,860.249756,380.794403,989.995544,889.411072,247.620102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,762.927124,727.858459,195.088196,721.496643,630.935669,205.379318,650.156921,677.290283,204.965378,1055.766846,860.277161,380.812439,986.764160,889.142456,248.585831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,758.458618,728.210022,196.602127,717.736145,631.102417,206.124069,645.980408,677.662231,206.367508,1053.689697,860.062012,381.532928,983.367737,888.448975,249.193542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,754.371704,728.047424,197.880905,713.649048,631.319275,207.004898,642.102234,678.036621,207.498611,1051.726563,860.001526,382.038605,979.741577,888.664856,250.446640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,750.541748,728.064575,198.797409,708.957703,631.364197,208.159164,637.895691,678.587097,208.434280,1049.418091,859.976624,382.366302,976.233215,888.633362,251.286179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,746.410583,728.378662,199.785263,704.497192,631.583679,209.239441,633.595703,679.019104,209.373001,1046.922729,859.878296,382.554230,972.612793,888.283020,252.527618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,742.203735,728.517700,200.124405,700.190613,631.947144,210.059525,629.456665,679.551697,210.354813,1045.018921,859.821960,383.186035,968.710144,887.773438,253.226532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
