Weight17
Date:,2025/04/16
Time:,14:18:13
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,890.912231,706.971436,115.302177,765.394531,690.684753,96.252617,830.697510,629.033081,89.583824,1088.512939,860.406677,280.831573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,890.832825,706.966858,115.298172,765.302917,690.701599,96.319603,830.656921,629.139832,89.538528,1088.577759,860.396362,280.898071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,890.843567,706.968323,115.279762,765.265625,690.803162,96.349442,830.658081,629.110779,89.580704,1088.504639,860.395874,280.849152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,890.917847,706.971191,115.268944,765.291260,690.732910,96.350548,830.625977,629.063599,89.668091,1088.502319,860.406067,280.827148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,890.960449,706.973022,115.234726,765.301453,690.696533,96.326881,830.660461,629.013245,89.651611,1088.485107,860.398743,280.828949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,890.956482,706.966003,115.264671,765.314026,690.700439,96.320724,830.661682,629.086365,89.584610,1088.481445,860.396912,280.831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,890.924194,706.974121,115.214500,765.315796,690.706177,96.321846,830.630127,629.061157,89.543655,1088.482666,860.397156,280.832275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,890.942505,706.970947,115.230095,765.301636,690.712952,96.333183,830.611389,629.051941,89.588966,1088.421143,860.402527,280.889252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,890.905579,706.974731,115.231812,765.301270,690.708313,96.337173,830.609619,629.005066,89.533997,1088.435669,860.446045,280.943665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,890.906555,706.961426,115.305580,765.278320,690.707336,96.339996,830.620789,629.113525,89.567169,1088.417603,860.410950,280.909302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,890.912903,706.971680,115.230354,765.293579,690.706665,96.341766,830.616272,629.121033,89.524559,1088.410889,860.401367,280.893707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,890.905090,706.977295,115.219849,765.695251,690.768982,96.144089,830.579346,629.089050,89.583733,1088.411377,860.402649,280.894165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,890.938965,706.981628,115.204887,765.552795,690.716431,96.087212,830.564941,629.068787,89.613686,1088.412476,860.403687,280.896240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,890.945862,706.964355,115.268272,765.808838,690.760071,96.030075,830.561462,629.035217,89.525864,1088.350342,860.408997,280.953888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,890.939575,706.976196,115.221298,765.520081,690.718445,96.113724,830.565247,629.124207,89.556259,1088.271484,860.460754,281.034271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,890.916199,706.978943,115.226631,765.339905,690.690186,96.276695,830.563660,629.149719,89.567940,1088.204102,860.479004,280.988068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
