Weight63
Date:,2025/04/24
Time:,15:55:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,892.195313,687.408447,106.402504,1080.258911,752.067383,356.238159,821.236206,615.755493,105.390907,1049.139893,781.599426,195.015320,769.106934,688.856445,117.611313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,892.275574,687.294250,106.435799,1080.251465,752.125610,356.241547,821.285767,615.773132,105.388535,1048.833496,781.755798,195.147461,769.114075,688.874084,117.662392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,892.461487,687.159302,106.575317,1080.285767,752.160645,356.262421,821.172791,615.711060,105.451782,1048.759033,781.909241,195.476944,769.152527,688.845520,117.594589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,893.063171,688.362732,107.123459,1080.202637,752.162842,356.319153,821.124146,615.616699,105.511719,1048.209473,782.060242,195.611420,769.255432,688.744202,117.611740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,892.614807,687.446838,106.714539,1080.116943,752.170166,356.269531,821.133911,615.676331,105.544151,1048.033203,782.179260,195.689865,769.277588,688.760864,117.643929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,892.557068,687.031494,106.668938,1080.152222,752.215210,356.315155,821.105835,615.720093,105.532455,1047.986572,782.381287,195.754639,769.219116,688.753479,117.653801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,892.271729,687.244507,106.808502,1080.049805,752.288452,356.332092,821.087708,615.754822,105.552124,1048.369141,782.477295,195.949600,769.284119,688.750183,117.610901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,892.421265,687.171692,106.793777,1080.022339,752.296265,356.329529,821.042175,615.819519,105.537872,1047.748291,782.790833,196.209335,769.290039,688.723145,117.562813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,892.501465,687.119873,106.766495,1079.896973,752.359192,356.370209,821.040283,615.876099,105.557045,1047.697998,782.969604,196.720490,769.273987,688.730652,117.600182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,892.583374,687.086426,106.901466,1079.927612,752.426575,356.439331,821.045227,615.919312,105.598518,1047.756470,783.379089,196.517166,769.257141,688.735657,117.627014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
