Weight54
Date:,2025/04/23
Time:,10:07:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,891.401672,695.927185,125.855698,761.522339,690.380066,101.429283,834.044739,614.927185,95.917183,,,,1122.947998,862.391235,275.009430,1160.218750,855.110046,465.776978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,891.771179,695.862915,125.761070,761.848267,690.638123,101.570251,834.728394,614.879883,95.659233,,,,1123.261230,862.634827,274.876251,1159.819580,855.217834,465.817322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,892.163879,695.703613,125.878632,762.437927,690.906433,101.586548,835.354675,614.816345,95.430145,,,,1123.310303,862.758911,275.083282,1159.572876,855.247314,465.833740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,892.596802,695.661804,125.836311,763.089233,690.912354,101.342476,835.226318,614.522034,96.040291,,,,1123.268799,863.076904,275.239258,1159.194214,855.281128,465.966095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,892.837341,695.638367,125.783875,763.650085,690.787537,101.060379,835.707764,614.687500,95.448929,,,,1123.217285,863.361511,275.284973,1158.720703,855.401001,466.072998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,892.942688,695.662537,125.871445,764.126465,690.606628,100.616409,835.441650,614.791565,95.549850,,,,1123.384521,863.670288,275.022217,1158.440918,855.527344,466.146698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,893.096741,695.479675,125.923531,764.461304,690.364746,100.356087,835.347107,614.832214,94.981392,,,,1123.424561,863.969421,274.955109,1158.159668,855.645569,466.184021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,893.130554,695.306091,125.952110,764.754944,690.089050,100.133049,836.017212,615.500244,93.169228,,,,1123.531006,864.227905,274.906464,1157.935791,855.753784,466.224884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,893.124390,695.176880,126.025581,765.069397,689.923096,99.882698,835.771973,616.147766,91.770279,,,,1123.511963,864.360046,274.875183,1157.752686,855.765686,466.235565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,893.056458,695.035034,126.146912,765.349121,689.704834,99.558723,834.579407,616.910767,90.598122,,,,1123.550659,864.553467,274.717651,1157.585205,855.739746,466.301300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,892.872253,694.871216,126.435837,765.577881,689.518188,99.081108,833.659546,617.444702,89.237068,,,,1123.559082,864.785583,274.714569,1157.536133,855.816833,466.070007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,892.421326,694.610718,126.876900,765.811218,689.332214,98.467628,832.740784,618.424622,86.962997,,,,1123.373535,864.955627,274.767456,1157.441162,855.757080,466.009888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,891.978699,694.193970,127.245735,766.026062,689.348694,98.016777,831.403320,619.621643,85.139832,,,,1123.186890,865.106750,274.863831,1157.172974,855.880554,466.055450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,891.623535,693.721313,127.498863,766.050049,689.397156,97.660965,829.742004,620.534180,84.001877,,,,1122.859009,865.295471,275.029907,1156.949463,855.846863,466.015686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,891.225769,693.534973,127.691116,766.059631,689.353088,97.400620,828.062073,622.052002,82.573051,,,,1122.491455,865.476440,274.953156,1156.723877,855.913757,465.947266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,890.851685,693.487671,127.848267,766.048523,689.375000,97.100548,827.269104,623.049194,81.798698,,,,1122.346436,865.600830,274.909729,1156.500122,855.851257,465.950592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,890.400879,693.606750,128.168549,766.029236,689.215576,96.977119,827.875244,622.401794,82.221420,,,,1122.066528,865.544983,274.947418,1156.248535,855.853516,465.795624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,890.015808,693.883667,128.493591,765.949890,688.969177,96.975571,828.434998,621.351318,82.494598,,,,1121.687012,865.404541,274.889648,1156.014771,855.652100,465.778412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,889.549255,694.010925,128.891571,765.888245,688.617798,97.137787,828.516968,620.897095,82.541656,,,,1121.354980,865.235657,274.819519,1155.752808,855.602051,465.755859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,888.914368,694.136841,129.532608,765.719421,688.243958,97.378563,828.206909,621.156799,82.822243,,,,1121.063232,865.085144,274.844421,1155.383667,855.508057,465.615021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,888.197510,694.032043,130.181564,765.521912,687.864929,97.675201,828.209473,620.904724,83.103386,,,,1120.783081,865.055908,274.818939,1155.554565,855.360107,465.037720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,887.556396,693.891235,130.686066,765.356628,687.515808,97.816284,828.166321,620.535767,83.416153,,,,1120.484131,865.023560,274.871613,1154.821167,855.362671,464.958038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
