Weight63
Date:,2025/04/23
Time:,14:07:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,874.092407,720.595337,104.386772,835.525269,623.952698,105.738213,763.138733,670.897766,106.363678,1112.626587,863.224121,380.254028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,874.096436,720.648987,104.394440,835.492004,624.056763,105.601173,763.069702,671.000000,106.393227,1112.240479,863.265137,380.136536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,874.105896,720.612671,104.383415,835.476074,623.990784,105.647102,763.050781,671.005371,106.373375,1111.967529,863.278503,380.061676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,874.097107,720.592651,104.382622,835.360413,623.927673,105.741463,763.130615,670.995728,106.367714,1111.736206,863.244446,379.968109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,874.092346,720.592590,104.385933,835.186890,623.870056,105.982430,763.093201,670.998962,106.377060,1111.453125,863.262085,379.835480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,873.978333,720.492798,104.441208,835.166626,623.877380,106.281311,763.095520,671.006897,106.391708,1111.292480,863.169189,379.837189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,874.029846,720.485657,104.512634,835.137390,623.812927,106.309189,763.100403,671.008301,106.391937,1110.956299,863.193237,379.639587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,874.002808,720.425415,104.526558,835.020447,623.740417,106.277596,763.038330,671.014954,106.353386,1110.802490,863.114624,379.621490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,874.004700,720.431946,104.581940,834.895203,623.804932,106.295731,763.013794,671.010986,106.342697,1110.590576,863.090820,379.556061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,873.970337,720.331909,104.582771,834.927612,624.256104,106.223587,763.014404,671.009277,106.344849,1110.399658,863.050720,379.509521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,874.041565,720.257263,104.922165,834.695923,623.944641,106.221329,763.028015,671.014832,106.352318,1110.179810,862.962830,379.436829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,874.215698,720.290405,105.146019,834.441711,623.634155,106.396980,762.997070,671.108215,106.339378,1109.922607,862.912842,379.459167,1064.823730,881.283142,226.855392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,874.460693,720.111267,105.305328,834.225464,623.520203,106.493248,762.982422,671.145874,106.408798,1109.618408,862.892029,379.336426,1064.744629,881.861389,227.013290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,874.439087,719.993958,105.675728,833.980286,623.497498,106.639343,762.970703,671.143066,106.436211,1109.295776,862.864380,379.273682,1064.751465,882.173279,227.093781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
