Weight56
Date:,2025/04/23
Time:,10:07:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,884.184631,704.405212,125.814659,836.603821,623.631409,83.540474,760.768616,684.889099,93.352173,1129.769287,868.468018,468.890411,1106.191162,882.990845,276.616150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,884.116882,704.286438,125.706848,836.588196,623.504089,83.456390,760.683533,684.994690,93.203903,1129.576172,868.403503,468.823425,1106.138672,882.903320,276.503235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,884.079407,704.016235,125.442863,836.451416,623.487854,83.363693,760.555359,685.125366,92.609818,1129.288086,868.296082,468.613953,1105.859009,882.753845,276.509491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,884.048157,703.739380,125.419640,836.343872,623.598389,83.229134,760.542786,685.062500,92.319298,1129.032837,868.192688,468.396088,1105.716064,882.716797,276.259399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,883.978210,703.599487,125.247604,836.007446,623.286804,83.038368,760.646912,684.918762,92.598007,1128.628296,868.091736,468.203186,1105.605713,882.595398,276.068787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,883.900696,703.447693,125.232933,835.661926,623.223816,82.876015,760.679932,684.809082,92.529640,1128.276245,867.957275,468.070435,1105.367920,882.546692,276.064087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,883.854980,703.295410,125.217850,835.428467,623.110352,82.567436,760.742004,684.722717,92.289322,1127.851074,867.830566,468.036346,1105.198853,882.379944,275.960052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,883.761841,703.265015,125.084877,835.111633,623.075073,82.267265,760.817139,684.661926,91.962326,1127.360352,867.647278,467.992157,1105.080322,882.294250,275.873535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,883.719788,703.232178,124.829704,834.675964,623.405701,81.773987,760.918884,684.498657,91.400406,1126.963013,867.540100,467.795746,1104.975952,882.206787,275.796326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,883.545532,703.031311,124.792038,834.166687,624.131958,81.033241,761.087646,684.285706,90.895767,1126.567383,867.363037,467.827759,1104.926147,882.092957,275.777008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
