Weight60
Date:,2025/04/28
Time:,14:17:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,878.809326,676.808960,170.051880,829.667786,614.431946,100.515312,767.833191,624.831360,131.504944,1122.264648,872.045776,394.218140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,878.721313,677.178284,170.351486,829.136597,615.368652,100.418495,767.950439,625.090759,131.674866,1121.543213,872.142151,394.319641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,878.524963,677.520081,170.630371,828.932861,615.958008,100.435646,767.894287,625.365295,132.027466,1121.215454,872.015625,394.576904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,878.324402,677.794128,171.033615,828.890015,616.123901,101.180717,767.614868,625.723389,132.709900,1120.588867,872.029114,395.030121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,877.967651,678.262512,171.798920,828.539673,616.178955,101.798065,767.209167,625.975220,133.416840,1119.768066,872.106934,395.276123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,877.325989,678.698853,172.868912,827.794189,616.444824,102.956779,766.757446,626.283936,134.155380,1118.943115,872.069397,395.484253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,876.738464,678.976929,174.125732,827.282104,616.749878,104.338989,766.369080,626.731689,135.004562,1118.313599,872.078674,395.383820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,876.198975,679.496216,175.027679,827.155273,616.813171,105.837227,765.879883,627.299011,136.099152,1117.410278,872.163696,395.525177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,875.541565,680.138062,176.012650,826.716919,616.743469,106.975388,765.245667,627.687561,136.985687,1116.577515,872.333496,396.020264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,874.840210,680.731201,177.320938,826.059631,616.859985,108.346115,764.648560,628.292114,138.019272,1115.623901,872.421753,396.149567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
