Weight09
Date:,2025/04/15
Time:,13:43:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,851.140747,738.299133,108.762726,953.348877,955.004272,257.973572,941.137573,891.517700,414.897736,839.820862,642.467590,92.295265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,851.163879,738.304565,108.748772,953.247864,955.113037,258.006409,941.990845,891.820374,414.582428,839.820862,642.467590,92.295265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,851.173157,738.304016,108.738464,953.286682,955.021606,257.981903,941.389893,891.580322,414.700531,839.867737,642.508850,92.321556,761.811523,658.953430,97.088478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,851.165649,738.286499,108.719131,953.318604,955.075806,257.975891,941.090942,891.497620,414.905090,839.879517,642.542297,92.222771,761.810181,658.974304,97.095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,851.036682,738.374329,108.710670,953.318420,955.116821,257.946350,941.027100,891.507019,414.916077,839.873291,642.616638,92.202576,761.771973,658.968018,97.110168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,851.067566,738.323730,108.688843,953.216980,955.142944,257.959351,941.808533,891.777344,414.627991,839.847656,642.603943,92.158195,761.755432,658.960510,97.123718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,851.119629,738.331909,108.707779,953.201050,955.151428,257.948273,941.384033,891.585693,414.756256,839.840454,642.568176,92.159195,761.755005,658.958923,97.126312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,851.120056,738.321411,108.691757,953.607605,954.984985,257.684784,941.741882,891.869629,414.664368,839.870972,642.558899,92.137306,761.841064,659.111511,96.873055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,851.092834,738.374756,108.644691,953.382019,955.182617,257.721252,941.239197,891.698975,414.750031,839.877075,642.586487,92.162025,761.866211,659.021362,96.930618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,851.075928,738.399048,108.676270,953.596680,955.135986,257.642212,941.775574,891.877563,414.690948,839.924255,642.610474,92.166832,761.795776,658.966064,97.079803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
