Weight64
Date:,2025/04/26
Time:,15:58:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,825.573181,707.112122,137.425018,1005.425232,739.601257,298.907074,709.779114,687.929443,147.049210,1035.082764,811.855652,165.373596,,,,770.534241,625.431946,141.091827,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,822.195740,707.230042,138.274094,1004.298706,739.480103,298.989258,706.380371,688.377869,148.816406,1031.809082,812.221924,165.351334,,,,767.416992,625.654297,142.342163,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,818.921143,707.421753,139.490845,1001.833130,739.714905,299.521179,703.152344,688.919922,150.463821,1028.557983,812.508606,165.360184,,,,763.871155,626.190369,143.719055,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,815.518494,707.996338,140.570145,999.717224,739.503601,299.568146,699.381226,689.503479,152.194687,1025.552368,812.717224,165.710464,,,,760.290527,626.729187,145.144669,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,811.771790,708.297180,141.633728,998.133850,739.373474,299.883545,695.977478,690.145569,153.698227,1021.984802,812.997314,165.431702,,,,756.368225,627.198120,146.468475,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,808.388245,708.518311,142.435333,995.775757,739.459290,299.853943,692.482056,690.699219,154.905106,1018.630127,813.203735,165.757843,,,,753.035095,627.632690,147.818680,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,804.881348,708.957703,142.874222,993.775330,739.303955,299.913483,688.577026,691.234070,156.150696,1015.002869,813.477539,165.426926,,,,749.202454,627.930359,149.293564,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,801.377930,709.070984,143.902664,991.596069,739.209717,300.203888,684.901245,691.845215,157.307938,1011.450500,813.637878,165.635193,,,,745.302429,629.318359,150.552231,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,797.213623,709.349548,145.429184,989.245667,739.061279,300.359985,681.294739,692.721436,159.227676,1008.137024,813.700317,166.131897,,,,741.685974,629.317200,151.583374,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,793.670593,710.065735,145.869751,987.055603,738.857849,300.506683,677.646667,693.017090,159.919144,1004.169861,813.778625,166.130981,,,,737.340637,629.440308,152.768997,,,,,,,,,,,,,,,,,,,,,,,,,,,
