Weight61
Date:,2025/04/23
Time:,14:07:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,862.278931,718.949707,124.454735,747.979492,675.267151,123.363998,816.979065,624.774353,129.098648,1098.147217,860.045105,371.471863,,,,1058.471924,885.635925,225.161560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,861.003235,718.950439,125.484505,746.904541,675.489197,124.284119,815.584839,625.063171,131.024429,1097.415039,860.161621,371.491272,,,,1056.978027,885.743774,226.002914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,860.041199,718.902832,126.487602,745.663574,675.599426,125.335960,813.786011,625.343811,133.006042,1096.727905,860.265564,371.556091,,,,1055.673584,885.955261,226.394897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,858.729431,719.253479,128.136337,743.660706,675.803711,127.088852,812.394775,625.618713,134.940842,1096.054565,860.336914,371.642212,,,,1054.927856,886.232971,226.382874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,856.755493,719.550659,129.887665,742.419373,675.926453,129.272812,811.266907,625.799927,136.422119,1095.162598,860.396912,371.953125,,,,1053.797729,886.107239,226.662689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,854.972229,719.533813,130.791077,741.270447,675.999817,130.680817,809.399048,626.059631,138.427109,1094.705933,860.365112,371.966217,,,,1052.672729,886.504089,227.061829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,854.134949,719.565125,132.079422,739.322815,676.203979,132.383728,807.674438,626.131714,140.345856,1094.231934,860.284851,371.881378,,,,1051.590576,886.669250,227.417679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,852.119812,719.916565,134.019424,737.629822,676.282104,135.049164,806.140015,626.078674,141.847977,1093.442627,860.287903,371.956451,,,,1050.564819,886.780884,227.614731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,849.771240,720.030396,136.272476,735.800842,676.285156,137.145187,804.007446,626.141235,143.815201,1092.681885,860.319824,372.165100,,,,1049.169312,886.725769,228.366913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,848.340515,719.658997,137.700668,733.662964,676.352600,139.028381,802.253479,626.195251,145.417358,1091.870483,860.399414,372.385071,,,,1048.039795,887.037537,228.767532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
