Grasp122
Date:,2025/04/28
Time:,11:51:13
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,942.535278,547.632263,160.661728,810.188354,500.469269,185.078705,1150.386719,759.991577,427.977295,879.492004,466.629547,128.470749,1093.569702,739.817810,208.185989,,,
2,941.210571,550.067444,165.280167,808.538147,504.414276,188.641708,1150.728638,760.351990,428.100220,877.407104,469.124664,133.201691,1095.327881,741.225342,208.209167,,,
3,940.433044,552.586609,168.501373,806.866333,508.600983,191.754105,1151.344604,760.536987,428.235077,874.949890,472.068726,137.599213,1096.544434,742.303284,208.905548,,,
4,939.204895,555.007324,172.248947,804.747681,512.849792,194.899551,1151.950806,760.788330,428.649780,873.329041,475.862305,140.708130,1097.421509,743.400818,209.433624,,,
5,938.238831,557.969360,175.663467,802.968140,517.024841,197.545090,1152.687378,760.969971,429.043182,870.948853,479.188568,144.158676,1098.043945,744.698792,210.113037,,,
6,937.184387,560.730225,178.757019,801.142822,521.534302,199.906693,1153.576294,761.157227,429.761932,869.476563,482.305634,146.832733,1098.480347,745.763306,210.886307,,,
7,935.933594,563.264587,181.491608,799.156738,525.886353,201.958328,1154.174927,761.403076,430.026001,867.077698,485.558838,149.935272,1099.457886,746.820679,211.623535,,,
8,934.765930,565.769714,184.424545,797.276733,530.068298,203.406067,1154.702881,761.702271,430.314301,865.176697,488.935394,152.264389,1100.304077,748.097290,212.481628,,,
9,933.305847,568.403442,187.287262,795.081848,534.376465,205.112381,1155.074219,761.884583,430.683502,862.898010,492.872986,154.791489,1100.639404,749.166260,213.094208,,,
10,931.950867,571.093445,189.708588,792.855713,538.516663,206.602982,1155.525269,762.060608,431.013611,861.044373,496.744446,157.181503,1100.677368,750.209412,213.908188,,,
11,930.347229,573.938416,192.145325,790.866516,542.882751,207.441147,1156.065796,762.181152,431.305267,858.423645,500.140778,158.659302,1101.190552,751.330811,214.761215,,,
12,929.126343,576.408691,194.328979,788.936157,546.768066,207.849197,1156.634644,762.321472,431.657257,856.265991,503.674805,160.425415,1102.082397,752.714600,214.939331,,,
13,927.518982,579.100464,195.978851,786.810486,550.904419,209.323761,1157.039307,762.471375,431.839661,854.285339,507.188293,161.217484,1102.934082,753.385864,215.248611,,,
14,925.819519,581.622620,198.301117,784.782288,554.655273,210.041672,1157.576660,762.670227,431.983704,852.014465,511.081635,162.631317,1103.262939,754.271484,215.973221,,,
15,924.342773,583.864807,199.787796,782.882751,558.665771,210.574341,1158.102905,762.881897,432.156403,850.045044,514.440430,162.834625,1103.161133,755.506409,216.689590,,,
16,922.623047,586.564697,201.525650,780.918518,562.442139,210.557922,1158.428101,763.045227,432.487091,847.399841,518.365723,163.534622,1102.758301,756.526428,217.604584,,,
17,921.106750,588.884766,202.622101,779.011780,566.170776,210.641922,1159.133789,763.141357,432.681702,845.338257,522.125305,163.649765,1102.145142,757.440857,218.435883,,,
18,919.021606,591.294250,204.448029,776.931458,569.995605,210.451920,1159.427246,763.225159,432.859039,843.331360,525.707458,163.257996,1101.968018,758.470886,218.805893,,,
19,917.583435,593.875061,205.312378,775.058533,573.524719,210.414810,1160.172119,763.489075,433.207367,841.425598,529.397949,163.074402,1101.841675,759.623413,219.248581,,,
20,915.762329,596.404480,205.935532,773.108032,577.169067,209.757172,1160.531250,763.673523,433.635315,839.841370,532.793152,162.648788,1101.669556,760.599731,219.667130,,,
21,914.027222,598.813049,206.719269,771.315796,580.465942,208.949326,1160.755737,763.838379,433.861511,837.795288,536.495300,161.705872,1101.673218,761.615601,220.362442,,,
22,912.688965,601.293030,207.491043,769.193176,583.774719,207.828278,1161.088745,764.022339,434.075317,836.229248,539.994446,160.747925,1101.638184,762.562317,220.819916,,,
23,910.550903,603.395752,207.903061,767.404358,587.095032,206.608490,1161.425049,764.129150,434.400116,834.688293,543.258179,159.852020,1101.335083,763.722595,221.286346,,,
24,909.087036,605.925659,207.945572,765.654541,590.293518,205.195175,1161.746338,764.277771,434.541168,832.797729,546.525513,158.561935,1101.110962,764.499451,221.624313,,,
25,907.137207,607.950928,209.068008,763.814697,593.297119,203.384567,1162.028076,764.389099,434.693329,831.665405,549.513611,157.360977,1100.959229,765.257751,222.038437,,,
26,905.272339,610.173645,209.318512,762.036377,596.589355,201.356018,1162.424927,764.427368,435.146759,830.514526,552.772156,155.816711,1100.702881,766.150269,222.180069,,,
27,903.519775,612.254028,208.977295,760.387878,599.964355,199.172928,1162.781006,764.580505,435.457672,829.543457,555.606689,154.290054,1100.286133,767.385437,222.950714,,,
28,902.171204,614.564880,208.301270,758.839844,603.103210,196.683762,1163.168823,764.751587,435.771484,828.476868,558.361267,152.749878,1099.857666,768.296387,223.608627,,,
29,900.764771,616.497864,207.740112,757.363403,606.069397,193.720200,1163.535034,764.822266,436.095428,827.443237,561.117065,151.087082,1099.398438,769.049011,223.983063,,,
30,899.145752,618.574463,207.497543,755.725830,609.000427,191.618042,1163.743896,764.969543,436.318054,826.574951,563.924927,149.242401,1099.070068,769.801514,224.200867,,,
31,897.519897,620.214478,207.059204,754.340637,611.867859,188.613235,1163.897217,765.039246,436.592560,825.720581,566.337158,146.916077,1098.796753,770.559937,224.355423,,,
32,895.868958,622.067627,206.770645,753.396423,614.830750,185.437881,1164.105103,765.218933,436.850647,824.822144,569.033752,144.687408,1098.559814,771.411499,224.610657,,,
33,894.448914,623.414307,206.353882,752.396729,617.706421,182.337204,1164.056274,765.457520,436.917480,824.347290,571.885742,142.682587,1098.337158,772.131287,225.092255,,,
34,893.229065,625.522461,204.837158,751.387024,620.482788,179.229248,1164.135620,765.620544,436.963440,823.478882,574.510864,140.585480,1097.725708,772.919617,225.640381,,,
35,892.080444,627.302490,203.738220,750.544922,623.011108,176.280441,1164.411743,765.703064,437.119446,822.929810,577.074768,138.266922,1096.784302,773.745911,226.226135,,,
36,890.857056,628.616699,202.401779,749.916992,625.276428,172.631409,1164.523438,765.790649,437.253723,822.416565,579.270691,135.788223,1096.162231,774.620850,226.632065,,,
37,889.683472,630.142273,201.609360,749.408020,627.701538,169.601578,1164.583740,765.883972,437.351715,821.886536,581.531250,133.372986,1095.702759,775.518127,226.954941,,,
38,888.558105,631.403320,200.411926,748.799927,629.530273,166.574570,1164.583008,765.999268,437.385590,821.651672,584.036560,131.066193,1095.504150,776.185181,227.011154,,,
39,887.465149,632.786682,199.562622,748.229553,631.398499,163.610397,1164.700562,766.185486,437.467773,821.355042,586.099731,128.815414,1095.192505,776.599121,227.138290,,,
40,886.438049,634.291016,198.428177,747.255554,632.806946,161.621521,1164.682495,766.354919,437.584778,820.928955,588.336243,127.071747,1094.646606,777.302856,227.175491,,,
41,885.564392,635.473877,197.608017,747.112366,634.291199,158.397629,1164.693726,766.525146,437.617035,820.482544,589.987305,125.049423,1093.732056,778.181458,227.659561,,,
42,884.454163,636.640198,196.651657,746.882751,636.056519,155.313553,1164.729370,766.685242,437.666962,820.297424,591.543213,122.952003,1093.122314,778.910400,227.924927,,,
