Grasp35
Date:,2025/04/16
Time:,14:17:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,926.794983,849.003906,79.494476,785.087402,843.117615,58.830173,883.900635,770.831726,40.123478,1112.026367,945.877563,302.038940,1113.328857,909.460571,441.303894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,926.422791,848.314880,80.396317,785.004944,842.423706,59.571850,884.479431,769.764771,41.272377,1112.085449,945.872253,302.087616,1113.258911,909.473022,441.236969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,926.317871,847.573669,81.032013,784.805542,841.096558,60.896988,884.871033,768.562134,42.148888,1112.118042,945.931213,302.105560,1113.226563,909.425110,441.338898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,926.139709,846.729736,81.236229,784.128784,840.119324,62.225109,885.395081,767.161682,43.028980,1112.145874,945.949707,302.104462,1113.239258,909.466125,441.246979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,925.816406,845.588257,82.097931,784.033508,838.999390,63.236340,886.119263,765.887939,43.991333,1112.140991,945.993896,302.107849,1113.154907,909.483765,441.136414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,925.435486,844.671082,83.154625,784.253418,837.276733,63.958752,886.744751,764.328918,44.949764,1112.141724,946.054321,302.115448,1113.100464,909.471619,441.124908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,925.060303,843.400940,84.216820,784.046387,835.445435,65.254578,887.904907,762.266052,46.547791,1112.051758,946.056030,302.172577,1113.097168,909.468445,441.134033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,924.658691,842.080200,84.859154,783.951660,833.981873,65.885834,888.345825,760.684998,47.780457,1111.942261,946.100403,302.132141,1113.065796,909.465576,441.111176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,924.681641,840.791077,86.064491,783.829895,831.945801,66.473045,888.392273,759.105164,48.675770,1111.828613,946.012024,302.130981,1112.928345,909.440552,441.011475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,924.348816,838.715149,87.552383,783.275879,829.930115,67.349640,887.865112,757.832153,49.776005,1111.630615,946.009216,302.083740,1112.830566,909.424805,441.053345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
