Grasp26
Date:,2025/04/16
Time:,11:09:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,930.197693,799.967468,66.499252,797.838501,785.954224,35.252907,1144.890747,912.690674,346.484131,860.443970,743.445068,34.033817,1093.768921,940.946167,155.658493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,930.207336,799.978516,66.495239,797.859497,785.961609,35.238598,1144.934448,912.742859,346.425934,860.498108,743.434692,33.963860,1093.596191,941.050781,155.681213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,930.177551,800.065796,66.513062,797.848083,785.956665,35.243530,1144.892822,912.692505,346.494690,860.512268,743.435120,33.945919,1093.649292,941.081787,155.743576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,930.146667,799.988464,66.587120,797.821106,785.947266,35.201782,1144.863770,912.710571,346.517700,860.464844,743.446899,34.007149,1093.778809,941.004883,155.757187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,930.104187,800.038635,66.578667,797.843811,786.040161,35.236416,1144.828003,912.780823,346.592163,860.437195,743.446167,34.042145,1093.779907,940.980347,155.772964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,930.133545,799.976685,66.544891,797.741394,786.064697,35.209061,1144.857300,912.795105,346.656311,860.435303,743.443726,34.044891,1094.686035,940.472900,155.471466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,930.100586,800.049072,66.556862,797.797241,786.050842,35.203167,1144.849731,912.820862,346.668945,860.441284,743.444031,34.037457,1094.244507,940.839783,155.445908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,930.078125,800.085632,66.599258,797.795532,786.057251,35.266865,1144.857056,912.825500,346.685516,860.444763,743.445068,34.032852,1093.692505,941.035278,155.766800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,930.047607,800.084900,66.600624,797.801941,786.056396,35.259823,1144.917603,912.825806,346.721802,860.359070,743.393738,34.050777,1094.094971,940.583435,156.029800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,930.040100,800.082214,66.649277,797.783569,786.058289,35.281364,1144.850830,912.810669,346.664398,860.370239,743.409790,34.077423,1094.186523,940.542419,155.989624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
