Grasp121
Date:,2025/04/24
Time:,16:09:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,939.009094,698.132751,269.010162,818.777649,411.322083,34.238869,724.871460,457.860718,30.981968,850.203979,499.959290,79.940315,1036.772339,785.411194,426.272095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,939.214294,699.461914,269.043121,818.584656,410.969147,36.235489,724.768555,457.628357,31.623528,849.465698,500.048401,81.352722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,939.646240,700.362488,269.040558,818.170166,410.590851,38.652588,724.555664,457.378113,32.592449,848.370483,500.392944,84.021439,,,,1038.153198,786.221069,426.378998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,940.384888,701.768311,269.129913,817.840210,410.293030,40.892254,724.194946,457.096680,34.531506,848.057739,500.163513,85.969711,,,,1038.252197,786.760681,426.725403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,940.932739,703.156494,269.135162,817.422791,410.211884,43.931152,723.568115,456.768280,37.554497,847.586365,500.114532,88.349564,,,,1038.562012,787.217163,427.205200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,941.555237,704.244385,269.396851,816.595642,409.859955,46.952324,722.820313,456.858154,40.261936,846.538940,500.425598,91.253586,,,,1038.722168,787.895569,427.643768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,941.883606,706.021545,269.895142,816.099426,409.561798,50.081696,722.007263,456.656281,42.949852,845.827637,500.686035,93.208382,,,,1039.340088,788.175232,427.948364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,942.494080,707.313232,270.426605,815.499939,409.314667,53.092480,721.234436,456.584625,45.603546,845.190735,500.833435,96.382683,,,,1040.158325,788.673767,427.887085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,943.617126,708.744934,270.288147,814.960754,409.173370,56.650402,720.844849,456.408813,48.024342,844.717712,500.926239,98.786217,,,,1040.934448,789.265930,427.505432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,944.300964,710.375366,270.390869,814.315918,408.811340,60.675632,720.347900,456.151733,51.829140,844.117249,500.925507,102.004219,,,,1041.580566,789.708069,427.816895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,944.822021,711.496399,270.393494,813.547852,408.494720,64.530144,719.525452,455.619537,55.756165,843.536255,501.132935,105.086502,,,,1042.334473,790.253357,428.306549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,945.474304,713.489807,270.825531,812.855774,408.045746,68.610733,718.760010,455.110931,59.627892,842.543030,501.328857,108.441574,,,,1043.306519,790.848999,428.732483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,946.333923,714.880127,271.218964,812.268127,407.813995,72.694695,718.002197,454.708527,63.569572,841.607544,501.386871,111.805603,,,,1044.075928,791.420898,428.719910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,947.225220,716.390686,271.589203,811.907532,407.640106,77.213181,717.443298,454.493011,67.425659,841.078064,501.834656,115.323128,,,,1044.885010,791.968811,428.826447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,948.286682,717.920410,271.788452,811.436096,407.673340,81.815407,716.839172,454.096924,71.792625,840.791809,502.028259,118.772186,,,,1045.855591,792.418640,428.821930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,949.088562,719.564392,272.044464,810.755920,407.549042,86.342957,716.265747,453.591949,76.188881,840.163330,502.401764,122.071960,,,,1046.958740,792.968140,428.808777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,949.567810,721.602295,272.737488,810.286743,407.369904,91.167763,715.497314,453.359467,80.828903,839.507874,502.897797,126.337364,,,,1047.549072,794.058105,428.532501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,950.789978,723.471802,272.717499,809.899109,407.422913,96.182663,714.779846,453.227478,85.575340,838.746155,503.394714,130.451950,,,,1048.420776,794.752075,428.884735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,952.356140,725.132935,272.578613,809.580139,407.629913,101.353989,714.361328,452.942505,90.387421,838.131714,504.102173,134.550293,,,,1049.248901,795.298889,429.267761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,953.690491,726.993958,272.310699,809.281433,407.817444,106.515656,714.093140,452.466034,95.522758,837.465820,504.569000,138.977325,,,,1050.119873,795.936523,429.472626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,954.789185,728.805664,273.172333,809.025085,408.157867,111.876480,713.819214,451.984772,101.050156,836.954529,505.411591,143.106125,,,,1051.297729,796.525085,428.926544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,955.283630,731.347534,273.412231,808.660828,408.518463,117.312180,713.301880,451.605774,106.748276,836.537537,506.357605,147.031250,,,,1052.208008,797.080811,428.819580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,956.747131,733.454834,272.901428,808.532898,408.911530,123.655182,712.948914,451.279327,112.743782,835.790039,507.592590,151.423813,,,,1052.908203,797.712402,429.096069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,958.522095,735.638794,272.889496,808.446472,409.492645,129.940994,712.618042,451.053680,118.981041,835.156250,508.950531,156.392593,,,,1053.603027,798.290222,429.167542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,959.871826,737.899475,273.097687,808.322510,410.188263,136.412628,712.543091,450.744507,125.013588,834.645081,510.452789,161.498413,,,,1054.983154,799.102234,428.927277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,960.789124,740.217285,273.296844,808.287415,411.258698,143.177322,712.430481,450.433960,131.128952,833.998108,512.162903,166.024887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,962.598816,742.848328,272.953949,808.960754,412.691559,149.291809,712.350159,450.546204,137.655807,833.271973,514.059387,170.752411,,,,,,,1057.615112,800.511230,427.965179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
