Grasp95
Date:,2025/04/22
Time:,17:33:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,921.467041,816.819702,66.934021,841.358459,775.211914,34.789452,1068.560425,885.593811,234.312515,1137.281494,875.812439,359.200256,788.877136,839.105469,33.809528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,921.481873,816.837585,66.889648,841.381775,775.186340,34.876835,1068.550537,885.687195,234.276321,1137.194702,875.876282,359.139923,788.841980,839.113525,33.836037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,921.487610,816.840393,66.880562,841.320923,775.131653,34.760063,1068.554443,885.709900,234.316666,1137.143066,875.893066,359.189148,788.831726,839.114624,33.846828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,921.475952,816.823547,66.920807,841.302979,775.176514,34.794968,1068.487183,885.698547,234.421585,1137.118530,875.984558,359.215149,788.868225,839.017944,33.847061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,921.473572,816.832764,66.903824,841.302063,775.245422,34.731598,1068.345703,885.785645,234.409073,1137.117554,875.996216,359.215393,788.853821,839.091187,33.830658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,921.480408,816.838074,66.889893,841.270996,775.208435,34.795895,1068.275879,885.790039,234.422119,1137.140747,876.020935,359.241943,788.843933,839.119324,33.831135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,921.476257,816.846558,66.913231,841.275330,775.188232,34.851238,1068.300415,885.801819,234.415329,1137.125854,876.094116,359.229675,788.874634,839.152893,34.034714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,921.467896,816.823914,66.933586,841.292236,775.232727,34.885738,1068.274658,885.886230,234.486099,1137.049194,876.130310,359.306610,788.837830,839.023743,33.893509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,921.473328,816.832214,66.903015,841.308716,775.211853,34.842556,1068.285767,885.916748,234.458160,1136.958496,876.210999,359.246735,788.844421,839.088074,33.819553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,921.475159,816.846252,66.913284,841.352905,775.179565,34.878414,1068.674805,885.738586,234.076279,1136.999634,876.211670,359.283417,788.904846,839.018555,33.813442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
