Grasp41
Date:,2025/04/16
Time:,14:27:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,798.124573,794.762573,59.367374,934.886902,805.528015,82.912682,883.175293,735.494019,50.962608,1231.787354,865.011414,413.306946,,,,1118.540039,903.377625,266.823822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,798.366882,794.291626,61.221863,935.791931,805.066711,83.225098,883.302490,734.260681,53.297462,1231.850830,865.071167,413.090942,,,,1119.562866,903.733398,266.398041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,798.476013,793.806213,63.825878,936.270264,804.489136,83.830200,884.918701,732.289856,55.967701,1231.934448,865.187317,413.022736,,,,1120.785645,904.110046,266.040497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,798.729248,793.201599,66.487900,936.664612,803.942688,84.766129,885.883606,730.460693,57.762501,1232.017578,865.257996,412.839813,,,,1121.443237,904.404602,266.002472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,799.096191,792.684021,69.003197,936.505493,802.891357,87.070015,886.666016,729.606995,60.058445,1232.016602,865.327942,412.792725,,,,1121.828613,904.540710,266.082977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,799.195801,792.071411,71.811043,936.817810,801.744751,87.938034,887.744812,727.417053,62.991093,1232.096924,865.336121,412.750763,,,,1122.186401,904.683289,265.940125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,799.324829,791.381165,73.904358,937.502319,800.863342,89.227196,887.902832,726.119507,64.831902,1232.203979,865.429199,412.709198,,,,1122.936401,904.944092,265.529785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,799.587097,790.541504,76.628258,938.188599,800.034119,90.650826,889.087402,724.436890,67.552444,1232.272461,865.442871,412.629669,,,,1123.724487,905.065979,264.920105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,799.791382,789.576599,79.071220,938.140808,798.907104,91.883438,890.137817,722.305420,70.453804,1232.427368,865.433960,412.514709,,,,1124.511719,905.010437,264.605560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,799.331177,788.615906,81.831963,938.151184,797.754517,92.926987,889.682434,721.258545,72.761314,1232.602051,865.535583,412.394623,,,,1124.927734,905.135803,264.249969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,799.519958,787.427917,84.173180,938.516541,796.520203,94.898506,890.006531,719.411865,75.892189,1232.809570,865.468811,412.216217,,,,1125.362915,905.251526,263.986572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,800.064331,786.588989,86.818779,938.239441,795.476074,96.610199,891.437378,717.098999,78.391281,1232.977539,865.453003,412.068542,,,,1126.109253,905.326477,263.457184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,799.890991,785.508667,89.003853,938.305420,794.119934,97.994789,892.347412,715.153381,80.983963,1233.209106,865.445129,411.902039,,,,1126.984375,905.308472,263.082214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,799.930298,784.411682,91.153397,938.592468,792.785645,99.458878,891.714172,714.422791,83.335930,1233.394897,865.450806,411.650421,,,,1127.661499,905.110962,262.533234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,799.693359,783.185669,93.467453,938.309143,791.448730,101.167953,892.592224,712.130676,86.317619,1233.604370,865.408447,411.311890,,,,1127.926147,905.058838,262.164398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,798.950989,782.742859,96.337776,938.659302,790.230835,102.277740,893.165405,709.772034,89.560654,1233.798828,865.415405,411.035339,,,,1128.098267,904.968445,261.908295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,799.355530,781.356873,98.356834,938.862610,788.702881,103.496933,893.143616,708.624207,91.572357,1234.021851,865.356506,410.836853,,,,1128.586426,904.858948,261.584076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,798.986267,780.398254,100.018143,938.821289,787.509338,105.048615,892.522949,707.423218,93.750984,1234.142334,865.293762,410.491638,,,,1129.161499,904.743164,260.995148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,798.931213,779.399414,102.369759,937.931763,786.025757,106.643456,893.353821,705.252380,96.095360,1233.944214,865.278137,410.045380,,,,1129.835815,904.437439,260.437225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,799.249756,778.039917,104.166267,937.340088,784.470642,108.015244,894.054993,702.906677,99.163254,1233.881714,865.254639,409.854858,,,,1130.326416,903.984802,260.065643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,798.977600,776.588623,106.177650,936.966370,783.296936,109.604668,894.273682,700.666260,102.099358,1233.967041,865.155518,409.685150,,,,1130.561890,903.652832,259.746399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
