Grasp82
Date:,2025/04/22
Time:,16:54:08
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,909.008423,558.884155,68.772934,779.017273,518.768127,31.107224,854.421875,485.995361,31.426115,1034.134399,735.028931,441.531281,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,908.989258,558.906433,68.848724,779.013550,518.767883,31.112957,854.406616,486.101929,31.353951,1034.132202,734.997803,441.355408,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,908.957336,558.892883,68.873123,779.034546,518.857178,31.084608,854.355469,486.089386,31.402172,1034.408447,734.841980,441.313080,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,908.932678,558.963867,68.914215,779.134277,518.873230,31.092552,854.389404,486.088837,31.375731,1034.615845,734.909363,441.210663,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,908.900757,558.999268,68.930084,779.169373,518.873474,31.078636,854.381409,486.074371,31.367655,1034.851563,734.852966,441.134521,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,908.844360,559.002319,69.032028,779.184937,518.862183,31.113657,854.340454,486.103668,31.409458,1035.028931,734.822693,441.104919,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,908.735352,558.994141,69.213676,779.173279,518.849182,31.200882,854.389343,486.100433,31.372139,1035.508423,734.670349,440.903381,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,908.808533,559.137207,69.288269,779.220764,518.841370,31.197182,854.359741,486.161865,31.461468,1035.829712,734.667908,440.712372,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,908.637878,559.264893,69.637489,779.346436,518.838318,31.164200,854.347656,486.119568,31.510620,1035.967041,734.721558,440.702057,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,908.406677,559.468140,70.154709,779.411072,518.820190,31.197529,854.340576,486.172729,31.520866,1036.292236,734.806519,440.709656,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,908.212402,559.499634,70.578575,779.518555,518.816589,31.303154,854.364075,486.223785,31.491810,1036.583984,734.846863,440.667114,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,908.180176,559.589172,70.825806,779.603577,518.846191,31.571907,854.383240,486.323273,31.513382,1036.963501,735.048157,440.489441,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,908.184692,559.793030,71.145859,779.733887,518.749146,31.942596,854.405518,486.450500,31.526293,1037.198120,735.154724,440.638580,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,908.000671,560.052063,71.900513,780.020203,518.655823,32.187290,853.913208,486.295502,32.090477,1037.485229,735.353088,440.576569,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,907.902710,560.059509,72.762421,780.461609,518.708496,32.328854,854.317749,486.653961,31.915176,1037.919556,735.490112,440.542023,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,907.835083,560.147644,73.740852,780.845398,518.663269,32.398159,854.587708,487.266571,31.846247,1038.345703,735.675781,440.614380,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,908.064209,560.186951,74.246635,781.296265,518.755493,32.457714,854.952637,487.667542,32.009598,1038.719482,735.921326,440.684723,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,908.092285,560.723328,74.892937,781.558105,518.974731,32.765282,855.141235,487.755676,32.264091,1039.177612,736.161987,440.679138,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,908.263306,561.333740,75.624367,781.865662,519.252319,32.896473,855.687744,488.057648,32.495026,1039.641846,736.440552,440.990417,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,908.167847,561.889038,76.546028,782.262268,519.768005,33.200008,856.097412,488.411011,32.468212,1040.316406,736.596863,440.640076,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,908.124146,562.491333,77.725533,782.895752,520.331787,33.335186,856.634766,488.799011,32.129936,1041.317139,736.947937,440.385162,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,908.389404,562.736694,79.109970,783.524719,520.815002,33.998333,857.183411,489.219391,32.592358,1042.051270,737.462402,440.150452,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,908.972717,563.240967,80.318611,783.998047,521.439392,35.047813,857.715393,489.426575,32.835514,1042.688232,737.906372,440.004028,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,909.310486,563.691406,81.304085,784.260193,521.853699,37.159943,858.176025,489.661835,33.390682,1043.792358,738.113098,439.972351,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,909.654724,564.579956,82.627838,785.296265,521.774414,39.427113,858.745605,489.924133,34.152115,1044.247192,738.623840,440.299835,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,910.341858,565.554504,84.049202,785.872375,522.051941,40.997307,859.512817,490.424561,35.668350,1045.143066,739.360718,440.619507,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,911.204773,566.366577,85.188622,786.808594,522.488220,42.513775,860.116699,491.190857,37.728714,1045.791626,740.131836,440.685577,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,912.141968,566.968506,86.816154,787.830322,523.222900,43.929855,861.111145,491.932587,39.630062,1046.656494,740.601807,440.876862,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,913.182373,567.959656,88.704933,789.075012,523.734192,45.722588,861.881348,492.721252,42.353767,1047.418335,741.288086,440.966187,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,914.202087,569.111145,89.715744,790.230347,524.080444,49.025627,862.958374,493.074188,44.410141,1048.561768,742.245422,440.700592,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,915.575256,570.194885,91.619797,791.964661,524.208435,50.537552,863.932678,493.510803,47.218582,1049.775024,743.036743,440.674927,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,916.861938,571.355286,93.734726,793.828186,524.663391,51.703903,865.404907,494.255341,49.762257,1050.740479,743.661316,441.102478,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,918.032043,572.583557,95.128372,795.347412,524.772827,54.410862,867.182739,495.220154,52.261719,1051.921509,744.542053,441.597260,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,919.580872,574.059692,97.436440,797.486572,524.671631,56.360760,868.881531,495.835968,54.887814,1053.684937,745.280945,441.723419,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,921.137390,575.356079,99.125168,799.684631,524.841431,57.758747,870.667175,496.387299,57.750793,1054.647583,746.393616,441.574585,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,922.902100,576.926941,100.631218,802.162109,525.000977,60.083385,872.737488,497.108246,60.379463,1054.940918,747.602173,442.168213,,,,,,,,,,,,,,,,,,,,,,,,,,,
