Grasp116
Date:,2025/04/24
Time:,14:05:32
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,885.047119,804.299011,124.473106,876.247070,706.718506,113.397697,768.841370,728.266418,137.256989,952.993591,1035.735352,460.188812,927.293640,1044.025024,248.602844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,884.730591,802.742188,127.946106,876.360474,704.558411,119.118080,770.027466,725.279846,143.970169,953.068481,1035.840942,460.177277,926.945923,1043.544189,248.965622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,884.913513,800.712402,131.894684,876.708252,702.263672,124.239578,770.918579,722.574585,150.488220,952.989807,1035.887695,460.376709,926.476501,1042.838989,249.655457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,884.845276,798.719177,135.901917,877.022339,700.150818,129.919968,772.004456,719.415222,157.083511,953.050171,1035.970093,460.492615,925.867493,1042.262573,249.985962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,884.757446,796.751465,139.889618,877.159546,697.353516,137.009888,773.154663,716.223816,163.307709,953.164307,1036.089966,460.544800,925.423828,1041.746338,250.141586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,884.465027,794.605591,144.069489,878.201965,695.142761,141.433014,774.395569,713.005371,169.349533,953.330017,1036.113159,460.499847,925.013428,1041.443115,250.180984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,884.120117,792.579407,148.189987,878.733154,692.685364,146.008682,775.362366,710.000244,175.101700,953.477600,1036.203369,460.510193,924.599915,1041.149536,250.647675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,884.168335,790.422974,152.258514,878.886414,691.012756,150.764465,776.680664,706.600830,180.553497,953.442627,1036.219604,460.578033,923.994690,1040.439331,250.765198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,883.543396,788.100525,155.762222,879.187866,688.902100,155.089432,777.745911,703.157959,185.592484,953.370850,1036.239014,460.589752,923.142639,1039.438721,250.834824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,883.123840,785.825806,159.968948,879.832336,686.439514,160.041504,778.536072,699.401001,190.135132,953.420471,1036.104004,460.745880,922.250793,1038.251587,251.044479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,882.631592,783.465332,163.853210,880.319946,683.892517,165.050201,778.994202,695.629578,194.391327,953.370972,1035.952881,460.725342,921.874634,1037.435425,250.908279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,882.118164,781.197815,167.829636,880.894775,680.677856,169.236389,780.157227,691.899963,198.522781,953.294800,1035.851196,460.803528,920.966675,1036.731934,251.133499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,881.697083,778.460510,171.378006,,,,780.706421,688.235962,201.850510,953.146118,1035.591187,460.901123,919.656067,1035.583618,251.885025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,881.367554,776.085083,175.506973,,,,781.233765,684.629456,204.706711,952.934204,1035.365845,460.879578,918.600098,1034.310547,252.361160,881.783752,676.228882,174.306808,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,880.685486,773.431763,179.375244,,,,781.822021,680.733704,207.117874,952.728271,1035.101807,460.883514,917.592163,1033.050415,252.671768,881.024780,673.294556,180.519272,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,880.021790,771.201111,182.828125,,,,783.040710,676.491333,209.054321,952.571716,1034.764526,460.857483,916.144165,1031.999268,253.068344,880.571167,670.740479,184.299149,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,879.314514,768.343018,185.933319,,,,783.965332,672.129211,210.254868,952.541504,1034.513062,460.848663,915.335999,1030.775879,253.350037,881.090088,668.552185,185.527130,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,878.546692,765.895752,189.398300,,,,784.679077,667.933228,210.978149,952.553101,1034.178589,460.849731,914.324890,1029.081909,253.979813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,878.092163,763.264771,192.404938,,,,785.545410,663.563904,211.234344,952.477661,1033.911499,460.813141,913.012695,1028.020508,254.112289,,,,881.653687,664.042175,189.787537,,,,,,,,,,,,,,,,,,,,,,,,
20,877.360596,760.442261,194.917908,,,,786.535217,659.133484,211.899994,952.477417,1033.538330,460.879608,911.945923,1026.818970,253.977646,,,,882.416748,661.740051,191.347672,,,,,,,,,,,,,,,,,,,,,,,,
21,876.578552,757.967651,197.894836,,,,787.633118,654.888428,212.381516,,,,910.046021,1025.052002,254.885620,,,,883.177490,659.196228,193.292877,,,,,,,,,,,,,,,,,,,,,,,,
22,875.695801,755.460205,200.633240,,,,788.338013,651.056702,212.112930,,,,908.409973,1023.677917,255.733017,,,,884.107971,656.755981,194.453537,951.399597,1032.125000,461.565796,,,,,,,,,,,,,,,,,,,,,
23,874.812744,752.843445,202.917526,,,,788.943848,647.435791,211.948303,,,,906.514099,1021.998291,256.089905,,,,884.328857,654.674622,196.320251,950.597168,1031.546631,461.976074,,,,,,,,,,,,,,,,,,,,,
24,874.314758,750.422668,204.955017,,,,789.675110,643.802490,212.245392,,,,905.487366,1020.633911,256.381500,,,,884.407166,652.199646,196.976715,950.147217,1030.898560,462.328552,,,,,,,,,,,,,,,,,,,,,
25,873.775940,747.872131,206.759064,,,,790.082214,640.137878,212.959274,,,,903.912842,1018.927429,256.920990,,,,884.736145,649.928345,197.152100,949.861267,1030.453003,462.574371,,,,,,,,,,,,,,,,,,,,,
26,872.990845,745.160522,208.852005,,,,789.893555,636.959534,213.065765,,,,903.078491,1017.146057,257.241028,,,,885.639648,647.556519,197.151993,949.737976,1029.865845,462.561340,,,,,,,,,,,,,,,,,,,,,
27,872.508362,742.409729,210.199265,,,,789.921143,633.747742,213.372574,,,,901.404724,1015.701233,257.769745,,,,886.167603,645.046936,197.011414,949.576111,1029.244019,462.810425,,,,,,,,,,,,,,,,,,,,,
28,871.608704,739.869263,211.756271,,,,789.894897,630.676697,213.573807,,,,899.933960,1013.861145,258.192688,,,,886.466675,642.913635,197.092621,949.171997,1028.265381,463.041016,,,,,,,,,,,,,,,,,,,,,
29,870.916992,737.652588,212.691513,,,,789.893250,627.465088,212.854141,,,,897.891968,1012.258301,258.750397,,,,886.135742,640.785400,196.706467,948.407349,1027.315063,463.467163,,,,,,,,,,,,,,,,,,,,,
30,870.294922,735.093628,213.882187,,,,789.903931,624.420166,211.725647,,,,896.516113,1011.003357,259.248932,,,,885.992310,638.934326,195.910095,947.471313,1026.732178,463.834930,,,,,,,,,,,,,,,,,,,,,
31,869.732544,732.676270,214.777496,,,,789.926453,621.482300,210.777298,,,,894.694702,1009.163147,259.673340,,,,885.756958,636.822693,194.580399,947.050598,1026.269409,464.043365,,,,,,,,,,,,,,,,,,,,,
32,869.714600,729.817200,215.398300,,,,789.683594,618.467651,209.237381,,,,893.240295,1007.860901,260.147156,,,,886.185425,635.291931,192.557190,946.749939,1025.823975,464.098846,,,,,,,,,,,,,,,,,,,,,
33,869.246277,727.449829,215.818665,,,,789.565857,615.711609,206.895477,,,,891.453918,1006.244873,260.836823,,,,886.179077,633.317200,190.933243,946.071533,1025.200928,464.201477,,,,,,,,,,,,,,,,,,,,,
34,868.505615,725.034058,216.364990,,,,789.533081,613.223389,205.018463,,,,890.203796,1004.605713,261.201385,,,,886.307678,631.482361,189.589523,945.194824,1024.452393,464.273682,,,,,,,,,,,,,,,,,,,,,
35,868.047852,722.696228,216.771637,,,,789.600342,610.580444,202.368988,,,,888.712891,1003.261047,261.725708,,,,886.567017,630.617798,186.569336,944.263550,1023.780396,464.598572,,,,,,,,,,,,,,,,,,,,,
36,867.313660,720.655579,216.966248,,,,789.372986,608.052673,199.488419,,,,887.232300,1001.831848,262.116028,,,,886.518066,628.916199,184.529617,943.660706,1023.130127,465.079193,,,,,,,,,,,,,,,,,,,,,
37,866.812378,718.252747,216.417938,,,,789.251831,605.907715,196.471466,,,,885.187317,1000.380371,262.461060,,,,886.988953,627.896545,181.517715,943.066284,1022.506287,465.445007,,,,,,,,,,,,,,,,,,,,,
38,866.598816,716.182251,215.556839,,,,789.151489,603.645935,193.662888,,,,883.900146,999.120239,262.797943,,,,887.124023,627.550537,178.449600,942.000793,1021.835083,465.719055,,,,,,,,,,,,,,,,,,,,,
39,866.218933,714.378906,215.450104,,,,789.065674,601.914368,190.589584,,,,882.718750,997.781921,263.050110,,,,887.265198,626.573120,174.926010,941.160217,1021.218567,466.182007,,,,,,,,,,,,,,,,,,,,,
40,865.556763,712.322815,215.299393,,,,788.979248,600.181091,187.136581,,,,881.188965,996.222717,263.630646,,,,887.806274,625.836853,171.867813,940.534302,1020.579224,466.347504,,,,,,,,,,,,,,,,,,,,,
41,864.866333,710.360962,214.533875,,,,788.778442,598.500000,183.110977,,,,879.752625,995.029724,264.463959,,,,887.578979,625.333801,168.875000,940.040466,1020.037598,466.443542,,,,,,,,,,,,,,,,,,,,,
42,864.532532,708.469910,213.283905,,,,788.200562,597.156189,179.859848,,,,878.168396,993.632507,265.013733,,,,887.494934,624.791077,164.864639,939.596252,1019.402588,466.559113,,,,,,,,,,,,,,,,,,,,,
43,864.306213,707.167969,212.377502,,,,788.227661,596.291870,175.669434,,,,876.910095,992.457275,265.223694,,,,886.845581,624.771179,160.715164,938.946594,1018.822327,466.799683,,,,,,,,,,,,,,,,,,,,,
44,863.743530,705.496521,211.496170,,,,788.165710,595.302063,171.347382,,,,875.419128,991.536621,265.729797,,,,885.858459,624.957825,156.898773,938.315735,1018.211548,467.132813,,,,,,,,,,,,,,,,,,,,,
45,863.607666,703.814514,210.051224,,,,788.057373,594.576416,166.847336,,,,874.053711,990.351257,265.827179,,,,885.257874,625.473694,152.067917,937.819397,1017.734314,467.269135,,,,,,,,,,,,,,,,,,,,,
46,862.945740,702.451355,208.862961,,,,787.880371,594.338440,162.498428,,,,872.730835,989.210754,265.985748,,,,884.721863,625.937012,147.961899,937.601685,1017.209229,467.442017,,,,,,,,,,,,,,,,,,,,,
47,862.471252,700.936768,206.978668,,,,787.966125,594.183472,158.262665,,,,871.268188,988.082886,266.559692,,,,884.607300,626.213867,144.340439,937.572449,1016.706543,467.397980,,,,,,,,,,,,,,,,,,,,,
48,862.270447,700.352478,204.572739,,,,787.929993,594.065674,153.636871,,,,870.411194,987.177063,267.250641,,,,884.105530,626.734009,139.836517,937.262268,1016.153381,467.436646,,,,,,,,,,,,,,,,,,,,,
49,862.083862,699.474548,202.692291,,,,787.850220,594.199280,148.840652,,,,869.293091,986.014221,267.584503,,,,883.028503,627.398132,135.223206,936.744324,1015.611389,467.678955,,,,,,,,,,,,,,,,,,,,,
50,861.924622,698.407898,201.019592,,,,787.885498,594.522522,143.690323,,,,867.676575,984.891663,267.781342,,,,881.916321,628.785339,130.565445,936.142700,1015.027527,467.823181,,,,,,,,,,,,,,,,,,,,,
51,861.529114,697.380066,198.657959,,,,788.030579,595.176270,138.593903,,,,866.646179,984.037048,267.966156,,,,881.477295,630.286804,125.806625,935.297607,1014.756409,468.246521,,,,,,,,,,,,,,,,,,,,,
52,861.478760,696.884766,196.455826,,,,788.109680,596.220581,133.441925,,,,866.304565,983.343140,267.953918,,,,880.597351,631.065002,121.318642,934.891052,1014.365601,468.742157,,,,,,,,,,,,,,,,,,,,,
53,861.215210,696.219055,193.842789,,,,788.389038,597.350830,128.281570,,,,865.442139,982.349548,267.913910,,,,879.361816,633.040833,116.703865,934.538330,1013.995178,468.979919,,,,,,,,,,,,,,,,,,,,,
