Grasp119
Date:,2025/04/24
Time:,14:05:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,880.861389,820.251221,98.977814,896.622925,1050.099609,252.699982,775.288696,731.791382,109.351570,925.202759,1027.397217,461.982239,889.974487,728.649353,60.699348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,880.699951,818.513306,101.418800,896.576843,1049.769653,252.669815,775.020752,729.697937,113.916771,925.309814,1027.681763,461.678284,888.959045,726.190674,64.101768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,880.007507,816.739990,104.296448,896.843323,1049.223755,252.506927,774.699890,727.898193,117.281792,925.435913,1027.817139,461.620911,888.190430,724.178101,67.186058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,879.331360,814.716736,106.953194,896.469116,1049.056396,252.546173,774.649597,726.113281,120.695259,925.569946,1027.938477,461.615204,887.873413,721.976135,70.334122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,878.994690,812.921875,109.505951,896.001648,1048.626343,252.734390,774.360962,724.523987,124.330925,925.662720,1027.971436,461.614166,886.927551,719.922302,73.342133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,878.342041,811.005737,112.400177,895.662231,1048.087402,252.801773,773.677612,722.371338,127.803993,925.714050,1028.057617,461.554993,886.077026,717.615845,76.414490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,876.972961,809.196716,115.359451,895.372070,1047.615234,252.803757,773.296997,720.407043,131.984512,925.727844,1028.030396,461.755493,884.575195,715.797607,79.937698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,876.374146,807.495850,117.918945,894.770813,1047.082642,253.285767,772.933105,717.831238,135.336212,925.798096,1028.032959,461.747681,883.822876,713.151367,83.261795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,875.819092,805.165894,120.491219,894.339844,1046.605591,253.534256,772.300049,715.752686,139.433365,925.797913,1028.049316,461.727631,882.758240,710.997681,86.672867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,874.924622,803.303528,123.406166,893.895996,1045.890869,253.780518,772.213928,713.040222,143.027939,925.797058,1028.086792,461.507172,882.071777,708.475586,90.054726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
