Grasp29
Date:,2025/04/16
Time:,10:31:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,859.546204,435.274811,30.182228,910.783386,515.054871,56.313572,1018.836487,669.118347,235.792404,1052.072021,650.538757,384.582031,787.523071,459.021088,29.078121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,859.505981,435.376190,30.143406,910.564636,515.067444,56.435406,1019.013306,669.053406,235.877335,1052.163818,650.474670,384.655945,787.497009,459.045319,29.186440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,859.477356,435.377167,30.112335,910.396423,515.156860,56.481178,1018.889282,669.143799,235.881973,1052.244873,650.468262,384.605682,787.499084,459.014954,29.116425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,859.297241,435.362610,30.123888,910.179504,515.201477,56.613525,1018.822327,669.221741,235.935440,1052.300659,650.473938,384.591522,787.451111,458.932617,29.121693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,859.168152,435.425232,30.130482,910.017761,515.218933,56.918224,1018.680786,669.405823,236.037399,1052.349243,650.460022,384.601898,787.373962,458.910614,29.194664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,859.050049,435.430664,30.126410,909.736450,515.126648,57.193340,1018.666443,669.523743,236.074554,1052.354370,650.456360,384.604065,787.249207,458.908203,29.262836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,858.824829,435.501892,30.125753,909.468140,514.979126,58.002392,1018.662476,669.698792,236.152222,1052.484009,650.448059,384.629639,787.204102,458.796997,29.380892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,858.585754,435.453979,30.190067,908.970642,514.914978,58.689770,1018.610657,669.919312,236.223083,1052.708252,650.365967,384.621460,787.028198,458.763885,29.570271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,858.282471,435.341980,30.228136,908.395386,514.909424,59.360565,1018.665039,670.156738,236.271683,1052.889160,650.473572,384.645630,786.713806,458.784149,29.585917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,858.012390,435.274414,30.210129,908.160400,515.109070,59.748898,1018.681702,670.547791,236.268875,1053.086426,650.549927,384.610260,786.642578,458.754547,29.593391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
