Grasp122
Date:,2025/04/24
Time:,13:13:48
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,890.434326,515.186157,66.966728,826.341248,447.762878,27.940886,758.020081,497.736725,28.732157,,,,1039.887207,665.458252,236.900970,1150.498901,695.815247,436.701385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,890.251465,515.698547,67.636986,826.819885,447.486694,28.571497,758.519897,497.689423,28.659542,,,,1041.429077,666.509888,235.905380,1151.126953,696.217102,436.240967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,890.049866,516.344543,68.305824,826.839172,447.985748,28.406168,758.873230,497.738831,28.949448,,,,1042.382080,668.186584,235.021378,1151.865967,696.560059,435.605194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,890.098450,516.845703,69.641426,827.097656,448.563538,28.345387,759.434998,497.729736,29.358301,,,,1044.162598,669.794495,233.586166,1152.836304,696.797791,434.945984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,890.273193,517.634155,71.239937,827.530762,449.055054,28.298861,760.470276,497.642181,29.581692,,,,1045.258423,671.864563,232.859207,1153.537109,697.081543,434.519897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,890.645386,518.390930,72.337700,827.990295,449.456818,28.283443,761.444519,497.570709,29.672512,,,,1046.614502,674.006348,232.041260,1154.231812,697.432251,434.172302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,890.889709,519.052124,73.179726,828.821533,450.039551,28.274267,762.384216,497.434906,29.658913,,,,1047.703735,676.159241,231.190201,1154.967651,697.743652,433.802460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,891.286804,520.249939,74.747025,829.966370,450.652008,28.414701,763.925537,496.976196,29.642155,,,,1049.748169,678.718567,229.879044,1155.977173,698.231079,433.060730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,892.389771,521.504456,76.060295,830.989624,451.081635,29.079571,765.571045,496.625092,29.921446,,,,1051.729004,680.969421,228.787537,1156.767822,698.945190,432.249146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,893.198669,522.499084,77.882683,832.251038,451.388031,30.084795,767.481506,496.113922,29.789986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,894.201599,523.757263,79.703636,834.116028,451.687531,30.775940,769.712769,495.408966,30.112852,,,,,,,,,,1056.789063,686.101868,225.664673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,895.177551,525.379089,81.372375,836.098999,452.285736,32.326050,772.545654,494.513733,30.142607,,,,,,,,,,1058.070068,688.779114,225.067719,1159.449097,701.105469,430.615936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,896.735962,526.731384,83.123116,838.223572,452.784119,33.898781,775.230103,493.631287,30.360409,,,,,,,,,,1059.835938,691.704834,224.931335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,898.197510,528.439575,84.820221,840.228455,453.454254,36.484116,778.367371,492.628967,30.609270,,,,,,,,,,1062.605225,694.769836,223.762192,,,,1160.693970,703.625916,430.292999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,900.025879,530.036743,86.832031,842.250366,454.355652,39.535431,781.932068,491.654144,30.955046,,,,,,,,,,1065.058594,697.634094,222.688324,,,,1161.464355,704.826782,430.551575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,901.621765,532.201355,88.355431,844.547180,455.467346,42.512787,785.631775,490.780548,31.453524,,,,,,,,,,1067.390015,700.247009,221.878647,,,,1162.447144,705.922668,430.703613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,903.506042,534.254761,89.838768,846.531494,456.057587,46.049110,789.687622,490.026276,31.816914,,,,,,,,,,1069.598511,703.507813,221.249542,,,,1163.521606,706.519653,430.370941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,905.632263,536.342590,91.872635,849.140320,457.083771,49.560760,794.319885,489.317200,32.569714,,,,,,,,,,1072.884521,706.476135,220.545258,,,,1164.654907,708.094177,430.252625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,907.806458,538.681519,93.717430,851.561951,458.278595,53.056774,798.699585,488.841949,33.909393,,,,,,,,,,,,,,,,1166.065918,708.797913,429.749023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,909.786926,541.133667,95.897278,854.787659,459.969299,55.457691,803.276733,488.124847,35.190178,,,,,,,,,,,,,,,,1166.935059,709.647156,429.826080,1079.234497,712.148804,219.032410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,912.470093,543.844116,97.537148,857.626892,461.998871,58.428814,808.009827,487.828491,36.697311,,,,,,,,,,,,,,,,1168.373413,710.871948,429.076965,1082.027100,715.398132,218.063293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,915.285095,546.790710,98.768837,860.289795,463.394379,62.136986,812.841492,487.569519,38.123501,,,,,,,,,,,,,,,,1169.975952,711.710693,428.810608,1084.827026,718.504272,217.960434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,917.537781,549.403137,100.433189,862.813843,465.126862,65.913490,817.428162,487.523560,40.537861,,,,,,,,,,,,,,,,1171.347656,712.440247,428.797424,1088.176880,721.395813,217.140686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,920.526794,551.993896,101.904312,865.881531,467.230103,68.757072,821.947388,487.833405,43.181305,,,,,,,,,,,,,,,,1172.095215,713.280396,428.680878,1091.495483,724.454163,216.916733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,922.958984,555.077271,103.638718,869.252991,469.949799,70.522156,826.470093,488.384552,45.725838,,,,,,,,,,,,,,,,1173.357666,714.175232,428.645782,1094.965332,727.287354,216.369293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,925.834473,558.395142,105.246735,872.457214,472.852356,73.109856,830.925903,489.161377,47.779900,,,,,,,,,,,,,,,,1174.783447,715.052307,428.469940,1098.367188,730.385254,216.005447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,928.512756,561.643982,106.967438,875.851074,475.249207,75.738953,835.436462,490.177460,50.001980,,,,,,,,,,,,,,,,1175.962646,716.046387,428.170044,1102.255371,733.214966,215.727646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,931.749878,564.946350,108.182320,878.711792,477.380066,79.177963,840.390808,491.616211,52.304188,,,,,,,,,,,,,,,,1176.992798,716.751221,428.483856,1105.545166,736.465576,215.179825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,934.611389,568.422607,109.091217,881.850647,480.283234,81.559250,845.341492,493.030975,54.866444,,,,,,,,,,,,,,,,1178.456543,717.263184,428.532654,1109.182983,739.134094,214.855225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,937.923035,571.913940,110.009995,885.087463,483.227997,83.783257,850.162354,495.038483,56.988125,,,,,,,,,,,,,,,,1179.716553,718.115417,428.500732,1113.635864,741.635986,214.206650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,940.703369,575.363647,111.327469,887.817017,486.086151,86.857132,854.474365,497.354065,58.632595,,,,,,,,,,,,,,,,1180.528076,719.211853,428.379608,1117.189087,744.566345,214.108353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,943.380005,578.960388,112.445511,890.560059,489.194122,88.857422,858.833862,499.625519,60.502468,,,,,,,,,,,,,,,,1181.590698,720.151428,428.539551,1120.432739,747.422485,214.290024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,945.979858,582.785461,113.762833,893.111755,492.912659,90.610313,863.157349,502.318359,62.431324,,,,,,,,,,,,,,,,1182.401855,720.957336,428.667572,1124.145386,749.740967,214.226669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,949.160583,586.209412,114.744896,895.201843,496.667908,92.641060,867.336304,505.497498,63.804466,,,,,,,,,,,,,,,,1183.897705,721.877808,428.453766,1127.743896,752.609924,214.489777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,951.674011,590.119995,115.411179,897.029785,500.617371,94.248962,871.288269,509.202271,64.809319,,,,,,,,,,,,,,,,1185.518066,722.905273,428.967896,1131.762085,754.634583,214.197937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,954.491821,593.853882,116.470398,898.623291,504.923218,96.142738,875.225342,513.197205,65.894577,,,,,,,,,,,,,,,,1186.705811,723.631409,428.990448,1135.065063,757.014160,214.558655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,957.089905,597.476624,116.749626,900.138000,509.176544,97.211639,879.027405,517.490112,66.147896,,,,,,,,,,,,,,,,1187.696533,724.448547,429.265259,1138.259644,759.330261,214.940796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,959.374451,601.069336,117.955139,901.240112,513.630127,98.479271,882.212769,522.308838,66.489487,,,,,,,,,,,,,,,,1188.709229,725.522217,429.791351,1141.365601,761.297668,215.386261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,961.290894,604.893127,118.377838,902.226685,518.418945,99.648766,885.461243,526.754822,66.612152,,,,,,,,,,,,,,,,1189.780396,726.640564,429.566528,1145.019775,763.555725,215.951691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,964.130798,608.925598,119.222481,902.948730,523.291626,100.745209,888.088989,531.485107,67.075226,,,,,,,,,,,,,,,,1191.326416,727.164124,430.007935,1148.818481,766.249512,215.968170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,966.186829,612.716309,119.567154,903.778320,527.966187,101.116035,890.340576,536.640991,67.695030,,,,,,,,,,,,,,,,1192.788940,727.850159,430.395264,1152.429810,768.352478,216.549423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,967.978088,616.463806,120.429733,904.586548,533.060364,101.334770,891.633240,541.740112,68.360321,,,,,,,,,,,,,,,,1193.975220,728.706238,430.748993,1155.226196,769.805786,217.293488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,969.723633,620.283569,121.099808,905.582764,537.431946,102.574547,892.998535,546.881042,68.207520,,,,,,,,,,,,,,,,1195.090942,729.384888,431.372040,1158.240356,771.755066,217.632095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,971.809509,624.057556,121.138580,906.025452,542.327942,102.874283,,,,,,,,,,,,,,,,,,,1196.526123,730.029358,431.749329,1161.629639,773.373474,218.272186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,973.459656,628.083801,121.418419,906.407837,547.261841,102.904465,,,,,,,,,,,,,,,,,,,1197.540405,730.627686,431.977509,1164.843994,774.715820,218.768845,894.106506,557.910034,68.255295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,975.066406,631.574158,121.534225,907.059387,551.731567,102.627647,,,,,,,,,,,,,,,,,,,1198.787720,731.115234,432.265656,1168.243774,776.301941,219.344635,893.637024,563.350769,69.588966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,976.881592,635.378967,122.026443,907.348328,556.253479,102.687073,,,,,,,,,,,,,,,,,,,1200.151978,731.595032,432.659485,1171.032227,777.225586,219.503906,893.299316,569.222473,69.638138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,977.672485,638.993896,122.150131,907.708313,560.466614,102.362122,,,,,,,,,,,,,,,,,,,1201.292847,732.029785,433.343079,1173.587158,778.895020,219.951050,893.551758,575.143066,69.879486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,979.051575,642.639465,122.191025,908.121582,564.407410,102.399109,,,,,,,,,,,,,,,,,,,1202.140625,732.533752,433.700562,1176.584595,779.836121,219.997345,893.122559,581.107910,69.893349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,979.845459,645.775635,122.671539,907.984802,568.886658,101.893204,,,,,,,,,,,,,,,,,,,1203.339478,732.955383,433.801270,1178.934082,780.652039,220.496796,892.059875,587.082703,70.452271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,981.284241,649.001648,122.666245,907.974670,573.048218,101.179253,,,,,,,,,,,,,,,,,,,1204.625366,733.406921,434.061279,1181.352905,781.598022,220.709366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
