Grasp116
Date:,2025/04/24
Time:,16:09:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,1168.958496,875.078186,452.523254,876.596985,712.223267,48.384380,935.361938,791.179932,74.716423,1083.556641,888.015930,273.597504,797.261536,778.564026,53.232513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1168.901611,875.162598,452.611023,876.676819,711.928101,51.787701,935.679749,791.310364,75.333366,1083.746582,888.577087,273.723206,796.750244,778.755432,56.113857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1168.760986,875.450439,452.554352,876.966248,711.611267,53.696075,935.635071,791.776917,76.215332,1083.902588,889.045288,273.836945,796.693542,779.006165,58.693874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1168.648071,875.791260,452.394867,877.136719,711.327820,56.803616,935.445251,792.010986,77.607170,1084.104126,889.409607,274.113434,796.573547,779.196472,61.355701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1168.366821,876.123779,452.289246,877.494019,710.921204,59.126873,935.194031,792.070740,79.251648,1084.362915,889.998901,274.313385,796.453064,779.533508,63.584515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1168.423828,876.472229,451.904419,878.182922,710.057312,61.880123,934.872192,792.040710,80.665077,1084.347534,890.632507,274.380829,796.424438,779.498474,66.626724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1168.541870,876.691284,451.715057,878.287903,709.572571,64.252518,934.946472,792.085876,81.475334,1084.763916,891.013062,274.295624,796.157715,779.546143,68.971642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1168.697998,876.923706,451.683838,878.801697,708.673218,67.284065,935.034851,792.128357,82.651131,1085.356567,891.372192,274.167572,795.858765,779.416077,71.755882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1168.771973,877.110718,451.521637,878.977661,708.059570,70.221252,934.792236,791.938110,84.003624,1085.954712,891.825439,274.057068,795.624756,779.252991,73.940674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1168.997681,877.216553,451.370850,879.337341,707.485168,73.205238,933.918152,791.913025,85.582314,1086.481689,892.167419,273.817261,795.418823,778.916748,76.756195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1169.161499,877.230713,451.122589,880.187988,706.402710,76.267357,933.869812,791.643005,86.691902,1086.935547,892.377563,273.692535,795.203613,778.757263,78.930069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1169.401245,877.315002,450.774353,880.886353,705.265137,79.251945,934.116455,791.252869,87.999969,1087.229370,892.602417,273.591064,794.862610,778.581543,81.618668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1169.484619,877.384583,450.578003,881.046875,704.660645,82.280769,933.827454,791.085144,89.371635,1087.508423,892.716553,273.539429,794.888794,778.294983,83.720345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
