Grasp120
Date:,2025/04/23
Time:,14:06:04
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
17,880.633179,695.750549,87.144432,937.738464,782.970337,106.454506,801.916748,773.753479,100.097771,1187.011108,863.219788,395.994385,1153.293701,900.083679,242.406082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,880.265320,693.325562,88.180702,936.195862,781.017944,107.337387,800.506897,770.611267,102.201317,1186.458130,863.223022,395.703735,1151.987183,899.683838,241.725540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,879.551514,690.525452,89.854462,934.953430,778.955933,109.001709,798.889465,767.253723,104.543816,1185.620972,863.069336,395.095459,1150.695068,899.140869,241.273422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,879.395386,687.976257,90.825264,933.653137,776.972961,110.190201,797.102844,763.983398,107.030174,1184.856323,862.928772,394.693085,1149.119995,898.569092,241.131271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,879.191895,684.749756,92.732475,932.219727,775.081360,111.077797,796.463684,760.443909,108.564201,1184.072998,862.729126,394.314728,1147.665405,897.962341,241.083649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,878.579163,682.009644,93.828133,931.001343,772.747620,112.339630,795.450195,757.158936,110.887100,1183.235474,862.512634,393.930786,1146.355225,897.424133,240.267319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,878.181091,679.379150,94.954117,929.292664,770.632568,113.303696,794.068970,754.047424,113.718071,1182.630493,862.339661,393.739380,1145.158691,896.622192,239.869705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,877.855286,676.771606,96.619461,928.287781,768.715881,114.137619,792.601257,751.281128,115.469559,1182.009888,862.223633,393.538849,1143.618164,895.995239,239.657059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,876.871216,674.646912,97.340233,926.541809,766.751526,115.239594,791.513794,747.975098,117.642220,1181.061890,862.029236,392.874146,1141.928345,895.591858,239.198853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,876.107239,671.787048,98.812447,925.186523,764.511597,115.887367,790.323242,745.163025,119.341652,1179.886475,861.839844,392.203308,1140.150513,894.797058,238.766022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,875.397827,668.934814,100.424820,923.295044,762.446777,116.574066,789.234070,742.152405,121.081352,1178.974121,861.466797,392.112213,1138.864258,893.777283,238.366974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,874.531311,666.564148,101.907906,922.112305,760.662170,117.168823,788.334290,739.498291,122.599854,1178.375366,861.160400,391.692688,1137.473267,892.824646,237.544083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,874.303589,664.061279,102.971741,920.339050,758.538635,118.662369,787.077698,736.402100,124.252480,1177.511230,860.983643,390.826630,1135.513306,892.228699,237.255936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,873.744019,661.522217,104.179207,918.701599,756.606812,119.284393,785.490784,734.056763,124.966339,1176.710327,860.795593,390.149780,1134.064941,891.765320,237.027435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,872.872925,659.109436,105.347519,917.044678,754.370789,119.588013,783.946533,731.691711,126.826225,1175.821289,860.417236,389.552368,1132.283813,890.794617,236.079330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,871.685181,656.483521,106.420799,915.779541,752.706726,120.157074,782.721375,729.254211,127.924118,1174.567993,860.228821,389.314697,1130.773560,889.790466,235.167236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,870.811768,654.521179,107.060440,914.313782,750.767517,120.633873,781.044922,726.952393,128.589294,1173.289673,859.995361,388.936859,1129.641235,888.818604,234.806580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,869.913940,652.262085,107.668213,912.765381,748.488403,121.552727,779.940491,724.645447,129.713791,1172.327881,859.664246,388.662994,1127.495239,888.154907,234.358185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
