Grasp97
Date:,2025/04/22
Time:,17:34:08
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,916.709473,811.377502,75.763535,1075.316284,892.478516,228.123352,783.931458,832.221558,42.206268,1147.569458,874.447083,345.759460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,916.933411,810.704895,76.144318,1075.823242,892.350037,228.028397,784.297058,829.439758,44.214458,1147.816772,874.450989,345.705750,,,,840.726685,752.166260,43.737461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,917.279907,809.850464,77.020653,1075.770996,892.397522,228.048767,784.095154,826.334412,46.209366,1147.853149,874.568481,345.531281,,,,842.345215,749.061096,45.230858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,917.765930,808.886414,78.093605,1075.800293,892.350464,227.986832,783.468872,823.384399,49.475697,1147.967285,874.545349,345.469635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,917.982361,807.492065,79.314476,1075.981934,892.220093,228.086349,783.325989,820.433411,52.644787,1147.960815,874.548218,345.421814,,,,,,,845.537964,742.332764,48.876831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,917.768677,806.342346,80.048386,1076.189331,891.869934,227.909531,783.388062,817.249023,54.649181,1148.031372,874.535767,345.326233,,,,,,,846.903809,739.284973,51.020828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,918.246338,805.309204,81.310112,1076.315552,891.589294,227.717514,783.350220,813.730896,56.615883,1148.117310,874.484558,345.252533,,,,,,,848.371704,736.188904,52.894905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,918.304199,803.770996,82.807968,1076.706665,890.993286,227.305923,783.668579,810.444153,59.571400,1148.193848,874.472290,345.193176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,918.224854,802.349060,83.851662,1076.877808,890.440125,227.268158,783.284912,807.137634,62.970470,1148.231689,874.449890,345.046631,,,,,,,,,,851.600708,729.175537,56.568424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,918.112915,801.117554,85.034721,1076.811890,889.911499,227.312531,782.892761,803.759949,65.940514,1148.426514,874.364624,344.741486,,,,,,,,,,853.262512,725.754700,58.810272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
