Grasp84
Date:,2025/04/22
Time:,17:17:14
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,917.188416,827.377930,68.493073,1115.643311,903.203674,460.256439,852.060608,765.122803,33.032070,786.642090,808.006958,33.769798,1081.481812,935.301392,252.045456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,917.250244,827.354736,68.615471,1116.088867,902.956726,460.393707,852.219910,765.190918,33.020901,786.670105,807.999146,33.794239,1081.427368,935.264282,252.059616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,917.235168,827.383850,68.513046,1116.046631,902.789917,460.398285,852.200134,765.154297,32.987957,786.672668,807.998169,33.796898,1081.427002,935.225830,252.196747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,917.282715,827.361023,68.557060,1115.760132,902.541931,460.572723,852.215088,765.177185,33.010818,786.774414,807.984802,33.884052,1081.392334,935.112427,252.224869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,917.294067,827.363831,68.551552,1115.660522,902.412048,460.667328,852.221375,765.192322,33.023079,786.640503,807.996948,33.744705,1081.384644,935.077942,252.251343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,917.272949,827.345581,68.585251,1115.625610,902.393250,460.711578,852.220764,765.194092,33.023109,786.616516,808.012573,33.793629,1081.534302,935.100952,252.205246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,917.181152,827.361450,68.500000,1115.603516,902.313110,460.717651,852.219788,765.192017,33.021130,786.712463,807.998901,33.926411,1081.081909,935.337463,252.732498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,917.244263,827.349609,68.574074,1115.667847,902.213318,460.727264,852.219727,765.190796,33.020573,786.656311,807.991577,33.770481,1080.931152,935.314575,252.957657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,917.154236,827.347412,68.518349,1115.630005,902.153748,460.763641,852.219910,765.190674,33.020775,786.779358,807.984558,33.850967,1080.836914,935.236023,252.974655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,917.207336,827.328369,68.580170,1115.532837,902.124023,460.884918,852.146545,765.192444,33.035763,786.773071,807.982849,33.868530,1080.785645,935.290405,253.048615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,917.216064,827.332397,68.636757,1115.445679,902.061279,460.891296,852.029419,765.088562,33.009613,786.678406,807.996765,33.804993,1080.787231,935.218933,253.054001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,917.151611,827.355652,68.543190,1115.475342,901.929504,460.920349,852.126648,765.096069,33.010456,786.610596,808.001648,33.723515,1080.745972,935.199402,253.090225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,917.226135,827.341736,68.587227,1115.419434,901.827148,460.904358,852.110657,765.116516,33.015015,786.723572,807.998047,33.887463,1080.721069,935.023010,253.178574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,917.320313,827.297485,68.748573,1115.435181,901.690674,460.918701,852.069214,765.053650,33.041435,786.645203,807.997131,33.812439,1080.718140,934.975830,253.225250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,917.114258,827.299927,68.632156,1115.381226,901.561096,460.980988,852.093506,765.152710,33.112171,786.549194,808.002991,33.822155,1080.697510,935.076782,253.287354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,916.864746,827.268188,68.691994,1115.358154,901.421204,461.001709,852.046936,765.123474,33.069649,786.518860,808.002502,33.854504,1080.658936,935.093811,253.308243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,916.926025,827.321228,68.628433,1115.266113,901.316284,461.007111,852.031677,765.096924,33.047054,786.648193,807.980469,33.973293,1080.566284,935.077087,253.361633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,916.980164,827.249023,68.766106,1115.269531,901.191833,461.015930,852.081726,765.139954,33.064884,786.550720,807.996521,33.878963,1080.564087,935.041138,253.399216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,916.855286,827.231628,68.726097,1115.254028,900.984985,460.987274,852.070984,765.174805,33.118614,786.565979,807.992432,33.818996,1080.612793,935.055298,253.436340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,916.774170,827.224060,68.722038,1115.286377,900.863220,460.970642,852.069397,765.103760,33.152336,786.549500,808.001953,33.825516,1080.569092,935.036743,253.485916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,916.798218,827.212646,68.779480,1115.244385,900.793091,460.984741,852.057983,765.148865,33.207565,786.533386,808.003479,33.846294,1080.496826,935.027039,253.576462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,916.914551,827.193665,68.878014,1115.225342,900.701843,460.982422,852.043701,765.105286,33.089619,786.526855,808.002197,33.855698,1080.426025,935.033081,253.647095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,916.882385,827.197998,68.875702,1115.363770,900.687073,460.957977,852.096191,765.176514,33.084663,786.656250,807.980896,33.965279,1080.329468,935.027710,253.711502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,916.838562,827.172607,68.917900,1115.375244,900.622253,461.033447,852.060852,765.209717,33.172054,786.683105,807.975830,33.985043,1080.371460,935.046448,253.785156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,916.832581,827.177979,68.957741,1115.341064,900.588440,461.061523,852.044189,765.197327,33.213860,786.507202,807.984863,33.893105,1080.344116,935.046326,253.872223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,916.791016,827.167603,68.992821,1115.335449,900.482605,461.070648,852.045410,765.183044,33.216473,786.459473,807.986633,33.887032,1080.289063,935.116638,253.975739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,916.659912,827.174316,69.089485,1115.407593,900.368652,461.109222,852.050781,765.181030,33.207897,786.489929,807.978516,33.917004,1080.329712,935.124512,254.054123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,916.640625,827.161133,69.205368,1115.496216,900.232300,461.010681,852.016235,765.208374,33.162453,786.502991,807.976501,33.920776,1080.405273,935.001892,254.091110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,916.540588,827.064941,69.450249,1115.541382,900.030762,461.099701,852.004272,765.226990,33.142670,786.491089,807.988770,33.962700,1080.504028,935.066711,254.076324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,916.370789,827.040894,69.665176,1115.467773,899.809570,461.091858,851.920654,765.247864,33.218914,786.501892,808.062012,34.127506,1080.667725,935.123169,254.073441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,916.274475,827.008423,69.904510,1115.708496,899.551758,460.756287,851.827209,765.269714,33.237846,786.466492,808.087097,34.232460,1080.820923,935.191467,253.947769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,916.287476,827.095032,70.162033,1115.947144,899.252441,460.804169,851.748413,765.316223,33.318340,786.273743,808.051575,34.831970,1081.126465,935.349365,253.832123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,916.242310,827.257263,70.857651,1115.767212,899.245300,460.568085,851.716187,765.342773,33.407597,785.935242,808.096375,35.420479,1081.927124,935.224121,253.338394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
