Grasp71
Date:,2025/04/22
Time:,16:52:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,914.401794,797.888611,89.495148,852.962036,732.763916,43.345242,779.538818,800.736145,57.103672,1075.383057,876.594727,292.808258,1114.488281,827.826538,472.061829,,,,,,,,,,,,,,,,,,,,,
2,915.021667,797.757385,91.694176,853.956421,731.469543,45.306370,779.604126,799.665344,60.381588,1076.192627,877.274475,292.981812,1115.375366,828.362671,471.963379,,,,,,,,,,,,,,,,,,,,,
3,915.036255,797.640015,93.067856,855.074097,730.214050,47.279388,779.779724,798.285461,63.403248,1077.254150,878.135498,293.314453,1116.181519,828.800049,471.639221,,,,,,,,,,,,,,,,,,,,,
4,915.159241,797.405212,94.824417,856.013672,728.784607,48.993671,779.671448,797.202759,66.274857,1078.881470,879.104614,293.294495,1116.751587,829.401733,471.551544,,,,,,,,,,,,,,,,,,,,,
5,915.735046,797.072449,96.758202,857.110718,727.456055,50.789253,780.256470,795.932922,69.212418,1080.435425,879.817505,293.226044,1117.318848,829.848816,471.749634,,,,,,,,,,,,,,,,,,,,,
6,915.840027,796.735657,98.028481,858.451355,725.844604,52.473454,780.477356,794.220825,72.210007,1081.677734,880.499695,293.413483,1117.946655,830.218140,472.025146,,,,,,,,,,,,,,,,,,,,,
7,916.129761,796.099304,99.756668,859.469849,724.321167,54.228687,780.927307,792.653137,74.675758,1082.588745,881.374084,293.750244,1119.022217,830.747681,472.040100,,,,,,,,,,,,,,,,,,,,,
8,916.584839,795.463501,101.619957,860.972778,722.723267,56.467789,780.915588,791.143005,77.696411,1083.487549,882.341675,294.142700,1120.260620,831.284912,471.766479,,,,,,,,,,,,,,,,,,,,,
9,916.684753,794.798462,103.089195,862.078308,721.015259,58.524513,780.898315,789.343567,80.842369,1084.745850,883.007935,294.381592,1121.315186,831.523438,471.736420,,,,,,,,,,,,,,,,,,,,,
10,917.253113,793.933289,105.056786,863.178894,719.513123,60.816097,781.553528,787.562317,83.892494,1086.057251,883.602356,294.608917,1121.937744,831.852844,471.924774,,,,,,,,,,,,,,,,,,,,,
11,917.610657,792.942749,106.593262,864.981567,717.693726,63.272308,782.015320,786.064575,86.658913,1087.206665,884.294861,294.792389,1122.208008,832.283447,472.167297,,,,,,,,,,,,,,,,,,,,,
12,918.306335,792.063293,108.328445,865.989014,715.925293,65.172714,782.596313,784.085999,89.280449,1088.188477,885.064148,295.126434,1122.762451,833.988708,472.011261,,,,,,,,,,,,,,,,,,,,,
13,918.878479,791.339172,110.083481,866.905151,714.585266,67.432884,782.954041,782.439697,91.997520,1088.947144,885.694275,295.523254,1123.181885,833.872498,472.006409,,,,,,,,,,,,,,,,,,,,,
14,919.177002,790.508667,111.790459,867.914001,712.881775,70.114517,783.432251,780.562439,94.323219,1089.929077,886.177551,296.068939,1123.861450,834.022400,472.049683,,,,,,,,,,,,,,,,,,,,,
15,919.701477,789.510803,113.870506,868.876465,711.138000,72.382401,784.033813,778.844238,96.963387,1090.747070,886.693542,296.473236,1124.347778,834.409546,472.114410,,,,,,,,,,,,,,,,,,,,,
16,919.838745,788.557861,115.210564,870.218567,709.414001,74.251167,784.315430,776.961365,99.455917,1091.498291,887.374512,296.645538,1124.638916,834.816895,472.431549,,,,,,,,,,,,,,,,,,,,,
17,920.539856,787.493103,116.814346,871.686218,707.618469,75.928383,784.761658,775.155884,101.605743,1092.390137,888.044006,296.795654,1124.910645,835.121765,472.760498,,,,,,,,,,,,,,,,,,,,,
18,921.182190,786.663330,118.377724,872.510681,706.143250,78.188660,785.087219,773.231262,103.726067,1093.341919,888.742615,296.759857,1125.255249,835.329407,473.005676,,,,,,,,,,,,,,,,,,,,,
19,921.415344,785.648682,120.025261,873.655457,704.401306,80.859230,785.536133,771.336914,105.764732,1094.524292,889.023926,297.244904,1125.659912,835.525208,473.151001,,,,,,,,,,,,,,,,,,,,,
20,921.588806,784.543030,121.959091,874.395691,702.556885,82.835777,785.958435,769.429077,107.747177,1095.377686,889.159973,297.396942,1126.092896,835.962708,473.282318,,,,,,,,,,,,,,,,,,,,,
21,921.682373,783.570190,123.497299,875.372375,701.126770,84.683784,786.367432,767.406616,109.675026,1095.822021,889.435059,297.527130,1126.528809,836.618103,473.542786,,,,,,,,,,,,,,,,,,,,,
22,921.896545,782.604004,124.691818,876.488586,699.365479,86.411621,786.823792,765.770386,111.208252,1096.187500,889.860352,297.757935,1126.818237,837.166321,473.655914,,,,,,,,,,,,,,,,,,,,,
23,922.142700,781.477539,126.456612,877.558411,697.871948,88.027214,787.172913,763.906067,113.061546,1096.754517,890.348206,298.146667,1127.064453,837.571838,473.823792,,,,,,,,,,,,,,,,,,,,,
24,922.414246,780.387268,127.526802,878.032715,696.542114,90.067360,787.389587,762.306580,114.897392,1097.336426,890.784363,298.408478,1127.249268,838.041931,473.918671,,,,,,,,,,,,,,,,,,,,,
25,922.244812,779.183716,128.994308,878.618286,694.923157,92.086548,787.393982,760.771057,116.486168,1098.009888,891.130005,298.617279,1127.477051,838.085327,473.910767,,,,,,,,,,,,,,,,,,,,,
26,921.780396,778.305298,130.434982,879.234009,693.311157,93.899010,787.260376,759.140747,118.033989,1098.486206,891.326172,298.850403,1127.769043,837.315491,473.653748,,,,,,,,,,,,,,,,,,,,,
27,921.969910,777.434143,132.072632,879.870605,691.727356,95.573586,787.263855,757.728882,119.091980,1098.880615,891.497620,299.125488,1128.058105,837.214050,473.637939,,,,,,,,,,,,,,,,,,,,,
28,922.093750,776.428650,133.312637,880.321960,690.225342,96.805473,787.376831,756.190491,120.318069,1099.182495,891.574280,299.200165,1128.036377,837.542358,473.771637,,,,,,,,,,,,,,,,,,,,,
29,921.918335,775.358276,134.220520,881.090088,688.938721,98.349548,787.381409,755.013794,121.567528,1099.375000,891.646912,299.254913,1128.121338,837.644653,473.925232,,,,,,,,,,,,,,,,,,,,,
30,921.887878,774.516052,135.041626,881.585266,687.644592,99.941208,787.348328,753.964417,122.126633,1099.579590,891.738464,299.328674,1128.461914,837.572998,473.987946,,,,,,,,,,,,,,,,,,,,,
31,921.899536,773.695984,136.054504,881.823120,686.182678,101.576241,787.376282,752.795654,123.013992,1099.691650,891.787109,299.431793,1128.683472,837.598999,474.015991,,,,,,,,,,,,,,,,,,,,,
32,921.696289,772.631897,137.224243,882.009460,685.072510,103.353470,787.295227,751.650208,124.160492,1100.071167,891.834961,299.424408,1128.765503,837.632568,473.959625,,,,,,,,,,,,,,,,,,,,,
