Grasp125
Date:,2025/04/23
Time:,16:09:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,809.313354,456.833069,28.874727,870.713745,525.383850,65.090584,736.691895,511.343872,29.597397,1131.255615,717.473328,382.942688,1075.933228,710.285217,233.224213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,810.055847,457.500519,28.692766,871.386475,525.670044,65.422211,737.693726,511.097626,29.902142,1131.420044,717.417480,382.882477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,810.672852,458.283936,28.654415,872.261292,526.363098,66.307022,738.625244,510.808746,29.941481,1131.512329,717.519531,382.718048,,,,1077.835815,712.249756,232.518417,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,811.404419,459.235413,28.720566,873.216980,526.893677,67.452316,740.295349,510.128540,30.004742,1131.526245,717.663513,382.300598,,,,1080.100830,713.390625,231.468643,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,812.588501,460.079742,28.559895,874.189087,527.650452,68.867073,742.395386,509.475708,30.026962,1132.164307,717.736877,381.941925,,,,1081.467773,714.362244,231.070282,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,813.861694,461.155975,28.858425,875.303406,528.126831,70.430336,744.146729,508.661621,30.325327,1132.602295,717.865906,381.699768,,,,1082.996948,715.995789,230.776520,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,815.110352,462.194000,29.044567,877.022705,528.639954,71.438286,746.552429,507.642609,30.682217,1133.231201,717.950623,381.322906,,,,1085.016113,717.234192,230.200424,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,816.555603,463.285309,28.904583,878.839294,529.376038,73.127785,749.598083,506.566437,31.108568,1133.734619,718.265381,381.134644,,,,1087.648193,718.205017,229.527664,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,818.271790,464.340820,29.088907,880.548279,530.205872,74.878708,752.637573,505.584137,31.083385,1134.271484,718.608887,381.100494,,,,1089.330200,720.093323,229.198822,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,820.226013,465.403351,29.928780,883.259338,531.067261,76.250740,755.968811,504.138824,31.676702,1135.136719,718.904602,380.918274,,,,1091.667358,721.741028,228.803192,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,822.601440,466.153625,30.350306,885.648132,531.169006,77.662926,759.744507,502.503021,32.908783,1136.180298,719.163940,380.718842,,,,1094.120728,723.039917,228.247681,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,824.995850,466.603363,31.097662,888.064880,532.258728,79.134781,763.572021,501.081573,33.462429,1137.548706,719.472717,380.615448,,,,1097.231201,724.466431,227.569305,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,828.296509,466.625244,31.915108,891.135071,533.361267,80.431419,767.791077,499.883240,34.858028,1138.364746,720.052246,380.353058,,,,1099.802734,726.176331,227.081329,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,831.540039,466.473480,33.250015,894.333679,534.039856,81.908226,772.074158,498.899780,36.415218,1139.019775,720.625366,380.595062,,,,1102.026123,727.843323,227.429855,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,835.203918,466.426392,35.026295,897.775024,534.879822,83.049789,776.684631,497.908203,38.045120,1140.031494,721.124390,380.786011,,,,1105.203003,729.215881,227.055908,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,839.191589,466.658447,37.148033,901.116821,536.507507,84.735687,781.113403,497.183167,40.625931,1141.303223,721.522339,380.734222,,,,1108.259155,731.208801,226.746063,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,843.197266,466.766205,39.175781,904.770569,537.460388,86.159859,785.429993,496.746094,42.752594,1142.769287,722.008911,380.597076,,,,1111.467407,732.817139,226.790909,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,846.536804,467.029785,41.749695,908.521301,538.973022,87.144775,790.021240,496.664886,44.914932,1144.094116,722.544861,380.702179,,,,1114.758545,734.461914,226.720428,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,850.213501,467.362030,44.354080,912.176453,540.685303,88.446175,795.009583,496.889008,47.275928,1144.966797,723.253052,380.988831,,,,1117.597778,736.269348,226.856552,,,,,,,,,,,,,,,,,,,,,,,,,,,
