Grasp113
Date:,2025/04/23
Time:,10:06:54
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,782.411560,475.471558,29.029129,905.630493,523.635315,68.744904,861.054443,450.593170,28.863928,1121.219116,760.339661,475.571472,1053.054443,724.990234,291.777618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,782.314026,475.490570,29.096195,905.534607,523.578674,69.926117,861.180176,450.663330,28.837538,1121.358276,760.556641,475.513611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,782.362671,475.538513,29.328587,905.635498,523.593262,70.658058,861.485779,450.658875,28.866161,1121.553589,760.703186,475.470978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,782.301331,475.737762,29.890282,905.639160,523.804626,71.777039,861.593506,450.578705,29.430269,1121.947510,760.839722,475.373444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,782.643066,475.854309,29.925755,905.670227,524.126526,73.035011,862.410889,450.484680,29.276550,1122.340088,761.093567,475.352966,,,,1057.383667,729.654236,289.592377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,783.094971,475.995483,30.114349,905.564880,524.369751,74.580444,863.440796,450.311554,29.217539,1122.746338,761.359070,475.308594,,,,1058.277710,731.221741,289.403259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,783.581360,476.064453,30.768581,905.969116,524.592224,75.991852,864.540222,449.932739,29.472446,1123.223267,761.696228,475.389557,,,,1059.470215,732.978088,288.733582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,784.378662,476.709259,31.034105,906.812866,524.997437,77.414085,865.860901,448.999786,30.215687,1123.689331,762.055664,475.578888,,,,1061.151489,734.861694,287.922913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,785.717712,477.443848,31.365253,907.415955,525.794861,78.993416,868.143921,448.149017,31.378061,1124.056763,762.496826,475.706268,,,,1062.217529,737.066223,287.493805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,787.065308,478.386017,31.487286,908.447510,526.711548,80.324883,870.650146,447.126282,32.837212,1124.411621,762.798767,475.758057,,,,1063.937500,739.208923,286.711456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,788.427002,479.044495,33.649349,909.660522,527.735229,82.532562,872.981934,446.238068,34.921143,1124.853516,763.363953,475.761566,,,,1065.194336,741.597900,286.471924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,789.696899,479.444305,36.275887,911.224976,528.700684,84.528732,875.690857,445.919556,37.925449,1125.460938,764.029907,475.762756,,,,1066.546387,744.300781,286.236481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,791.379517,480.338013,38.685936,912.836365,530.115479,86.080612,878.057922,445.822479,41.366573,1126.341431,764.972900,475.660675,,,,1068.412476,746.823975,285.985809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,793.438904,480.951355,42.024353,915.194641,531.499390,88.670105,880.822144,445.804047,45.144871,1127.072021,765.857910,475.841095,,,,1070.306152,749.521484,285.750763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,795.679077,481.531616,45.379673,917.482483,532.799683,90.183495,883.566528,445.912628,48.489338,1127.890991,766.757324,476.330780,,,,1072.730713,752.542725,285.022736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
