Grasp46
Date:,2025/04/16
Time:,14:28:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,771.883789,507.826355,30.961317,906.451111,529.308533,69.620499,845.018860,466.681854,33.541561,1149.574951,772.064453,382.424408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,772.386169,507.805573,31.129589,906.574219,529.507446,70.138351,845.367859,466.865326,33.434128,1150.355835,771.954285,381.480438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,773.000916,507.853943,31.382183,906.884521,529.688965,70.472832,845.709473,467.111298,33.354851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,773.689331,507.804352,31.643143,907.319031,530.122498,71.102966,846.189514,467.262756,33.235241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,774.486755,507.709686,31.794895,907.666016,530.426147,71.714836,846.792053,467.636353,33.337193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,775.311096,507.544189,31.969648,908.267151,530.753540,72.066444,847.568298,468.046906,33.274513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,776.174072,507.352478,31.732821,908.841248,531.340942,72.678238,848.170410,468.329712,33.198486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,777.251831,507.231293,31.472155,909.450317,531.955505,73.705589,849.005920,468.711365,33.319763,,,,1153.605591,773.168762,379.733765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,778.361816,506.796722,31.519369,910.227600,532.353394,74.573944,849.949341,468.899811,33.488831,,,,1154.328369,774.464722,379.996887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,779.675232,506.248047,32.492920,911.182190,532.651367,75.552307,851.275330,469.357208,33.612160,,,,1155.251587,775.123169,380.266418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,781.283813,505.707184,32.611912,912.086060,533.116394,76.358162,852.964111,469.772003,33.761341,,,,1155.939941,776.306641,380.568359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,783.022705,505.089813,32.474518,912.987915,534.011597,77.230659,854.506958,470.094879,33.968609,,,,1156.163818,775.787537,380.366974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,784.634094,504.454803,32.411221,914.470886,534.784241,78.260605,856.391418,470.131500,34.077553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,786.914612,503.586609,32.529472,915.747009,535.408569,79.080551,858.573364,470.157043,34.126026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,789.450745,502.770752,32.809204,917.470825,536.047607,80.304024,860.648987,470.002655,34.635952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,792.107422,501.767883,33.333012,918.589172,536.762390,81.281586,863.286499,469.963745,34.892735,,,,,,,1160.592773,777.840027,380.462128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,794.636719,501.306671,33.898117,920.806824,537.506897,82.288940,865.909668,469.735077,35.781895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,797.924133,500.493927,33.592587,922.612488,538.490540,83.715485,868.755554,469.722473,36.626770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,801.127625,499.552673,33.654449,924.572388,539.237671,85.093529,871.453796,469.466522,37.898796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,804.530457,498.641815,33.883297,926.408325,540.358337,86.504478,874.234680,469.587433,39.385597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,808.223877,498.017365,33.792103,928.758850,541.375488,87.590919,876.755737,469.678284,41.123760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,812.491150,497.058594,34.574238,931.114563,542.456238,89.253563,879.385254,470.361694,43.218929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,816.760620,496.400543,35.220337,933.363831,543.759399,90.411713,881.738464,470.796906,45.377251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,821.037964,496.134369,35.341778,935.802673,544.910400,92.039902,884.318848,471.530640,47.641426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,825.335327,495.996674,36.039173,938.367493,546.291992,93.565231,886.661682,472.276306,50.486496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,829.803223,495.770813,37.550636,940.566467,548.018982,94.802574,889.214905,473.141724,52.851444,,,,,,,,,,1174.051758,783.747192,380.102081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,833.937805,496.133453,38.457722,943.238586,549.374023,96.226997,891.434814,474.184418,55.153137,,,,,,,,,,1176.001221,783.702148,380.164185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,837.942749,496.600830,40.234230,945.872437,551.191895,98.087868,894.050781,475.244171,57.618908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,841.955383,496.859589,41.874889,947.979370,553.107117,99.386635,896.313354,476.588562,60.434937,,,,,,,,,,,,,1177.749023,786.400024,380.950043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,845.458984,497.963135,44.074337,950.969849,555.131470,100.481834,898.709167,477.880524,62.282425,,,,,,,,,,,,,1178.962402,787.364014,381.526733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,848.565186,499.346100,46.288746,953.570313,557.151672,101.991043,901.309937,479.257294,64.814690,,,,,,,,,,,,,1180.427856,788.677795,381.884613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,851.926514,500.882996,47.966137,956.074768,558.895996,103.504669,903.854797,480.855377,66.864510,,,,,,,,,,,,,1181.652100,789.675720,382.102814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,855.016418,502.861572,50.422459,958.669678,561.283936,104.854805,906.049622,482.629333,68.901192,,,,,,,,,,,,,1183.269287,790.299438,382.084259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,857.778076,505.253815,52.252060,961.233582,563.336121,105.934624,908.075928,484.408142,70.842964,,,,,,,,,,,,,1184.640015,790.845276,382.656891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,860.928345,507.663818,54.322144,963.601990,565.705200,107.054810,910.607239,486.534180,72.715714,,,,,,,,,,,,,1185.536255,791.786743,382.908813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,863.706970,510.255920,56.120300,966.183655,568.431458,108.202454,912.376770,488.751099,74.864410,,,,,,,,,,,,,1186.968262,792.776917,383.708954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,867.038635,513.206238,58.040699,968.422791,570.745300,109.545761,914.079651,491.170502,76.730507,,,,,,,,,,,,,1188.412476,793.894714,384.327118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,870.230103,515.926392,59.480999,970.691223,572.993958,110.283020,915.810791,493.594116,78.728981,,,,,,,,,,,,,1190.130615,794.095703,384.511658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
