Grasp67
Date:,2025/04/22
Time:,16:06:48
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,804.319458,504.489960,31.573065,987.396973,687.265015,302.761292,1022.781311,797.344421,504.962616,898.516479,487.490051,34.369480,920.973328,579.233154,59.006374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,804.295898,504.496246,31.549429,987.455566,687.420776,302.748047,1022.715332,797.674316,504.985168,898.478516,487.504639,34.207039,920.865662,579.267090,59.138485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,804.337219,504.477570,31.608252,987.473999,687.543579,302.778595,1022.887451,797.841858,504.855621,898.498901,487.434509,34.316185,920.932678,579.231018,59.055813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,804.388550,504.460541,31.603582,987.561707,687.552063,302.805450,1023.011780,798.117859,504.796234,898.491943,487.432220,34.366146,920.961731,579.227783,58.957508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,804.364136,504.468781,31.561302,987.625610,687.646667,302.828979,1023.247070,798.315613,504.709869,898.487427,487.444122,34.362701,920.979858,579.244690,59.012794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,804.368835,504.471527,31.563925,987.754395,687.661987,302.841156,1023.397583,798.484619,504.581177,898.457397,487.470978,34.354099,920.908752,579.239075,59.068886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,804.357910,504.472656,31.559299,987.776062,687.729797,302.831726,1023.472351,798.711304,504.585449,898.481873,487.459290,34.348881,920.946899,579.235107,59.061718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,804.355347,504.472778,31.558830,987.831238,687.779602,302.787445,1023.602905,798.903259,504.471313,898.493774,487.450836,34.347740,920.879456,579.264709,59.120113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,804.364441,504.482727,31.604918,987.844360,687.783325,302.775146,1023.806580,799.086243,504.384033,898.461304,487.469299,34.351513,920.870178,579.219666,59.099731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,804.305786,504.479736,31.612741,987.892639,687.898865,302.787659,1023.784546,799.273743,504.307922,898.469910,487.398621,34.420883,920.872253,579.265076,59.213814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
