Grasp10
Date:,2025/04/08
Time:,12:53:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,423.398743,672.217285,272.474335,143.905991,877.470581,320.119781,367.472107,586.989441,266.158142,334.921906,721.143005,237.995438,165.530655,857.849487,198.591766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,419.549530,672.550842,274.217407,143.289795,878.235413,320.304779,362.751831,587.101563,268.527496,331.149231,720.824951,238.991760,164.251434,859.010559,199.065979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,415.830505,672.744080,275.659454,142.727188,878.933289,320.396515,358.467957,587.058716,270.248413,328.028656,720.841492,239.192078,162.482254,859.804504,198.542969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,411.970886,672.932434,276.735107,142.075577,879.641235,320.506989,354.457062,586.954956,271.593384,324.606018,720.426025,239.748581,161.278839,860.681702,198.992767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,408.017273,672.922974,277.771973,141.514359,880.369934,320.238739,350.376495,587.042175,272.864502,321.422272,720.180664,238.891235,159.343887,861.860291,199.260483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,404.223541,673.165833,278.635895,140.895676,881.134583,320.147186,346.379120,587.014221,273.797699,,,,157.681335,862.820251,199.365677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,400.404968,673.408386,279.593414,140.379181,881.970032,320.096008,342.274475,586.974792,274.420868,,,,155.908630,863.688599,199.453217,314.243683,719.722839,238.139069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,396.266144,673.584473,280.096313,139.796783,882.747864,320.082245,338.242340,586.883057,274.619080,,,,154.558685,865.026367,199.171890,311.209106,719.357910,236.009720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,392.345337,673.839172,279.637482,139.033203,883.470642,319.876038,334.293915,586.646240,274.346161,,,,153.039536,866.186462,198.833832,307.610199,719.252869,234.668930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,388.095001,673.890564,279.360901,138.389618,884.304260,319.649353,330.356812,586.576721,273.322815,,,,151.553040,867.228027,198.993256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
