Grasp78
Date:,2025/04/22
Time:,16:53:31
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,895.442566,561.361877,67.829895,849.055420,482.000458,31.208231,765.491821,518.197998,31.227877,1021.071350,782.677307,440.112152,976.916443,756.005127,251.060516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,895.432617,561.360657,67.803886,849.070557,481.993164,31.160330,765.478943,518.177795,31.381119,1021.035156,782.611389,440.136902,976.986511,755.986084,251.020309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,895.442200,561.362549,67.823036,849.059326,481.940979,31.217707,765.444458,518.099060,31.309423,1021.130127,782.649353,440.115540,977.078247,755.975159,251.070313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,895.421021,561.373352,67.843666,849.069153,481.932770,31.201958,765.467041,518.110596,31.318581,1021.115845,782.621277,440.180695,977.128052,756.047058,251.075302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,895.486633,561.352600,67.935936,849.051636,481.999878,31.247700,765.473633,518.198303,31.289852,1021.184326,782.603516,440.209686,977.197937,756.095276,250.997406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,895.497803,561.391113,68.188553,849.044006,482.022369,31.257032,765.473328,518.201782,31.392704,1021.291199,782.615784,440.140747,977.291260,756.076599,251.028748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,895.397644,561.438965,67.940361,849.044800,482.019592,31.253887,765.501831,518.178528,31.486149,1021.419556,782.591370,440.100250,977.452759,756.158508,251.009720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,895.441895,561.522766,68.100533,849.010376,482.044037,31.248665,765.525818,518.200073,31.401569,1021.608704,782.570313,440.147064,977.506836,756.182617,250.973526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,895.428162,561.622314,68.215050,849.020264,481.990295,31.254713,765.527466,518.183411,31.445820,1021.759094,782.665955,440.154083,977.503418,756.262756,250.974258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,895.389587,561.664978,68.316200,849.081360,482.030853,31.239508,765.588440,518.183777,31.475161,1021.956055,782.620178,440.162170,977.625977,756.359802,250.993057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,895.332947,561.768677,68.328506,849.097839,482.062836,31.221092,765.652527,518.175964,31.514675,1022.133911,782.680908,440.166931,977.675903,756.459045,250.981583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,895.311829,561.788391,68.465027,849.121582,482.077820,31.239508,765.612671,518.083191,31.370340,1022.517456,782.620667,440.189423,977.897583,756.539001,251.006424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
