Grasp29
Date:,2025/04/16
Time:,11:09:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,775.342041,536.856201,31.305326,909.267517,566.052185,64.220871,848.971924,494.597626,30.510733,1146.440430,809.613525,336.597046,1030.292725,757.570862,148.933975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,775.348389,536.880798,31.250433,909.319580,566.240845,64.170959,848.957703,494.509064,30.545633,1146.370117,809.658386,336.532043,1030.247925,757.549744,148.959763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,775.295044,536.893494,31.203299,908.496826,566.448547,63.311260,848.962585,494.560120,30.509865,1146.432617,809.713440,336.610596,1030.214355,757.556763,148.982193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,775.261292,536.884888,31.225813,908.355225,566.513123,63.132290,848.970703,494.596619,30.482893,1146.513794,809.713257,336.695862,1030.121948,757.630371,149.003799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,775.273865,536.859192,31.329437,908.413452,566.505432,63.168945,848.964539,494.533875,30.524799,1146.526611,809.709106,336.706818,1029.728394,757.842651,149.170776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,775.280823,536.843689,31.322346,908.458252,566.471985,63.217834,849.002441,494.515137,30.585861,1146.262695,809.855042,336.734222,1029.491577,757.924011,149.360641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,775.283325,536.845459,31.310749,908.482483,566.482849,63.200176,849.000305,494.480225,30.557301,1146.200684,809.896423,336.783295,1029.323120,757.890320,149.418335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,775.242920,536.874573,31.193821,908.437012,566.456787,63.209801,849.020691,494.506256,30.545605,1146.296387,809.898010,336.855927,1029.330322,757.954834,149.525497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,775.266968,536.857971,31.233362,908.477539,566.478760,63.208927,848.991760,494.579773,30.481153,1146.343018,809.888062,336.871796,1029.350464,757.880920,149.559647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,775.254517,536.845642,31.316360,908.487549,566.492126,63.188953,849.012512,494.509613,30.482138,1146.327515,809.924316,336.843262,1029.306152,757.842346,149.620865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
