Grasp124
Date:,2025/04/23
Time:,14:06:30
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
13,875.411621,444.638245,31.923223,920.878662,523.984375,76.359634,790.375854,496.595184,44.493210,1001.290955,758.792542,253.768082,,,,1075.948364,815.546570,400.146637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,876.225708,444.558502,32.380749,920.694702,524.575256,77.420708,790.703674,495.477844,46.504757,1001.708862,760.012451,253.857849,,,,1076.580200,815.842407,400.661499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,877.259155,444.300842,33.073154,920.916931,525.432373,78.941528,790.920288,494.677551,48.752068,1001.975281,761.405334,254.054657,,,,1077.107422,816.384827,400.777435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,877.998535,443.976776,33.811451,921.160034,525.924194,80.424477,791.116638,493.953613,51.400467,1002.363708,762.369080,254.293167,,,,1078.264160,816.714966,400.780457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,878.283386,443.806335,35.333961,920.998657,525.845337,82.278976,791.096985,493.287689,54.173668,1003.067810,763.565125,254.425735,,,,1078.661499,817.244019,401.071625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,878.682129,443.721497,37.786545,920.820251,526.555298,84.684593,791.145813,492.037262,56.640999,1003.930542,765.033752,254.429291,,,,1078.792236,817.700806,401.807953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,878.693420,443.708191,39.911674,920.980530,526.540466,86.906441,790.873047,491.178070,60.058495,1004.452332,766.004028,254.915756,,,,,,,,,,2325.271484,-491.640686,-151.813873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,878.842041,443.837097,42.722843,920.489380,526.952759,89.269722,790.815125,490.244415,63.153282,1004.514038,767.257202,255.686188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,878.790649,443.809753,45.565132,919.991394,527.378418,91.164536,790.665833,489.520996,66.956871,1004.865723,768.650452,256.249359,,,,,,,,,,,,,1081.072998,818.899902,403.202118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,878.724609,443.752136,48.458084,919.859741,527.708130,94.358078,790.431702,488.605560,71.051277,1005.444397,769.635498,256.627411,,,,,,,,,,,,,1081.855347,819.199036,403.317474,2325.071777,-491.577393,-151.874161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
