Grasp116
Date:,2025/04/23
Time:,14:05:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,948.150513,792.379700,76.232361,877.599487,726.590942,34.413532,815.339661,802.138245,37.582127,1201.825317,903.107239,385.976074,1162.250122,930.021667,222.337692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,947.580627,792.583191,77.075523,877.575562,726.420532,34.333996,814.030945,802.471313,39.234333,1201.731445,903.034424,386.056183,1162.147095,929.714783,222.406158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,947.216797,792.694641,77.655754,877.473083,726.182129,34.385792,813.375183,802.195190,41.076038,1201.405029,902.986511,386.240692,1162.023315,929.445740,222.476852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,946.594971,792.789551,78.718987,877.494934,725.801147,34.513729,812.649597,801.773438,42.337158,1201.198242,902.924316,386.391571,1161.877563,929.140991,222.530258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,945.840210,792.799866,79.597855,877.526062,725.325867,34.694065,812.491333,801.536987,43.064182,1201.045166,902.799927,386.311157,1161.568848,928.452942,222.668289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,945.146362,792.831543,80.228630,877.809998,724.648071,34.899864,812.219727,801.050537,44.182358,1200.762329,902.605469,386.272064,1161.386108,928.130615,222.651169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,944.541443,792.618774,81.269348,878.014648,723.768799,35.264603,811.278076,800.109802,46.103622,1200.497803,902.508301,386.381195,1161.355591,927.838684,222.585861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,943.806519,792.528503,82.186668,878.198486,722.853516,35.805180,809.698425,799.269409,47.871361,1200.328735,902.439026,386.442566,1160.773193,928.140320,223.037766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,943.048950,792.577271,83.167183,878.439392,721.731201,36.544880,809.001099,798.297607,49.879311,1200.116089,902.287659,386.526184,1160.279785,928.215881,223.343430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,942.325256,792.601501,84.119606,878.678101,720.730896,37.362389,808.253662,797.295349,51.843460,1199.897339,902.166016,386.512726,1159.667358,927.418640,223.450439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,941.421265,792.507385,85.218826,879.313965,719.192627,38.628662,807.133789,796.194702,54.460899,1199.599243,902.058044,386.414764,1159.235840,927.172729,223.435684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,940.489807,792.291199,86.367561,880.143738,717.290466,40.339111,806.183167,794.853455,56.701946,1199.284668,901.923401,386.274597,1158.867798,927.096558,223.494308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,939.734253,791.815552,87.758644,881.007874,715.199829,42.240219,804.968811,793.327209,59.955437,1198.980103,901.767761,386.139130,1158.492920,926.740479,223.403564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,939.116516,791.401550,88.580376,881.962341,712.900391,44.115429,803.894653,792.212097,63.526398,1198.713501,901.617615,386.029053,1157.616699,926.893188,223.639038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,938.347595,790.938110,89.570000,883.299561,710.575256,45.731155,803.045715,790.671509,66.592537,1198.489990,901.526062,385.942169,1157.327148,927.397827,223.631653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,937.484863,790.235779,90.669106,884.678589,708.295471,47.466606,802.257385,788.597534,70.474045,1198.037231,901.307617,385.999298,1156.509033,927.076111,223.772156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,936.216309,789.339844,91.982887,885.899963,705.873047,49.442307,800.985229,786.972168,73.970657,1197.843506,901.128052,385.947418,1156.007568,926.868347,223.826416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,935.699646,788.577332,92.924767,886.990906,703.455383,51.378983,800.315979,784.780823,77.060593,1197.688965,901.044006,385.896790,1155.610229,926.783936,223.735229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,934.183044,788.221863,94.159248,888.109009,701.628479,52.844311,799.431946,782.518372,80.230721,1197.421265,900.837036,385.714233,1155.252686,926.683289,223.581680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,933.651672,787.064331,95.657013,889.279419,698.951355,55.382011,798.192261,780.461914,83.145493,1197.036011,900.683594,385.588684,1154.692505,926.387756,223.634552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,932.274719,785.752930,97.441498,890.203796,696.735901,58.062756,798.266602,777.700195,85.896790,1196.693359,900.483032,385.391632,1153.782715,925.960632,223.674973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,931.439087,784.705750,98.486130,891.211426,694.597351,60.905991,797.549438,775.666687,87.797012,1196.319702,900.311707,385.219025,1152.714722,925.278381,223.627472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,931.023193,783.444763,99.649948,891.682678,692.931885,62.987835,796.500549,773.475098,89.975853,1195.906494,900.025085,385.096100,1151.940796,924.837341,223.252487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,929.815552,781.924377,101.117004,892.631592,689.947266,65.879303,796.160400,771.366028,91.512741,1195.218872,899.767456,385.085083,1150.649048,925.408508,223.477615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,929.334473,780.423706,102.132416,893.027100,686.993835,68.914444,795.184082,768.927551,93.824898,1194.511597,899.683960,385.132660,1149.050781,924.590149,223.770599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,928.634338,779.126343,103.067314,892.853210,684.957642,71.143646,794.817078,766.700562,95.324829,1193.967651,899.582703,385.048431,1147.415894,924.999939,224.604889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,927.954224,777.398376,104.601753,893.229553,682.706543,73.684731,794.293640,764.059448,97.495285,1193.422607,899.416199,385.006866,1146.328491,925.188721,224.914566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,926.957275,775.815186,105.793167,893.473022,680.446167,75.686264,793.516541,761.540710,99.302856,1192.774414,899.288635,385.043488,1145.258179,924.809692,224.638245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,926.257996,774.426819,106.522156,893.648193,678.185120,77.616272,793.300842,759.019470,101.217934,1192.071533,899.123535,385.051331,1143.713013,924.067566,224.267914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,925.335510,772.782898,107.894142,893.109253,675.778137,80.261971,792.138550,756.617615,103.175629,1191.264771,898.980591,384.710846,1142.638672,923.045715,223.993484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,924.092346,770.990723,108.975296,893.238464,673.426575,82.020500,791.607361,753.691956,104.720497,1190.431274,898.716064,384.422333,1141.923706,921.667664,223.542892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,923.561462,769.463318,109.721016,893.273621,671.325684,83.500793,791.060547,751.028687,107.082634,1189.583374,898.564514,384.435669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,922.941467,767.873901,110.629280,893.168579,669.629028,85.056442,790.174622,748.706482,108.885902,1188.608765,898.440186,384.541626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,921.857544,765.658630,111.531044,892.740417,667.157959,87.175453,789.665039,746.142395,110.461868,1187.363159,898.199341,384.761719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,921.257202,764.117859,112.139183,892.343994,665.292358,88.723457,788.596680,744.213379,111.797447,1186.288940,897.915588,384.654541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,920.524292,762.509766,112.556541,891.992737,663.465820,89.933380,788.070618,741.459534,113.030457,1185.338501,897.415527,384.208252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,919.059753,760.874756,113.207962,891.598694,661.621582,91.436722,787.404358,739.442444,114.419861,1184.439453,897.140381,384.015167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,917.956787,759.405884,114.144264,890.611511,659.624939,92.850647,786.665283,737.173828,115.637688,1183.203857,896.817200,383.975494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,917.628906,757.657837,114.673370,889.489136,658.095642,94.192497,785.993774,735.297729,116.855247,1181.752075,896.382446,383.839172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,916.046326,756.243835,115.460106,888.601990,656.168152,95.613548,785.155823,733.485779,118.175415,1180.761597,896.022583,383.456512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,915.023804,754.759705,115.702209,887.334412,654.512573,96.560555,784.266296,732.277283,119.640289,1179.945557,895.970093,383.066650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
