Grasp85
Date:,2025/04/22
Time:,17:17:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,917.045410,824.166260,67.551949,1109.724731,912.240662,455.995758,855.127258,757.699951,32.551788,786.421997,807.662292,33.542728,1083.582886,945.301758,244.886795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,916.962952,824.208496,67.690697,1109.724731,912.240662,455.995758,855.057251,757.748413,32.529930,785.480652,807.449707,33.843246,1083.582886,945.301758,244.886795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,916.953369,824.121155,67.421463,1109.724731,912.240662,455.995758,855.134583,757.692993,32.505695,785.313721,807.430481,34.028244,1083.582886,945.301758,244.886795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,917.110229,824.143188,67.527481,1109.661865,912.257996,456.036713,855.107971,757.672913,32.554447,785.376282,807.429321,33.998974,1083.542725,945.298340,244.854126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,917.094177,824.183594,67.601494,1109.566284,912.251099,455.997498,855.096313,757.661804,32.542061,785.504761,807.425415,33.941963,1083.475586,945.317993,244.755630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,917.092163,824.185059,67.669174,1109.499634,912.254028,455.933685,855.151611,757.665649,32.510872,785.492249,807.460388,33.860531,1083.461060,945.318481,244.846283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,917.152100,824.151306,67.618637,1109.475342,912.269226,455.901031,855.126404,757.669495,32.507168,785.476440,807.468811,33.852852,1083.456909,945.321106,244.886581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,917.185974,824.119263,67.583115,1109.428345,912.160461,455.934113,855.105652,757.669556,32.518265,785.519165,807.431519,33.915150,1083.415039,945.317017,244.851761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,917.134827,824.135254,67.617897,1109.416992,912.166077,455.844421,855.151611,757.669006,32.510014,785.498047,807.450928,33.906635,1083.422485,945.194275,244.795349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,917.128967,824.137329,67.547691,1109.342773,912.169128,455.867950,855.123413,757.668396,32.512577,786.210815,807.642639,33.650013,1083.379395,945.272461,244.904724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,917.114075,824.155151,67.576118,1109.317261,912.106140,455.877441,855.154358,757.669250,32.506390,785.726196,807.513245,33.630569,1083.351563,945.316284,244.955032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,917.151733,824.155396,67.608025,1109.306030,912.101624,455.876495,855.171692,757.669983,32.497890,785.422180,807.432922,33.845825,1083.349854,945.317505,244.954361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,917.079956,824.160278,67.704773,1109.259888,912.139832,455.850555,855.172974,757.670532,32.495289,786.051819,807.734680,33.699417,1083.355957,945.310669,244.944885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,917.112915,824.161072,67.683823,1109.265625,912.210205,455.873108,855.170044,757.670532,32.496838,785.681335,807.542786,33.746544,1083.335693,945.210449,244.939484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,917.122498,824.159363,67.605927,1109.210327,912.166504,455.893555,855.137695,757.696777,32.539017,785.472168,807.445801,33.891834,1083.330444,945.185120,244.937469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,917.109985,824.172241,67.578178,1109.150879,912.216492,455.849640,855.101807,757.675232,32.532986,786.076721,807.733948,33.683891,1083.275391,945.201965,244.881058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,917.097351,824.102356,67.288620,1109.137695,912.127686,455.862366,855.148315,757.666321,32.511227,785.701660,807.618347,33.694981,1083.217041,945.203735,244.837463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,917.066223,824.172729,67.508934,1109.238281,912.176270,455.946259,855.174072,757.668152,32.495522,785.407837,807.562744,33.817795,1083.254150,945.207092,244.867126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,917.031372,824.294922,67.696381,1109.168091,912.124512,455.884369,855.214600,757.689331,32.472298,785.440247,807.565918,33.829964,1083.209839,945.294312,244.931534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
