Grasp69
Date:,2025/04/22
Time:,16:07:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,985.118164,693.890686,307.760010,778.266113,494.899994,30.830856,895.187439,551.801392,79.035576,1017.290955,791.302612,507.030426,872.348511,465.038269,34.743675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,986.183716,694.993530,307.719086,777.849915,494.980011,30.618158,894.761841,551.373352,80.748138,1017.731018,792.117432,507.285004,872.490479,464.205170,36.699215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,986.805664,696.109070,308.240875,777.944275,494.817017,30.797018,894.456909,550.812622,82.857513,1018.174316,792.748657,507.147919,872.742981,463.560059,39.014118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987.415649,697.265686,308.769653,777.859985,494.619415,30.956028,894.247864,550.505371,84.852684,1019.035461,793.425293,507.084625,872.277893,462.995789,41.663239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,988.083801,698.256104,309.166718,777.767883,494.528595,31.075985,893.657715,550.372192,86.037460,1019.861633,794.170532,506.993866,871.442749,462.291138,44.164108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,988.843079,698.907410,309.592865,777.709656,494.416626,31.197119,892.924805,550.188110,87.626541,1020.563538,794.900574,507.094574,870.788452,461.886047,46.667400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,989.547424,699.987244,309.578003,777.639526,494.308716,31.227694,892.327454,550.361206,89.809486,1021.160400,795.507141,507.302460,870.007507,461.812042,49.377426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,990.179443,701.267822,309.823822,777.522217,494.213165,31.420137,891.880737,550.180115,91.755379,1022.027588,796.027832,507.517761,868.735657,461.478363,51.906368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,990.433533,702.077637,310.512604,777.597473,494.052582,31.494648,891.331360,549.954529,93.136459,1022.942627,796.608337,507.844177,867.493225,461.154236,54.735352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,990.903381,702.877869,311.227203,777.677368,493.999176,31.583506,890.487305,549.759460,95.620033,1023.777710,797.254089,507.895691,866.695313,460.874664,56.886906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,991.737427,703.918213,311.480042,777.715576,494.126343,31.797560,889.837585,549.658447,97.738708,1024.468750,797.992126,508.026398,865.639160,460.924774,59.471577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,992.732849,705.038391,311.673798,777.723450,494.290527,32.160130,889.427124,549.315552,99.859062,1025.148682,798.536621,508.051056,864.321838,460.752533,62.229374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,993.385193,705.915588,312.378082,777.742004,494.515106,32.671673,888.794800,549.393433,101.895355,1025.501099,799.012268,508.215576,863.288330,460.316559,64.537621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,993.576233,706.868591,312.903168,777.760376,494.563019,33.737915,888.104614,549.744873,103.439880,1025.723877,799.574768,508.500916,862.570984,460.213287,67.191612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,993.657288,707.947205,313.429840,777.200317,494.743225,35.193829,887.450562,549.813354,104.886368,1026.375000,800.157837,508.796661,862.071838,459.659729,69.936287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,994.215393,708.907104,313.852509,776.489990,495.171936,37.005741,886.916260,549.734863,107.473083,1027.612549,800.647583,508.983307,860.864807,459.593384,72.118698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,995.052795,709.707764,313.974060,776.016846,495.223145,39.035816,886.355347,549.747681,109.777016,1027.955322,801.447998,509.326233,859.735352,459.637695,74.628532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,995.580017,711.041931,314.631500,775.468811,495.182587,40.957199,885.609985,549.450562,111.990189,1028.063599,802.104675,509.765991,859.253906,459.440735,76.855507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,995.906738,712.261292,315.399139,774.513855,495.404114,43.392433,884.965210,549.529724,113.755455,1028.587769,802.474976,510.103729,858.680237,459.488556,79.219376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,996.017944,713.120667,315.939697,773.761536,495.123901,45.879993,884.621216,549.643127,116.052910,1028.804810,803.122742,510.403839,858.388184,459.253601,81.358543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,996.106567,714.114929,316.263275,773.185730,494.813354,48.663609,884.259460,549.687866,118.320351,1029.590698,803.836304,510.718689,857.932739,459.047668,83.299950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
